AnimalBreed,AnimalDesexed,AnimalGender,locality
Fox Terrier - Miniature,Y,F,VALLEY VIEW
Chihuahua X,Y,M,VALLEY VIEW
Mastiff X,Y,M,VALLEY VIEW
Staffordshire Bull Terrier X,Y,M,VALLEY VIEW
Maltese,Y,F,VALLEY VIEW
Maltese Terrier,Y,M,VALLEY VIEW
Shih Tzu X,Y,M,VALLEY VIEW
Maltese Terrier X,Y,F,VALLEY VIEW
Great Dane,N,M,VALLEY VIEW
Labrador,N,M,VALLEY VIEW
Labrador,Y,F,VALLEY VIEW
Chihuahua,Y,F,VALLEY VIEW
Blue Heeler,Y,M,VALLEY VIEW
Shih Tzu X,Y,M,HILLCREST
Stag Hound X,Y,F,HILLCREST
Maltese X,Y,M,HILLCREST
Poodle X,N,M,HILLCREST
Shih Tzu X,Y,F,HILLCREST
Poodle X,Y,F,HILLCREST
Staffordshire Bull Terrier X,Y,M,HILLCREST
American Bulldog,N,M,HILLCREST
Siberian Husky,Y,M,CROYDON PARK
West Highland Terrier,Y,F,CROYDON PARK
Kelpie X,Y,F,CROYDON PARK
Jack Russell Terrier,Y,M,CROYDON PARK
English Staffordshire Bull Terrier,N,M,HOLDEN HILL
English Staffordshire Bull Terrier,N,F,HOLDEN HILL
Cavalier King Charles Spaniel,Y,F,HOLDEN HILL
Chihuahua,N,M,ENFIELD
Jack Russell Terrier,Y,F,ENFIELD
Kelpie X,Y,M,ENFIELD
German Shepherd,N,M,KILBURN
Dalmation,N,M,KILBURN
Doberman,N,M,KILBURN
Tenterfield Terrier,Y,M,GEPPS CROSS
Staffordshire Bull Terrier,N,F,GEPPS CROSS
Staffordshire Bull Terrier,Y,F,GEPPS CROSS
Staffordshire Bull Terrier,Y,F,GEPPS CROSS
Maltese X,N,M,GEPPS CROSS
Staffordshire Bull Terrier,Y,M,NORTHFIELD
Blue Heeler X,Y,F,NORTHFIELD
Border Terrier,Y,F,NORTHFIELD
Border Terrier,Y,F,NORTHFIELD
Rhodesian Ridgeback X,Y,M,NORTHFIELD
Kelpie X,Y,M,NORTHFIELD
German Shepherd,Y,F,NORTHFIELD
Labrador,Y,M,NORTHFIELD
Poodle - Miniature,Y,M,BLAIR ATHOL
Jack Russell Terrier X,Y,F,BLAIR ATHOL
Boxer,Y,F,BLAIR ATHOL
Rottweiler,Y,F,BLAIR ATHOL
Great Dane X,Y,M,BLAIR ATHOL
Jack Russell Terrier,N,F,BLAIR ATHOL
Bull Terrier X,N,F,ENFIELD
Staffordshire Bull Terrier,N,M,ENFIELD
Papillion X,Y,F,ENFIELD
Fox Terrier,N,M,ENFIELD
Blue Heeler,Y,F,DUDLEY PARK
Maltese X,Y,F,DUDLEY PARK
Jack Russell Terrier,N,F,DUDLEY PARK
Chihuahua X,Y,M,BROADVIEW
Lhasa Apso,Y,M,BROADVIEW
Maltese X,Y,F,BROADVIEW
Fox Terrier - Miniature,Y,F,BROADVIEW
Fox Terrier,Y,M,BROADVIEW
Labrador,N,M,BROADVIEW
Pug X,Y,M,BROADVIEW
English Staffordshire Bull Terrier,Y,F,BROADVIEW
Staffordshire Bull Terrier X,Y,F,BROADVIEW
Pomeranian,Y,F,BROADVIEW
Jack Russell Terrier,Y,M,BROADVIEW
Jack Russell Terrier,Y,M,BROADVIEW
Pomeranian X,N,F,BROADVIEW
Cavalier King Charles Spaniel X,Y,M,BROADVIEW
Kelpie X,N,M,MANSFIELD PARK
German Shepherd X,N,M,MANSFIELD PARK
Maltese,N,F,MANSFIELD PARK
Maltese X,N,M,MANSFIELD PARK
Kelpie,N,F,MANSFIELD PARK
Staffordshire Bull Terrier,Y,M,MANSFIELD PARK
Labradoodle,Y,F,MANSFIELD PARK
Labradoodle,Y,F,MANSFIELD PARK
Maltese Terrier X,Y,M,DEVON PARK
Spoodle,Y,M,DEVON PARK
Golden Retriever,Y,M,DEVON PARK
Schnoodle,Y,M,DEVON PARK
Maltese X,Y,F,DEVON PARK
Groodle,N,M,DEVON PARK
Labradoodle,N,M,DEVON PARK
Whippet,N,F,DEVON PARK
Labrador,Y,F,DEVON PARK
Rottweiler,Y,M,DEVON PARK
Labrador,Y,F,DEVON PARK
Labrador X,Y,F,DEVON PARK
Jack Russell Terrier,Y,F,DEVON PARK
Boxer,Y,M,DEVON PARK
Labrador X,N,F,DEVON PARK
Labrador,Y,F,DEVON PARK
Labrador,Y,F,DEVON PARK
Rottweiler,Y,F,DEVON PARK
Blue Heeler,Y,F,DEVON PARK
Kelpie X,Y,F,DEVON PARK
Poodle - Toy,Y,M,DEVON PARK
Staffordshire Bull Terrier,Y,F,DEVON PARK
Maltese,Y,F,DEVON PARK
Maltese,N,M,DEVON PARK
