AnimalBreed,AnimalDesexed,AnimalGender,locality
Chihuahua,Y,M,OAKDEN
Maltese X,Y,F,HAMPSTEAD GARDENS
Chihuahua X,Y,F,ANGLE PARK
Chihuahua X,Y,F,ANGLE PARK
Terrier X,Y,M,GILLES PLAINS
Shih Tzu X,Y,M,GILLES PLAINS
Retriever X,Y,M,CLEARVIEW
English Staffordshire Bull Terrier X,N,F,MANSFIELD PARK
Labrador,Y,F,MANSFIELD PARK
Cavoodle,Y,F,HAMPSTEAD GARDENS
Poodle,Y,F,HAMPSTEAD GARDENS
Maltese X,N,M,ENFIELD
Jack Russell Terrier,Y,F,BLAIR ATHOL
Fox Terrier - Miniature,Y,M,BLAIR ATHOL
Maltese X,Y,M,WINDSOR GARDENS
Pug X,N,F,HILLCREST
Jack Russell Terrier,Y,M,HILLCREST
Kelpie X,Y,F,GILLES PLAINS
West Highland Terrier X,N,M,GILLES PLAINS
Staffordshire Bull Terrier,N,M,GILLES PLAINS
Maltese X,Y,M,GILLES PLAINS
Cocker Spaniel,Y,M,GILLES PLAINS
Boxer,Y,F,GILLES PLAINS
Labrador,Y,M,GILLES PLAINS
Pomeranian,Y,M,KLEMZIG
Staffordshire Bull Terrier X,N,M,CLEARVIEW
Staffordshire Bull Terrier X,Y,M,CLEARVIEW
Staffordshire Bull Terrier X,N,F,CLEARVIEW
Terrier X,Y,F,ENFIELD
Kelpie X,Y,M,ENFIELD
Chihuahua X,Y,F,ENFIELD
Kelpie,N,M,BLAIR ATHOL
Shih Tzu X,N,M,BLAIR ATHOL
Basset Hound,N,F,KILBURN
Maltese Terrier X,Y,M,KILBURN
Staffordshire Bull Terrier X,N,M,KILBURN
Terrier X,Y,M,KILBURN
Maltese X,Y,F,KILBURN
Heeler X,N,F,DUDLEY PARK
Staffordshire Bull Terrier X,N,F,DUDLEY PARK
Shih Tzu X,N,M,DUDLEY PARK
English Staffordshire Bull Terrier,Y,M,DUDLEY PARK
Staffordshire Bull Terrier,Y,F,DUDLEY PARK
American Staffordshire Bull Terrier X,N,M,DUDLEY PARK
Maltese X,N,M,DUDLEY PARK
Maltese X,Y,M,FERRYDEN PARK
Maltese X,Y,F,ANGLE PARK
Greyhound,N,M,ANGLE PARK
Greyhound,N,F,ANGLE PARK
Greyhound,N,M,ANGLE PARK
Chihuahua X,Y,M,ANGLE PARK
Jack Russell Terrier X,N,F,ANGLE PARK
Lakeland Terrier,Y,M,MANSFIELD PARK
Poodle X - Toy,Y,M,MANSFIELD PARK
Maltese X,Y,F,WOODVILLE GARDENS
Terrier X,Y,M,WOODVILLE GARDENS
Terrier X,Y,M,NORTHFIELD
Chihuahua X,N,M,NORTHFIELD
Shar Pei,Y,F,DUDLEY PARK
Maltese Terrier X,Y,F,FERRYDEN PARK
Rottweiler,N,F,OAKDEN
American Staffordshire Bull Terrier,N,M,OAKDEN
Cavalier King Charles Spaniel,Y,F,OAKDEN
Jack Russell Terrier,N,F,OAKDEN
Poodle X,Y,F,OAKDEN
Maltese X,N,M,OAKDEN
Maltese X,N,M,OAKDEN
Staffordshire Bull Terrier X,N,M,OAKDEN
Staffordshire Bull Terrier X,Y,F,OAKDEN
West Highland Terrier,Y,M,OAKDEN
Shar Pei X,N,M,OAKDEN
Great Dane,Y,F,OAKDEN
Chinese Crested,Y,M,OAKDEN
Malinois X,Y,F,OAKDEN
American Staffordshire Bull Terrier X,Y,F,OAKDEN
Maltese X,Y,F,OAKDEN
Jack Russell Terrier X,Y,M,OAKDEN
Cocker Spaniel,Y,F,OAKDEN
Terrier X,Y,M,OAKDEN
Fox Terrier X - Miniature,Y,F,OAKDEN
Jack Russell Terrier X,Y,F,OAKDEN
Shar Pei X,Y,F,OAKDEN
Labrador,Y,M,OAKDEN
Cocker Spaniel X,N,F,OAKDEN
Labrador,Y,M,OAKDEN
Chihuahua X,Y,M,OAKDEN
Chihuahua X,Y,M,OAKDEN
Labrador,Y,F,CLEARVIEW
Labrador,Y,M,CLEARVIEW
Retriever X,Y,M,NORTHFIELD
Australian Shepherd X,Y,F,NORTHFIELD
Bichon Frise X,Y,M,LIGHTSVIEW
Bichon Frise X,Y,M,LIGHTSVIEW
Chihuahua,Y,F,LIGHTSVIEW
Maltese X,Y,M,LIGHTSVIEW
Kelpie,N,M,DEVON PARK
Labrador,N,F,DEVON PARK
Labrador,N,F,DEVON PARK
Pomeranian,Y,M,DEVON PARK
Labrador X,Y,M,CLEARVIEW
Labrador,Y,F,BROADVIEW
Beagle X,Y,M,BROADVIEW
Maltese X,Y,M,BLAIR ATHOL
Fox Terrier - Miniature,Y,M,BLAIR ATHOL
Jack Russell Terrier,Y,M,BLAIR ATHOL
Maltese,N,F,BLAIR ATHOL
Spoodle,Y,F,BLAIR ATHOL
Maltese X,Y,M,BLAIR ATHOL
Pomeranian,Y,M,BLAIR ATHOL
Labrador,Y,F,BLAIR ATHOL
Pomeranian X,Y,M,BLAIR ATHOL
Maltese X,Y,F,BLAIR ATHOL
Beagle,Y,M,OAKDEN
Maltese Terrier X,Y,M,OAKDEN
Maltese X,Y,F,OAKDEN
Maltese Terrier,Y,M,OAKDEN
Labrador,Y,F,OAKDEN
Border Collie,Y,M,OAKDEN
Poodle - Miniature,Y,M,OAKDEN
Maltese X,Y,F,OAKDEN
Maltese X,Y,M,OAKDEN
Shih Tzu X,N,F,OAKDEN
Shih Tzu X,N,F,OAKDEN
Border Collie,Y,F,OAKDEN
Staffordshire Bull Terrier,Y,F,OAKDEN
Maltese X,Y,M,OAKDEN
Maltese X,Y,F,OAKDEN
Poodle,Y,F,OAKDEN
Kelpie X,Y,M,BLAIR ATHOL
Golden Retriever,Y,F,DEVON PARK
Staffordshire Bull Terrier X,N,F,OAKDEN
Staffordshire Bull Terrier X,N,F,OAKDEN
Staffordshire Bull Terrier X,N,F,OAKDEN
Schnauzer X,Y,F,KLEMZIG
Fox Terrier,N,M,GREENACRES
Poodle - Toy,N,F,GREENACRES
Maltese X,Y,M,ENFIELD
Maltalier,Y,M,ENFIELD
Red Heeler,N,F,ENFIELD
Pug X,Y,M,ENFIELD
Schnauzer,N,M,ENFIELD
Airedale Terrier,Y,F,OAKDEN
Pug,Y,F,OAKDEN
German Shepherd,N,F,OAKDEN
Spaniel,Y,M,OAKDEN
Spaniel,Y,M,OAKDEN
West Highland Terrier,Y,F,OAKDEN
Jack Russell Terrier,N,M,OAKDEN
Cavalier King Charles Spaniel,N,F,OAKDEN
Shih Tzu X,Y,F,OAKDEN
Chihuahua,Y,F,OAKDEN
Shih Tzu X,Y,M,OAKDEN
Maltese X,N,F,OAKDEN
Pomeranian X,N,F,OAKDEN
Pomeranian X,N,F,OAKDEN
Jack Russell Terrier X,Y,F,OAKDEN
West Highland Terrier,Y,F,OAKDEN
Poodle X,Y,F,OAKDEN
Shih Tzu X,Y,M,OAKDEN
Shetland Sheepdog (Sheltie),N,M,OAKDEN
Maltese X,N,M,OAKDEN
Siberian Husky,Y,F,OAKDEN
Spoodle,Y,M,OAKDEN
Maltese X,Y,M,ENFIELD
Maltese Terrier,N,M,WINDSOR GARDENS
Staffordshire Bull Terrier X,Y,F,WINDSOR GARDENS
Bichon Frise X,Y,M,WINDSOR GARDENS
Kelpie X,Y,F,WINDSOR GARDENS
Kelpie,Y,F,WINDSOR GARDENS
Shih Tzu,Y,M,FERRYDEN PARK
Shih Tzu,N,F,FERRYDEN PARK
American Staffordshire Bull Terrier,N,F,FERRYDEN PARK
Maltese,Y,F,FERRYDEN PARK
Maltese X,Y,F,OAKDEN
Maltese X,Y,M,OAKDEN
Maltese X,Y,F,OAKDEN
Saint Bernard,Y,F,KLEMZIG
Bernese Mountain Dog X,Y,F,KLEMZIG
Shetland Sheepdog (Sheltie),N,M,WINDSOR GARDENS
Shetland Sheepdog (Sheltie),N,M,WINDSOR GARDENS
Maltese X,Y,F,CROYDON PARK
Cavalier King Charles Spaniel,Y,M,OAKDEN
Labrador X,Y,F,OAKDEN
Jack Russell Terrier X,Y,F,OAKDEN
Whippet,Y,F,OAKDEN
American Staffordshire Bull Terrier X,N,M,OAKDEN
Kelpie,N,M,OAKDEN
Poodle X,Y,M,OAKDEN
Whippet X,Y,M,OAKDEN
Collie X,Y,F,OAKDEN
Moodle,N,M,OAKDEN
Cavalier King Charles Spaniel,N,M,OAKDEN
Cavalier King Charles Spaniel,N,F,OAKDEN
Labrador X,Y,F,OAKDEN
Maltalier,Y,M,OAKDEN
Cavoodle,Y,M,OAKDEN
Terrier X,Y,M,OAKDEN
Beagle,Y,F,OAKDEN
Poodle X,Y,M,OAKDEN
Labrador,Y,M,OAKDEN
Maltese X,Y,M,OAKDEN
West Highland Terrier,Y,F,OAKDEN
West Highland Terrier,Y,F,OAKDEN
Newfoundland,Y,F,OAKDEN
Chow Chow,N,M,OAKDEN
Chow Chow,N,F,OAKDEN
Chow Chow,N,M,OAKDEN
Labrador X,Y,F,OAKDEN
Staffordshire Bull Terrier,Y,M,OAKDEN
Shih Tzu X,Y,M,OAKDEN
Border Collie,Y,F,OAKDEN
Staffordshire Bull Terrier X,N,M,OAKDEN
Border Collie,Y,M,OAKDEN
Border Collie,Y,F,OAKDEN
Cross Breed,Y,F,OAKDEN
Schnauzer X,Y,F,OAKDEN
Maltese X,Y,F,OAKDEN
Border Collie,Y,M,OAKDEN
Beagle,Y,F,OAKDEN
Fox Terrier,Y,M,OAKDEN
Jack Russell Terrier,Y,F,OAKDEN
Maltese X,Y,M,OAKDEN
Poodle X,Y,M,OAKDEN
Staffordshire Bull Terrier X,Y,M,OAKDEN
Jack Russell Terrier X,Y,M,OAKDEN
Greyhound,Y,M,OAKDEN
Labradoodle,N,M,OAKDEN
Terrier X,Y,M,OAKDEN
Chihuahua,Y,M,OAKDEN
West Highland Terrier,Y,M,OAKDEN
Golden Retriever,Y,M,OAKDEN
Maltese X,Y,M,OAKDEN
Silky Terrier X,Y,F,OAKDEN
Silky Terrier,Y,M,OAKDEN
Maltese X,Y,M,OAKDEN
Chihuahua,Y,F,OAKDEN
Pomeranian,N,M,OAKDEN
Dachshund,Y,F,OAKDEN
Tibetan Spaniel X,Y,F,OAKDEN
Hungarian Viszla,Y,F,OAKDEN
Italian Greyhound,Y,M,OAKDEN
Poodle - Toy,N,M,OAKDEN
Shih Tzu X,Y,F,OAKDEN
Maltese X,Y,M,OAKDEN
Bichon Frise,Y,M,OAKDEN
Maltese X,Y,F,OAKDEN
Dachshund - Miniature,N,F,OAKDEN
Scotch Terrier,N,F,OAKDEN
Labrador,Y,M,OAKDEN
Cocker Spaniel,Y,F,OAKDEN
Maltese X,Y,F,OAKDEN
Cavalier King Charles Spaniel X,Y,F,OAKDEN
Australian Terrier,Y,M,OAKDEN
Cavalier King Charles Spaniel,Y,M,OAKDEN
Labradoodle - Miniature,Y,M,OAKDEN
American Staffordshire Bull Terrier,Y,F,HAMPSTEAD GARDENS
Tibetan Spaniel,Y,M,KILBURN
American Staffordshire Bull Terrier,N,F,WOODVILLE GARDENS
Fox Terrier - Miniature,Y,F,NORTHFIELD
Jack Russell Terrier,Y,F,KLEMZIG
Pomeranian X,N,M,CLEARVIEW
Corgi,Y,M,KLEMZIG
Maltese X,Y,U,KLEMZIG
Cavalier King Charles Spaniel X,Y,F,KLEMZIG
Maltese X,Y,F,KLEMZIG
Jack Russell Terrier,Y,F,KLEMZIG
Kelpie X,Y,F,BLAIR ATHOL
English Staffordshire Bull Terrier,N,M,BLAIR ATHOL
Maltese X,N,M,BLAIR ATHOL
Jack Russell Terrier X,Y,M,KLEMZIG
Labrador,N,M,NORTHFIELD
Staffordshire Bull Terrier,N,F,NORTHFIELD
Shepherd X,N,M,NORTHFIELD
Chihuahua,Y,F,NORTHFIELD
Maltese Terrier X,Y,F,NORTHFIELD
Staffordshire Bull Terrier X,Y,F,NORTHFIELD
Jack Russell Terrier X,Y,F,NORTHFIELD
Chihuahua,N,M,NORTHFIELD
German Shepherd,Y,F,HAMPSTEAD GARDENS
Maltese X,Y,M,MANNINGHAM
Bull Terrier X,N,F,KILBURN
Labrador X,N,M,KILBURN
Kelpie X,Y,F,GILLES PLAINS
Poodle - Toy,Y,F,GILLES PLAINS
German Shepherd X,Y,M,GILLES PLAINS
Maltese X,Y,M,GILLES PLAINS
Jack Russell Terrier,Y,F,GILLES PLAINS
Bearded Collie,Y,M,GILLES PLAINS
Labrador,Y,F,GILLES PLAINS
English Toy Terrier,N,M,GILLES PLAINS
Poodle - Toy,Y,M,GILLES PLAINS
French Mastiff,N,M,GILLES PLAINS
Staffordshire Bull Terrier X,Y,U,GILLES PLAINS
Jack Russell Terrier,Y,F,GILLES PLAINS
Rottweiler,Y,M,GILLES PLAINS
Rottweiler,N,F,GILLES PLAINS
Rottweiler,N,F,GILLES PLAINS
Shih Tzu X,Y,M,GILLES PLAINS
Schipperke X,Y,M,GILLES PLAINS
Jack Russell Terrier X,Y,F,GILLES PLAINS
Maltese X,Y,F,GILLES PLAINS
Jack Russell Terrier X,Y,F,GILLES PLAINS
Chihuahua X,Y,M,GILLES PLAINS
Rottweiler,N,M,GILLES PLAINS
Maltese Terrier X,N,M,GILLES PLAINS
Maltese X,Y,M,GILLES PLAINS
Maltese X,N,F,GILLES PLAINS
Maltese X,N,F,GILLES PLAINS
Jack Russell Terrier,Y,F,GILLES PLAINS
Maltese X,Y,F,GILLES PLAINS
Maltese X,Y,F,GILLES PLAINS
Chihuahua X,Y,M,GILLES PLAINS
Maltese X,Y,M,GILLES PLAINS
Poodle,Y,F,GILLES PLAINS
Springer Spaniel X,Y,M,GILLES PLAINS
American Staffordshire Bull Terrier,Y,F,GILLES PLAINS
Terrier X,Y,F,GILLES PLAINS
Boxer X,Y,F,GILLES PLAINS
Bearded Collie,Y,F,GILLES PLAINS
Chihuahua,Y,F,CLEARVIEW
Chihuahua X,Y,F,CLEARVIEW
Maltese X,Y,M,HAMPSTEAD GARDENS
Cavalier King Charles Spaniel X,N,M,WOODVILLE GARDENS
Shar Pei X,Y,M,MANSFIELD PARK
Border Collie,Y,M,MANSFIELD PARK
Schnauzer,Y,F,MANSFIELD PARK
Terrier X,Y,F,NORTHFIELD
English Staffordshire Bull Terrier,Y,M,ENFIELD
Staffordshire Bull Terrier X,Y,M,KILBURN
Staffordshire Bull Terrier X,Y,F,KILBURN
Golden Retriever,Y,F,ENFIELD
American Staffordshire Bull Terrier,Y,F,KILBURN
Pug,N,M,KILBURN
Maltese X,Y,M,ENFIELD
German Shorthaired Pointer,N,F,BROADVIEW
Maltese X,Y,M,BROADVIEW
Staffordshire Bull Terrier,N,M,WOODVILLE GARDENS
Staffordshire Bull Terrier X,N,F,WOODVILLE GARDENS
Silky Terrier,N,F,WOODVILLE GARDENS
Staffordshire Bull Terrier,Y,U,WOODVILLE GARDENS
Jack Russell Terrier,N,M,WOODVILLE GARDENS
Maltese,N,F,WOODVILLE GARDENS
Heeler,N,M,WOODVILLE GARDENS
Bull Terrier X,Y,F,WOODVILLE GARDENS
Fox Terrier,N,M,WOODVILLE GARDENS
Staffordshire Bull Terrier X,Y,F,WOODVILLE GARDENS
Maltese,Y,F,NORTHFIELD
Maltese X,Y,F,NORTHFIELD
Cavalier King Charles Spaniel,Y,F,GREENACRES
Cocker Spaniel,Y,M,GREENACRES
Rhodesian Ridgeback,Y,F,GREENACRES
Labrador,Y,F,GREENACRES
Siberian Husky,Y,F,GREENACRES
Husky,Y,M,GREENACRES
Cavoodle,N,F,GREENACRES
Maltese Terrier X,N,F,GREENACRES
Pugalier,Y,F,GREENACRES
Border Collie,Y,F,GREENACRES
Beagle,N,M,OAKDEN
Beagle,Y,M,OAKDEN
Cavoodle,Y,F,OAKDEN
Japanese Spitz,N,M,OAKDEN
Chihuahua X,Y,F,OAKDEN
Maltese X,Y,F,OAKDEN
Chihuahua X,Y,M,OAKDEN
Staffordshire Bull Terrier,Y,M,OAKDEN
Labrador,Y,M,OAKDEN
Labrador,Y,M,OAKDEN
Maltese Terrier X,Y,M,OAKDEN
Shih Tzu X,Y,F,OAKDEN
Shih Tzu X,Y,M,OAKDEN
Maltese X,Y,M,OAKDEN
Kelpie X,Y,F,OAKDEN
Staffordshire Bull Terrier X,N,M,OAKDEN
Maltese Terrier X,Y,F,OAKDEN
Cavalier King Charles Spaniel X,Y,F,OAKDEN
Border Collie X,N,M,CLEARVIEW
Fox Terrier - Miniature,Y,M,OAKDEN
Poodle,N,M,OAKDEN
Maltese X,Y,M,OAKDEN
Maltese X,Y,M,OAKDEN
Labrador,Y,M,OAKDEN
Jack Russell Terrier,Y,F,OAKDEN
Cairn Terrier,Y,F,OAKDEN
Labrador X,Y,M,OAKDEN
Poodle,Y,M,KILBURN
German Shepherd X,Y,M,KILBURN
Pomeranian X,Y,F,KILBURN
Jack Russell Terrier,Y,F,OAKDEN
Kelpie X,Y,M,ENFIELD
Kelpie X,Y,F,ENFIELD
Staffordshire Bull Terrier X,Y,F,MANSFIELD PARK
American Staffordshire Bull Terrier,N,M,ENFIELD
Jack Russell Terrier,Y,U,WINDSOR GARDENS
Jack Russell Terrier,Y,F,WINDSOR GARDENS
Labrador X,Y,F,WINDSOR GARDENS
Border Collie X,N,M,WOODVILLE GARDENS
Lhasa Apso,Y,M,ENFIELD
Bichon Frise,Y,F,ENFIELD
Poodle - Toy,Y,M,ENFIELD
Terrier X,Y,F,ENFIELD
Cairn Terrier,Y,F,ENFIELD
Jack Russell Terrier X,N,M,ENFIELD
Pomeranian,Y,F,WOODVILLE GARDENS
Moodle,Y,F,KLEMZIG
Schnoodle,N,F,OAKDEN
Bulldog X,Y,M,BROADVIEW
Staffordshire Bull Terrier X,Y,F,BROADVIEW
Schnauzer - Miniature,Y,F,OAKDEN
Kelpie X,Y,F,OAKDEN
Maltese X,Y,F,OAKDEN
Bichon Frise,Y,F,OAKDEN
Cavoodle,Y,F,OAKDEN
Belgian Shepherd,Y,F,OAKDEN
German Shepherd X,Y,F,OAKDEN
Labrador X,Y,M,OAKDEN
Cavoodle,Y,M,OAKDEN
Maltese Terrier X,Y,M,OAKDEN
Maltese Terrier X,Y,M,OAKDEN
Maltese X,Y,F,OAKDEN
Silky Terrier X,Y,M,OAKDEN
Labrador,N,M,OAKDEN
Fox Terrier - Miniature,Y,M,HILLCREST
Chihuahua X,Y,F,HILLCREST
Siberian Husky,N,F,HILLCREST
Jack Russell Terrier X,Y,M,HILLCREST
Jack Russell Terrier X,Y,M,HILLCREST
Moodle,Y,M,HILLCREST
Shih Tzu,N,F,HILLCREST
Siberian Husky X,Y,F,HILLCREST
Fox Terrier - Miniature,Y,F,HILLCREST
Maltese X,N,M,HILLCREST
Border Collie,Y,M,HILLCREST
Border Collie X,Y,F,HILLCREST
Maltese X,N,F,HILLCREST
Cavalier King Charles Spaniel,Y,M,HILLCREST
Collie - Rough,Y,F,HILLCREST
French Bulldog,Y,F,HILLCREST
Kelpie X,Y,M,HILLCREST
Shih Tzu X,Y,F,HILLCREST
Maltese X,Y,F,HILLCREST
Pomeranian,Y,F,HILLCREST
Chihuahua X,Y,F,HILLCREST
Pomeranian X,Y,M,HILLCREST
Poodle X - Toy,Y,M,HILLCREST
Tenterfield Terrier X,Y,F,HILLCREST
Spoodle,Y,M,HILLCREST
Jack Russell Terrier,Y,M,HILLCREST
Maltese X,Y,F,HILLCREST
Terrier,N,M,HILLCREST
Staffordshire Bull Terrier X,N,M,HILLCREST
Fox Terrier,Y,M,HILLCREST
Golden Retriever,N,F,HILLCREST
Poodle - Toy,Y,M,HILLCREST
Maltese X,Y,M,HILLCREST
Labrador,Y,F,HILLCREST
Labrador,Y,M,HILLCREST
Maltese X,Y,F,HILLCREST
Australian Terrier X,Y,F,HILLCREST
Pug,Y,M,HILLCREST
Fox Terrier,Y,M,HILLCREST
Scotch Terrier,Y,F,HILLCREST
Chihuahua - Smooth Coat,N,M,HILLCREST
Cocker Spaniel X,Y,M,HILLCREST
Chihuahua,N,M,HILLCREST
Portuguese Water Dog,Y,M,HILLCREST
Pomeranian X,Y,M,HILLCREST
Staffordshire Bull Terrier X,Y,M,HILLCREST
Lhasa Apso X,Y,M,HILLCREST
Labrador X,N,M,ENFIELD
Maltese Terrier X,Y,F,CROYDON PARK
Maltese X,Y,M,OAKDEN
Maltese X,Y,F,OAKDEN
Siberian Husky,Y,M,OAKDEN
Spoodle,Y,F,OAKDEN
Spoodle,Y,M,OAKDEN
Great Dane,Y,M,OAKDEN
German Shepherd,Y,M,OAKDEN
Maltese,Y,M,OAKDEN
Papillion X,Y,M,OAKDEN
German Shepherd X,Y,M,OAKDEN
Maltese X,Y,F,KLEMZIG
Pomeranian X,N,M,KLEMZIG
English Staffordshire Bull Terrier,Y,M,KLEMZIG
Chihuahua,Y,M,KLEMZIG
Labrador,N,M,ENFIELD
Shih Tzu X,N,M,ENFIELD
Maltese X,Y,F,CROYDON PARK
Maltese Terrier X,Y,M,CROYDON PARK
Maltese Terrier X,Y,F,CROYDON PARK
German Shorthaired Pointer,Y,M,DEVON PARK
Terrier X,Y,F,ENFIELD
Terrier X,Y,M,ENFIELD
Tenterfield Terrier,Y,M,FERRYDEN PARK
Kelpie X,Y,F,KILBURN
West Highland Terrier,Y,M,HAMPSTEAD GARDENS
Australian Terrier X,Y,M,MANNINGHAM
Australian Terrier,Y,F,MANNINGHAM
American Staffordshire Bull Terrier,Y,M,ENFIELD
Bichon Frise X,Y,M,ENFIELD
Terrier X,Y,M,ENFIELD
Cavoodle,Y,F,OAKDEN
Maltese X,Y,M,SEFTON PARK
Poodle - Toy,Y,M,SEFTON PARK
Chihuahua X,Y,F,GREENACRES
Poodle - Toy,N,M,WINDSOR GARDENS
Maltese,N,F,WOODVILLE GARDENS
Maltese X,N,M,WOODVILLE GARDENS
Staffordshire Bull Terrier X,Y,M,KLEMZIG
Cavoodle,Y,F,ENFIELD
Maltese X,Y,M,OAKDEN
Jack Russell Terrier,Y,F,HILLCREST
Shih Tzu,Y,F,HILLCREST
Maltese Terrier X,Y,F,HILLCREST
Groodle,Y,F,HILLCREST
Schnauzer,Y,M,HILLCREST
Labrador X,Y,F,HILLCREST
Staffordshire Bull Terrier X,N,M,HILLCREST
Great Dane X,Y,F,HILLCREST
Jack Russell Terrier,N,F,HILLCREST
Labrador,Y,M,HILLCREST
Beagle X,Y,M,HILLCREST
Beagle X,Y,F,HILLCREST
Shih Tzu X,Y,M,HILLCREST
Jack Russell Terrier,Y,M,HILLCREST
Jack Russell Terrier,Y,F,HILLCREST
Maltese X,Y,M,HILLCREST
Pug,N,M,HILLCREST
Pomeranian X,Y,F,HILLCREST
Tenterfield Terrier,Y,M,HILLCREST
Border Collie,Y,F,HILLCREST
Fox Terrier X,Y,M,HILLCREST
Maltese X,Y,F,HILLCREST
Maltese X,Y,F,HILLCREST
German Shepherd,Y,F,HILLCREST
Maltese X,N,M,HILLCREST
Moodle,Y,M,HILLCREST
Cocker Spaniel X,Y,M,BROADVIEW
Tenterfield Terrier,Y,M,BROADVIEW
Fox Terrier X - Miniature,Y,F,BROADVIEW
Maltese Terrier X,Y,F,BROADVIEW
Maltese Terrier X,Y,M,BROADVIEW
Terrier X,Y,F,MANSFIELD PARK
Pinscher - Miniature,Y,F,KLEMZIG
Shih Tzu X,Y,F,CLEARVIEW
Dachshund - Miniature,Y,M,ENFIELD
Yorkshire Terrier,Y,M,MANNINGHAM
Poodle X,Y,M,HOLDEN HILL
Labrador,N,M,HOLDEN HILL
Maltese X,Y,M,KILBURN
Maltese X,Y,M,KILBURN
Pomeranian X,Y,M,WINDSOR GARDENS
Maltese X,Y,F,KLEMZIG
Jack Russell Terrier X,Y,M,WINDSOR GARDENS
Maltese X,Y,M,WINDSOR GARDENS
Fox Terrier X,Y,M,GILLES PLAINS
Maltese X,Y,M,KLEMZIG
Beagle,Y,M,KLEMZIG
Rhodesian Ridgeback,Y,M,WINDSOR GARDENS
Poodle - Miniature,Y,M,KLEMZIG
Cocker Spaniel,Y,M,KLEMZIG
Cavoodle,Y,M,KLEMZIG
Beagle X,Y,M,BROADVIEW
Maltese X,Y,F,BROADVIEW
Staffordshire Bull Terrier X,Y,M,ANGLE PARK
Staffordshire Bull Terrier X,Y,F,KLEMZIG
Maltese X,Y,F,HOLDEN HILL
Maltese X,Y,F,HOLDEN HILL
Maltese Terrier X,Y,M,SEFTON PARK
Maltese X,Y,M,BROADVIEW
Keeshond,Y,F,NORTHFIELD
Bull Terrier,Y,F,NORTHFIELD
Labrador X,Y,F,NORTHFIELD
Kelpie X,Y,M,NORTHFIELD
Cavalier King Charles Spaniel,Y,F,NORTHFIELD
Cavalier King Charles Spaniel,Y,M,NORTHFIELD
Cavalier King Charles Spaniel,Y,M,NORTHFIELD
Greyhound,Y,M,BROADVIEW
Whippet,Y,F,BROADVIEW
Yorkshire Terrier,Y,F,MANNINGHAM
Border Collie,Y,M,KLEMZIG
Cross Breed,Y,M,MANNINGHAM
Cavalier King Charles Spaniel X,Y,F,MANNINGHAM
Cavalier King Charles Spaniel X,Y,F,MANNINGHAM
Staffordshire Bull Terrier,Y,U,KLEMZIG
Cavalier King Charles Spaniel,Y,F,NORTHFIELD
Spaniel X,Y,F,NORTHFIELD
Siberian Husky,N,M,GREENACRES
Staffordshire Bull Terrier X,Y,F,KLEMZIG
Staffordshire Bull Terrier X,N,F,KLEMZIG
Labrador,Y,M,GREENACRES
Italian Greyhound,Y,M,NORTHFIELD
Cavoodle,N,F,GREENACRES
Maltese X,Y,F,VALLEY VIEW
Staffordshire Bull Terrier,Y,F,NORTHFIELD
Maltese X,N,F,SEFTON PARK
Poodle - Miniature,Y,M,KLEMZIG
Poodle - Toy,Y,M,KLEMZIG
Beagle,Y,F,KLEMZIG
Chihuahua,Y,M,ENFIELD
Chihuahua,N,F,ENFIELD
Chihuahua,Y,F,ENFIELD
Jack Russell Terrier,Y,F,ENFIELD
Terrier X,Y,M,ENFIELD
Silky Terrier X,Y,F,ENFIELD
Papillion,Y,M,SEFTON PARK
Papillion,Y,M,SEFTON PARK
Jack Russell Terrier,N,F,GILLES PLAINS
Shetland Sheepdog (Sheltie),Y,M,WINDSOR GARDENS
Border Collie,N,M,SEFTON PARK
Chihuahua,Y,F,ENFIELD
Jack Russell Terrier,Y,F,SEFTON PARK
Red Heeler,Y,M,CROYDON PARK
Maltese X,Y,M,CROYDON PARK
Pomeranian,Y,M,SEFTON PARK
Cavalier King Charles Spaniel,Y,M,CLEARVIEW
Kelpie X,Y,M,KLEMZIG
Husky,Y,M,DRY CREEK
Dachshund,Y,F,WINDSOR GARDENS
Dachshund X,Y,M,BROADVIEW
Maltese Terrier X,Y,F,BROADVIEW
Maltese X,Y,M,CLEARVIEW
Maltese,Y,M,MANSFIELD PARK
Maltese,N,F,MANSFIELD PARK
Fox Terrier - Miniature,N,M,MANSFIELD PARK
Tenterfield Terrier X,Y,F,GREENACRES
Maltese X,Y,M,HILLCREST
Chihuahua X,Y,M,ENFIELD
Fox Terrier X - Miniature,N,M,ENFIELD
Chihuahua X,Y,M,ENFIELD
Great Dane,Y,M,ENFIELD
Maltese X,Y,F,HILLCREST
Boxer X,Y,M,HILLCREST
Shar Pei,N,M,HILLCREST
Shar Pei,Y,F,HILLCREST
Labrador,Y,M,KLEMZIG
English Staffordshire Bull Terrier,Y,F,KLEMZIG
Border Collie X,Y,F,WINDSOR GARDENS
Shih Tzu X,Y,M,HILLCREST
Shih Tzu X,Y,F,HILLCREST
Jack Russell Terrier,Y,F,CLEARVIEW
Shetland Sheepdog (Sheltie),Y,M,WINDSOR GARDENS
Labrador X,N,M,MANSFIELD PARK
Staffordshire Bull Terrier,Y,M,WINDSOR GARDENS
Spoodle,Y,M,SEFTON PARK
Chihuahua X,Y,F,NORTHFIELD
English Cocker Spaniel,Y,M,NORTHFIELD
