Breed Description,Animal Neutered,Animal Sex,Suburb
Border Collie,Y,M,PROSPECT
Schipperke,N,M,PROSPECT
Maltese Terrier,Y,F,Prospect
Cavalier King Charles Spaniel,Y,F,NAILSWORTH
Terrier,Y,F,Prospect
Maltese Terrier,Y,M,PROSPECT
Beagle,N,M,PROSPECT
Maltese Terrier,Y,M,PROSPECT
Maltese Terrier,Y,F,PROSPECT
Maltese Terrier,Y,F,PROSPECT
Aust Terrier Silky,Y,M,Prospect
Pug,Y,F,Prospect
Terrier Westhighland,Y,M,NAILSWORTH
Chihuahua,N,M,NAILSWORTH
Miniature Schnauser,Y,F,Nailsworth
Scottish Terrier,Y,M,PROSPECT
Maltese Terrier,Y,M,PROSPECT
Rottweiler,N,F,PROSPECT
Shihtzu,Y,M,Prospect
Retriever Golden,N,F,PROSPECT
Spaniel,Y,F,PROSPECT
Poodle Toy,Y,F,PROSPECT
Poodle,Y,M,BROADVIEW
Maltese Terrier,Y,M,NAILSWORTH
Terrier Westhighland,Y,M,Prospect
Labrador,Y,F,Prospect
Pomeranian,N,M,FITZROY
Terrier Westhighland,Y,M,Broadview
Terrier Jack Russell,Y,F,Broadview
Terrier Westhighland,Y,M,NAILSWORTH
Terrier S`Shire Bull,N,M,PROSPECT
Spaniel Cocker,Y,M,PROSPECT
Terrier Jack Russell,N,M,PROSPECT
Bichon Frise,Y,M,COLLINSWOOD
Poodle Toy,Y,F,BROADVIEW
Heeler,Y,F,BROADVIEW
Maltese Terrier,Y,M,COLLINSWOOD
Labrador,Y,F,COLLINSWOOD
Terrier Fox Mini,Y,F,COLLINSWOOD
Scotch Terrier,Y,M,PROSPECT
Border Collie,Y,M,Prospect
Poodle,Y,M,BROADVIEW
Poodle,Y,M,PROSPECT
Poodle,Y,F,PROSPECT
Shihtzu,Y,F,COLLINSWOOD
Beagle,Y,M,PROSPECT
Shihtzu,Y,F,COLLINSWOOD
Retriever Golden,Y,M,BROADVIEW
Maltese Terrier,Y,M,BROADVIEW
Bulldog,Y,M,PROSPECT
Beagle,N,M,PROSPECT
Terrier Jack Russell,Y,M,Broadview
Poodle Toy,Y,M,PROSPECT
Poodle Toy,N,F,PROSPECT
Poodle,Y,F,PROSPECT
Heeler,Y,F,PROSPECT
Blue Heeler,Y,F,PROSPECT
Maltese Terrier,Y,M,PROSPECT
Border Collie,N,M,PROSPECT
Maltese Terrier,N,M,BROADVIEW
Cavalier King Charles Spaniel,N,M,BROADVIEW
Cavalier King Charles Spaniel,Y,M,PROSPECT
Kelpie,Y,M,Prospect
Maltese Terrier,Y,M,COLLINSWOOD
Terrier Jack Russell,Y,F,NAILSWORTH
Basenji,Y,M,Prospect
Beagle,Y,F,PROSPECT
Bulldog,Y,F,BROADVIEW
Pug,Y,M,BROADVIEW
Retriever Golden,Y,F,NAILSWORTH
Kelpie,Y,F,PROSPECT
Shihtzu,Y,F,OVINGHAM
Terrier Jack Russell,Y,F,PROSPECT
Chihuahua,Y,F,Prospect
Chihuahua,N,F,PROSPECT
Terrier,N,M,PROSPECT
Schnauser,Y,M,PROSPECT
Spaniel Cocker,N,F,Prospect
Bulldog,Y,M,COLLINSWOOD
Terrier S`Shire Bull,N,F,NAILSWORTH
Labrador,Y,F,BROADVIEW
Dalmation,Y,M,COLLINSWOOD
German Shepherd,N,M,NAILSWORTH
Labrador,Y,M,BROADVIEW
Cavalier King Charles Spaniel,Y,F,MEDINDIE GARDENS
Beagle,Y,M,COLLINSWOOD
Beagle,Y,M,COLLINSWOOD
Maltese Terrier,Y,F,NAILSWORTH
Maltese Terrier,Y,M,Broadview
Labrador,Y,F,BROADVIEW
Terrier Jack Russell,Y,F,PROSPECT
Terrier S`Shire Bull,N,M,PROSPECT
Blue Heeler,Y,M,PROSPECT
Terrier Kerry Blue,Y,M,PROSPECT
Terrier Kerry Blue,Y,M,PROSPECT
Boxer,Y,F,PROSPECT
Border Collie,N,M,PROSPECT
Kelpie,N,M,PROSPECT
Pomeranian,Y,F,PROSPECT
Beagle,N,M,PROSPECT
Labrador,Y,M,MEDINDIE GARDENS
Maltese Terrier,Y,F,Broadview
Spaniel Cocker,Y,M,NAILSWORTH
German Shorthaired Pointer,Y,M,COLLINSWOOD
Rottweiler,Y,M,COLLINSWOOD
Poodle Toy,Y,F,BROADVIEW
Maltese Terrier,Y,M,FITZROY
Heeler,N,M,Prospect
Schnauser,Y,F,PROSPECT
Maltese Terrier,Y,M,Prospect
Bulldog,Y,M,Prospect
Bulldog,Y,F,Prospect
American Bull Dog,N,M,Prospect
Spaniel Cocker,Y,M,PROSPECT
Maltese Terrier,Y,F,PROSPECT
Terrier Jack Russell,N,M,Prospect
Poodle,Y,F,FITZROY
Schnauser,Y,F,Prospect
Terrier,Y,M,Fitzroy
Cairn Terrier,Y,M,Fitzroy
Pomeranian,Y,F,PROSPECT
Terrier Westhighland,Y,M,MEDINDIE GARDENS
Labrador,Y,F,PROSPECT
Poodle Toy,Y,M,Prospect
Shihtzu,Y,M,PROSPECT
Terrier Welsh,Y,M,PROSPECT
