Breed Description,Animal Neutered,Animal Sex,Suburb
Pyrenean Mountian Dog,Y,F,NAILSWORTH
Labrador,Y,F,Collinswood
Greyhound,Y,M,COLLINSWOOD
Poodle Toy,Y,M,Collinswood
Border Collie,N,M,NAILSWORTH
Border Collie,Y,F,Nailsworth
Spaniel Cocker,Y,F,Nailsworth
Pomeranian,Y,F,NAILSWORTH
Spaniel Cocker,Y,F,Prospect
Poodle,Y,M,Collinswood
Cavalier King Charles Spaniel,Y,M,COLLINSWOOD
Maltese Terrier,Y,F,NAILSWORTH
Shihtzu,Y,M,NAILSWORTH
Poodle,Y,F,NAILSWORTH
Poodle,Y,F,NAILSWORTH
Poodle Toy,Y,F,Nailsworth
Heeler,Y,M,NAILSWORTH
Bernese Mountain Dog,N,F,BROADVIEW
Poodle,Y,M,BROADVIEW
Tenterfield Terrier,Y,F,Prospect
Labrador,Y,F,PROSPECT
Weimaraner,Y,M,PROSPECT
Labrador,Y,M,PROSPECT
Border Collie,Y,M,FITZROY
Cavalier King Charles Spaniel,Y,M,Fitzroy
Poodle,Y,F,FITZROY
Poodle,Y,F,FITZROY
Poodle,Y,M,Fitzroy
Terrier S`Shire Bull,Y,F,Fitzroy
Pug,Y,F,Prospect
Shihtzu,Y,M,Thorngate
Labrador,Y,M,THORNGATE
Labrador,N,M,THORNGATE
Beagle,Y,F,PROSPECT
Maltese Terrier,Y,M,PROSPECT
Maltese Terrier,Y,M,PROSPECT
Maltese Terrier,Y,M,PROSPECT
Labrador,Y,F,PROSPECT
Cavalier King Charles Spaniel,Y,F,Prospect
Lhasa Apso,Y,M,Prospect
Terrier Westhighland,N,M,Prospect
Poodle,Y,F,PROSPECT
Poodle,Y,F,Prospect
Poodle,Y,F,Prospect
Beagle,Y,F,PROSPECT
Terrier Jack Russell,Y,F,PROSPECT
Maltese Terrier,N,F,PROSPECT
Retriever Golden,Y,M,FITZROY
Schnauser,Y,M,Fitzroy
Poodle,Y,F,PROSPECT
Poodle,Y,F,PROSPECT
Border Collie,Y,F,PROSPECT
Basenji,Y,F,PROSPECT
Maltese Terrier,Y,F,PROSPECT
Terrier Westhighland,Y,F,PROSPECT
Maltese Terrier,Y,F,PROSPECT
Spaniel Cocker,Y,M,PROSPECT
Terrier Jack Russell,Y,M,OVINGHAM
Maltese Terrier,Y,M,PROSPECT
Spaniel Cocker,Y,F,PROSPECT
Maltese Terrier,Y,F,PROSPECT
Maltese Terrier,Y,F,Prospect
Japanese Spitz,Y,F,Prospect
Fox Terrier,N,M,Prospect
Poodle,Y,M,PROSPECT
Pomeranian,Y,M,Prospect
Terrier,Y,F,Prospect
Terrier S`Shire Bull,Y,M,PROSPECT
Collie,Y,M,OVINGHAM
Labrador,Y,F,Prospect
Labrador,Y,M,PROSPECT
Terrier,Y,M,Prospect
Heeler,N,M,Prospect
Terrier Jack Russell,Y,M,Prospect
Border Collie,Y,F,PROSPECT
Border Collie,Y,F,PROSPECT
Maltese Terrier,N,M,PROSPECT
Terrier,Y,M,PROSPECT
Weimaraner,Y,M,PROSPECT
Labrador,Y,F,Prospect
Maltese Terrier,Y,M,PROSPECT
Poodle,Y,F,PROSPECT
Scotch Terrier,Y,M,PROSPECT
Maltese Terrier,Y,M,PROSPECT
German Shepherd,N,M,PROSPECT
Kelpie,Y,F,PROSPECT
Labrador,Y,F,THORNGATE
Poodle Toy,Y,F,THORNGATE
Chihuahua,Y,F,THORNGATE
Schnauser,Y,F,Thorngate
Maltese Terrier,Y,F,THORNGATE
Poodle Toy,Y,F,Thorngate
Labrador,Y,M,THORNGATE
Boxer,Y,M,Thorngate
Hungarian Vizsla,Y,F,PROSPECT
Cross Breed,N,M,PROSPECT
Cavalier King Charles Spaniel,Y,F,Prospect
Terrier,N,F,PROSPECT
Terrier,Y,M,PROSPECT
Chihuahua,N,F,PROSPECT
Rhodesian Ridgeback,Y,F,PROSPECT
Maltese Terrier,Y,M,Prospect
Kelpie,Y,F,Prospect
Poodle,Y,M,PROSPECT
Dachshund,Y,M,PROSPECT
Retriever Golden,Y,F,PROSPECT
Schnauser,Y,M,Prospect
Schnauser,Y,M,Prospect
Terrier Westhighland,Y,F,Prospect
Poodle Toy,Y,M,PROSPECT
Tenterfield Terrier,Y,M,Prospect
Bull Mastiff,Y,F,Prospect
Maltese Terrier,Y,F,AUBURN
Labrador,Y,M,Prospect
Terrier,N,M,Ovingham
Shihtzu,Y,F,Ovingham
Maltese Terrier,Y,F,OVINGHAM
Collie,Y,M,FITZROY
Retriever Golden,Y,F,PROSPECT
Terrier Jack Russell,Y,M,Prospect
Kelpie,Y,M,PROSPECT
Labrador,Y,F,Prospect
Beagle,Y,M,PROSPECT
Maltese Terrier,Y,M,PROSPECT
Terrier,N,M,Prospect
Terrier Jack Russell,Y,M,PROSPECT
Terrier Jack Russell,Y,F,PROSPECT
Corgi,Y,M,PROSPECT
Dachshund Mini,Y,M,Prospect
Kelpie,Y,M,PROSPECT
Cairn Terrier,Y,M,PROSPECT
Terrier Jack Russell,N,F,Prospect
Terrier S`Shire Bull,Y,M,Prospect
Labrador,Y,M,PROSPECT
Aust Terrier Silky,Y,M,Prospect
Rottweiler,Y,F,PROSPECT
Maltese Terrier,N,M,Prospect
Maltese Terrier,N,M,PROSPECT
Maltese Terrier,Y,F,PROSPECT
