OBJECTID,CREATED,MODIFIEDLAST,MODIFIEDBY,SERIAL_NO,RESERVE_NAME,LOCATION,SUBURB,ACTIVE_PASSIVE,DESCRIPTION,COMPKEY,COMPTYPE,Shape_STArea__,Shape_STLength__
196,2005-11-02T09:46:36.000Z,,cm,271,Paul's Dr Reserve,Paul's Dr,VALLEY VIEW,Passive,,,,7739.336739,353.006565
197,2005-11-02T09:46:36.000Z,,cm,315,O'Loughlin Rd Reserve,O'Loughlin Rd,VALLEY VIEW,,,,,3538.645354,260.914574
199,2005-11-02T09:46:36.000Z,,cm,270,Valley View Par 3 Golf Course,Grand Junction Rd,VALLEY VIEW,Active,,,,92207.465535,1374.67825
200,2005-11-02T09:46:36.000Z,,cm,264,Driving Range,Nelson Rd,VALLEY VIEW,Active,Leased,,,38847.384399,945.478387
201,2005-11-02T09:46:36.000Z,,cm,268,Plantation,Nelson Rd,VALLEY VIEW,Passive,,,,4695.561383,1126.306585
202,2005-11-02T09:46:37.000Z,,cm,274,Burton Ave Reserve,Burton Ave,WINDSOR GARDENS,Passive,,,,1390.387735,180.681402
203,2005-11-02T09:46:37.000Z,,cm,275,Dicksons Rd Reserve,Dicksons Rd,WINDSOR GARDENS,Passive,,,,1092.187983,168.716439
204,2005-11-02T09:46:37.000Z,,cm,276,Glanton Cres Reserve,Glanton Cres,WINDSOR GARDENS,Passive,,,,1208.439746,133.097701
205,2005-11-02T09:46:37.000Z,2008-05-16T09:02:59.000Z,cm,341,Lagonda Dr Reserve,Lagonda Dr,WINDSOR GARDENS,,,,,13690.622328,484.523603
206,2005-11-02T09:46:37.000Z,,cm,279,Lois Bell Reserve,Redbank Gr,WINDSOR GARDENS,Passive,,,,4261.925827,272.519643
207,2005-11-02T09:46:37.000Z,2008-05-16T09:04:43.000Z,cm,281,Boyd St Closure,Longview Rd & Boyd St,WINDSOR GARDENS,Passive,,,,681.952131,243.939157
208,2005-11-02T09:46:38.000Z,2008-05-16T09:04:44.000Z,cm,520,Longview Rd Reserve,Cnr Longview Rd & Sudholz Rd,WINDSOR GARDENS,Passive,,,,1793.432314,286.81584
209,2005-11-02T09:46:38.000Z,,cm,282,McLaughlan Rd Reserve,Mclaughlan Rd,WINDSOR GARDENS,Passive,,,,2720.24062,198.693016
210,2005-11-02T09:46:38.000Z,,cm,283,Portland St Reserve,Portland St,WINDSOR GARDENS,Passive,,,,2024.077939,187.910919
211,2005-11-02T09:46:38.000Z,,cm,284,Tallack St Reserve,Tallack St,WINDSOR GARDENS,Passive,,,,881.144582,117.454706
212,2005-11-02T09:46:38.000Z,,cm,285,Tarpeena Ave Reserve,Tarpeena Ave,WINDSOR GARDENS,Passive,,,,440.750991,92.463177
213,2005-11-02T09:46:38.000Z,,cm,287,George Crawford Reserve,Lothian Ave,WINDSOR GARDENS,Passive,,,,9921.585783,402.955432
214,2005-11-02T09:46:38.000Z,,cm,288,Windsor Gdns Community Centre,Danby Ave,WINDSOR GARDENS,Passive,,,,2598.624709,201.282437
216,2005-11-02T09:46:38.000Z,,cm,291,Drain,Dunstan Rd  to Cormack Rd,WINGFIELD,Passive,,,,17961.935883,1956.119312
217,2005-11-02T09:46:38.000Z,,cm,291,Drain,Lot 4 Rosberg Rd,WINGFIELD,Passive,,,,49785.462752,2080.695442
218,2005-11-02T09:46:39.000Z,,cm,294,Second St Reserve,Second St,WINGFIELD,Passive,,,,1078.986243,131.801893
219,2005-11-02T09:46:39.000Z,,cm,295,Wingfield Reserve,North Tce,WINGFIELD,Passive,,,,43307.049368,1871.910219
220,2005-11-02T09:46:39.000Z,,cm,296,Alexander Gr Reserve,Alexander Gr,WOODVILLE GARDENS,Passive,,,,521.821167,86.520035
221,2005-11-02T09:46:25.000Z,2008-05-15T09:06:09.000Z,cm,501,Paluma Reserve,Paluma St,LARGS NORTH,Passive,,,,1229.920583,158.338578
222,2005-11-02T09:46:27.000Z,2008-05-15T09:12:36.000Z,cm,154,Mariners Park Reserve,Spinnaker Ct,NORTH HAVEN,Passive,,,,11082.018453,901.667729
223,2008-05-15T09:34:06.000Z,2008-05-16T09:03:05.000Z,cm,203,Emerald Park Reserve,Rosewater Tce,ROSEWATER,Passive,,,,5954.059643,790.337403
224,2008-05-15T10:09:53.000Z,2008-05-16T09:03:08.000Z,cm,373,Western Region Reserve,Old Port Rd Ext,PORT ADELAIDE,Passive,,,,43838.957532,893.99571
225,2008-05-15T10:09:53.000Z,2008-05-15T10:25:44.000Z,cm,216,Joyce Snadden Reserve,Minories,PORT ADELAIDE,Passive,,,,23302.569769,1339.583671
226,2008-05-15T10:26:52.000Z,2008-05-16T09:03:11.000Z,cm,224,Woodlot Reserve,Minories & Hack St,PORT ADELAIDE,Passive,,,,9185.087563,617.193499
227,2008-05-15T10:54:16.000Z,2008-05-16T09:03:16.000Z,cm,309,Richard Day Reserve,Lachlan St,WOODVILLE GARDENS,Passive,,,,5294.52127,325.650291
228,2008-05-15T11:00:55.000Z,2008-05-16T09:04:22.000Z,cm,535,Palmer Avenue Reserve,Palmer Ave,KILBURN,Passive,,,,1699.887746,167.204283
229,2008-05-15T11:06:09.000Z,2008-05-16T09:03:51.000Z,cm,15,Barton St Reserve,Barton St,BLAIR ATHOL,Passive,,,,10976.38841,431.552134
230,2008-05-15T11:20:52.000Z,2008-05-16T09:03:49.000Z,cm,333,Rockingham Reserve,Rockingham Dr,NORTHGATE,Passive,,,,3929.753867,250.891619
231,2008-05-15T11:24:40.000Z,2008-05-16T09:03:49.000Z,cm,310,Butler Grove Reserve,Butler Gr,NORTHGATE,Passive,,,,3133.435854,221.811515
232,2005-11-02T09:46:22.000Z,2008-05-15T11:29:46.000Z,cm,130,Hillcrest Community Centre,Queensborough Ave,HILLCREST,Passive,,,,3516.498115,240.431377
233,2008-05-15T11:38:45.000Z,2008-05-16T09:03:47.000Z,cm,358,Greengate Close,Greengate Cl,NORTHGATE,Passive,,,,1766.01461,168.785815
234,2008-05-15T11:43:30.000Z,2008-05-16T09:03:46.000Z,cm,320,Swanbourne Reserve,Swanbourne Dr,NORTHGATE,Passive,,,,3295.267552,255.063786
235,2008-05-15T11:48:33.000Z,2008-05-16T09:03:45.000Z,cm,322,Stonewell Common,Stonewell Cmmn,NORTHGATE,Passive,,,,6453.148327,344.631562
236,2008-05-15T11:55:30.000Z,2008-05-16T09:03:44.000Z,cm,323,Westbrook Tce Reserve/Buffer,Westbrook Tce,NORTHGATE,Passive,,,,3068.824567,666.358228
238,2008-05-15T13:13:04.000Z,2008-05-16T09:03:42.000Z,cm,352,Hillside Reserve,Hillside Ct,WALKLEY HEIGHTS,Passive,,,,781.147912,138.945227
239,2008-05-15T13:10:09.000Z,2008-05-16T09:03:44.000Z,cm,335,Walkley Heights Buffer,Walkleys Rd,WALKLEY HEIGHTS,Passive,,,,12180.801378,1659.563539
240,2005-11-02T09:46:36.000Z,2008-05-15T13:27:07.000Z,cm,268,Plantation,Walkleys Rd,VALLEY VIEW,Passive,,,,26347.77868,2258.242735
241,2005-11-02T09:46:20.000Z,2008-05-15T13:32:04.000Z,cm,76,Lion Peter Wesbroom Reserve,McKinlay Ave,GILLES PLAINS,Passive,,,,6554.580664,365.960629
242,2005-11-02T09:46:37.000Z,2008-05-15T13:53:05.000Z,cm,277,Hartley Gr Reserve,Hartley Gr,WINDSOR GARDENS,Passive,,,,8789.28555,448.213009
243,2008-05-19T13:33:18.000Z,2008-05-19T13:34:08.000Z,cm,553,Springwood Way Street Scape,Springwood Way,NORTHGATE,Passive,,,,325.153407,116.547906
245,2005-11-02T09:46:30.000Z,2008-05-19T13:43:55.000Z,cm,312,Vickers Vimy Reserve,The Promenade,NORTHGATE,Active,Maintained by CL 1/9/03,,,30553.424753,707.211893
246,2005-11-02T09:46:30.000Z,2008-05-19T14:01:03.000Z,cm,331,Paddington Walkway,Paddington Ave,NORTHGATE,Passive,,,,210.074262,75.692732
247,2005-11-02T09:46:30.000Z,2008-05-19T14:01:56.000Z,cm,313,Petaluma Reserve,Petaluma Cl,NORTHGATE,Passive,,,,2225.276634,200.332735
248,2005-11-02T09:46:30.000Z,2008-05-19T14:02:38.000Z,cm,318,Northwood Ave Reserve,Northwood Ave,NORTHGATE,Passive,,,,2380.904076,278.776137
249,2005-11-02T09:46:30.000Z,2008-05-19T14:05:02.000Z,cm,314,Charlick Sq Reserve,Charlick Sq,NORTHGATE,Passive,,,,1924.516351,174.221131
250,2008-05-19T14:07:03.000Z,2008-05-19T14:08:04.000Z,cm,349,Boucaut Ave Reserve,Boucaut Ave,KLEMZIG,,,,,1831.143051,372.827516
251,2008-05-19T14:11:15.000Z,2008-05-19T14:11:58.000Z,cm,,,Oxford Cres,OAKDEN,,,,,716.40377,131.790653
252,2008-05-19T14:12:40.000Z,2008-05-19T14:13:05.000Z,cm,,,Crn Blacks Rd & Milbank Ave,GILLES PLAINS,,,,,534.773941,127.11646
254,2005-11-02T09:46:31.000Z,2008-05-19T15:32:33.000Z,cm,190,Sir Ross Smith Bvd,Lot 2106 Fosters Rd,OAKDEN,Passive,,,,18081.692722,4875.022488
255,2008-05-19T15:35:59.000Z,2008-05-19T15:37:19.000Z,cm,68,Blacks Rd Plantation,Blacks Rd,GILLES PLAINS,Passive,,,,2791.565264,970.619677
256,2005-11-02T09:46:38.000Z,2008-05-19T15:43:36.000Z,cm,286,Welkin St Reserve,Welkin St,WINDSOR GARDENS,Passive,,,,6658.69546,642.679827
257,2008-05-19T15:47:25.000Z,2008-05-19T15:48:15.000Z,cm,94,Ray Norton Reserve,Chaplin Ave,HILLCREST,Passive,,,,16692.488913,699.344476
258,2005-11-02T09:46:22.000Z,2008-05-19T15:47:57.000Z,cm,92,Flinders Rd Reserve,Flinders Rd,HILLCREST,Passive,,,,19425.89454,1577.802335
259,2008-05-15T11:30:57.000Z,2008-05-19T15:49:21.000Z,cm,91,Queensborough Reserve,Queensborough Ave,HILLCREST,Passive,,,,6893.823283,480.41093
263,2005-11-02T09:46:18.000Z,2008-05-20T08:17:31.000Z,cm,62,Waite St Reserve,166 Hart St,ETHELTON,Passive,,,,1142.06718,133.292674
266,2008-05-15T14:03:46.000Z,2008-05-16T09:03:39.000Z,cm,544,Killara Reserve,Crn Angle Rd and Killara St,ANGLE PARK,Passive,,,,3039.93446,226.404858
267,2005-11-02T09:46:33.000Z,2008-05-15T14:11:55.000Z,cm,228,Days Rd Reserve,Cnr Days & South Rd's,REGENCY PARK,Passive,,,,4480.823011,640.220565
268,2005-11-02T09:46:39.000Z,2008-05-15T14:14:22.000Z,cm,407,Hanson Reserve,Hookings Tce,WOODVILLE GARDENS,Active,,,,26150.312253,649.763843
269,2005-11-02T09:46:19.000Z,2008-05-15T14:17:34.000Z,cm,324,Shillabeer Reserve,28-44 McRostie St,FERRYDEN PARK,Passive,,,,5263.812559,313.041469
270,2005-11-02T09:46:19.000Z,2008-05-15T14:20:02.000Z,cm,308,Tao Dan Reserve,Intersection Balranald & Sutherland,FERRYDEN PARK,Passive,,,,3927.387923,265.036288
271,2005-11-02T09:46:39.000Z,2008-05-15T14:21:44.000Z,cm,307,Mikawomma Reserve,Liberty Gr,WOODVILLE GARDENS,,,,,7108.198797,409.130432
272,2005-11-02T09:46:19.000Z,2008-05-15T14:24:05.000Z,cm,64,Ferryden Park Reserve,Lot 2000 Sutherland Rd,FERRYDEN PARK,Active,,,,30152.653408,846.075826
273,2005-11-02T09:46:14.000Z,2008-05-16T09:08:59.000Z,cm,11,Veteran Memorial Reserve,Lot 201 Nelson Rd,ANGLE PARK,Passive,,,,5873.125611,343.344573
274,2005-11-02T09:46:26.000Z,2008-05-15T14:31:11.000Z,cm,143,Hamley Cres Reserve,Hamley Cres / Irwin St,MANSFIELD PARK,Passive,,,,1859.739537,177.829211
275,2005-11-02T09:46:19.000Z,2008-10-13T11:51:22.000Z,cm,59,Mangrove Cove,Wirra Dr,NEW PORT,Passive,,,,24409.821377,661.445771
276,2008-05-15T14:41:17.000Z,2008-05-16T09:03:38.000Z,cm,244,Timeball Tower Reserve,Esplanade,SEMAPHORE,Passive,,,,2355.118809,194.421029
277,2008-05-16T13:55:18.000Z,2008-05-16T13:56:11.000Z,cm,356,Eastern Pde Buffer,Eastern Pde,OTTOWAY,Passive,,,,954.455695,270.876752
278,2008-05-16T13:59:10.000Z,2008-05-16T13:59:45.000Z,cm,370,Ruby Ct Swale,Ruby Ct,OTTOWAY,Passive,,,,2707.36014,373.553225
279,2008-05-16T14:00:26.000Z,2008-05-16T14:01:19.000Z,cm,202,Recycle Park,Vernon Smith Ct,OTTOWAY,Passive,,,,263.910994,99.604055
280,2008-05-16T14:02:59.000Z,2008-05-16T14:03:47.000Z,cm,504,South Terrace Drainage Reserve,South Tce - South Rd Intersection,WINGFIELD,Passive,,,,492.273974,90.238724
281,2008-05-16T14:42:44.000Z,2008-05-16T14:44:07.000Z,cm,557,Mansfield Park Drainage Reserve,Grand Junction Rd & Dudley St,MANSFIELD PARK,Passive,Drainage Reserve,,,3533.810557,794.968762
282,2008-05-16T14:46:20.000Z,2008-05-16T14:47:27.000Z,cm,541,Bayfield Court Street Scape,Bayfield Ct,FERRYDEN PARK,Passive,,,,97.938615,65.111585
283,2008-05-16T14:47:51.000Z,2008-05-16T14:48:47.000Z,cm,542,Le Galles Court Street Scape,Le Galles Ct,FERRYDEN PARK,Passive,,,,62.045105,48.872368
284,2008-05-16T14:49:55.000Z,2008-05-16T14:50:40.000Z,cm,326,Oban Traffic Island,Oban St,FEERYDEN PARK,,,,,194.36969,67.505041
285,2008-05-16T14:56:28.000Z,2008-05-16T14:57:13.000Z,cm,538,Milne Court Street Scape,Milne Ct,FERRYDEN PARK,Passive,,,,127.618316,75.370607
286,2008-05-16T14:57:49.000Z,2008-05-16T14:58:31.000Z,cm,539,Bradley Court Street Scape,Bradley Ct,FERRYDEN PARK,Passive,,,,107.441516,59.953235
287,2008-05-16T14:59:08.000Z,2008-05-16T14:59:47.000Z,cm,63,Coker St Landscape,Coker St,FERRYDEN PARK,Passive,,,,225.388717,94.620141
288,2008-05-16T15:00:18.000Z,2008-05-16T15:01:02.000Z,cm,344,Romilly Ave Closure,Romily Ave,WOODVILLE GARDENS,Passive,,,,354.523383,86.689306
289,2008-05-16T15:01:22.000Z,2008-05-16T15:02:55.000Z,cm,327,Gainsborough St Landscape,Gainsborough St,FERRYDEN PARK,Passive,,,,352.07987,151.323588
290,2008-05-16T14:53:24.000Z,2008-05-16T15:05:51.000Z,cm,325,Westwood Bvd,Westwood Bvd,FERRYDEN PARK,Passive,,,,1753.165604,414.092381
291,2008-05-16T14:51:05.000Z,2008-05-16T15:06:22.000Z,cm,543,Mackenzie Court Street Scape,Mackenzie Ct,FERRYDEN PARK,Passive,,,,194.87946,90.029374
292,2008-05-16T13:56:50.000Z,2008-05-16T15:06:57.000Z,cm,505,Eastern Parade Street Scape,Crn Matson Ct,GILLMAN,,,,,1653.282402,611.239427
293,2008-05-16T13:33:54.000Z,2008-05-16T15:08:19.000Z,cm,208,Commercial Rd and Mall Walkway,St Vincent St - Baynes Pl,PORT ADELAIDE,Passive,,,,2636.528789,1517.625903
294,2008-05-16T10:43:45.000Z,2008-05-16T15:08:57.000Z,cm,223,Wellington St Median,Wellington St,PORT ADELAIDE,Passive,,,,4458.776832,638.459139
295,2008-05-16T15:20:49.000Z,2008-05-16T15:21:50.000Z,cm,357,Coolah St Reserve,Coolah St,KILBURN,Passive,,,,493.574138,102.19766
296,2008-05-16T15:22:52.000Z,2008-05-16T15:26:37.000Z,cm,536,Kintore Avenue Street Scape,Kintore Ave - Horley Tce Intersection,KILBURN,Passive,,,,236.718064,70.799476
297,2008-05-16T15:27:05.000Z,2008-05-16T15:27:58.000Z,cm,302,Kilburn Community Hall,Le Hunte St,KILBURN,Passive,,,,1950.450618,188.910374
298,2008-05-16T15:28:39.000Z,2008-05-16T15:30:38.000Z,cm,537,Goodman Avenue Street Scape,Goodman Ave,KILBURN,Passive,,,,1191.502677,190.111093
299,2005-11-02T09:46:15.000Z,2008-05-16T15:34:52.000Z,cm,17,Florence Ave Cul-de-sac,Cnr Florence Ave & Houston Ave,BLAIR ATHOL,Passive,Traffic control streetscape,,,523.195889,159.132948
300,2008-05-16T15:36:39.000Z,2008-05-16T15:37:58.000Z,cm,360,Bristol Ave Reserve,Bristol Ave,ENFIELD,Passive,Road Reserve,,,1401.302557,203.737788
301,2005-11-02T09:46:34.000Z,2008-05-19T11:29:01.000Z,cm,239,Margaret St Reserve,Margaret St,SEFTON PARK,Passive,,,,446.40539,104.540126
302,2008-05-19T11:30:10.000Z,2008-05-19T11:31:13.000Z,cm,361,Taunton Rd Reserve,Tauton Rd,MANNINGHAM,Passive,Road Reserve,,,712.602927,155.501182
303,2008-05-19T11:36:40.000Z,2008-05-19T11:37:24.000Z,cm,53,Tindall Rd Plantation,Tindall Rd,ENFIELD,Passive,,,,411.793485,83.453211
304,2008-05-19T11:38:33.000Z,2008-05-19T11:39:31.000Z,cm,44,Central Ave Plantation,Central Ave,ENFIELD,Passive,,,,2805.721925,247.666021
305,2008-05-19T11:42:42.000Z,2008-05-19T11:43:40.000Z,cm,21,Cavan Rd Closure,Cavan Rd,DRY CREEK,Passive,Road Closure,,,747.379872,121.221638
306,2008-05-19T12:42:20.000Z,2008-05-19T12:50:37.000Z,cm,371,State Sports Park,Main North Rd,GEPPS CROSS,Passive,,,,125051.596753,8730.973546
307,2005-11-02T09:46:29.000Z,2008-05-19T12:57:05.000Z,cm,175,E J Smith Reserve,"Lots 51, 34 Grand Junction Rd",NORTHFIELD,Active,,,,34318.424326,825.537727
308,2005-11-02T09:46:30.000Z,2008-05-19T12:57:09.000Z,cm,185,Strawson Rd,Strawson Rd,NORTHFIELD,Passive,Plantation,,,5501.871502,599.34285
309,2005-11-02T09:46:30.000Z,2008-05-19T12:58:03.000Z,cm,311,Leopold Conrad Reserve,Vickers Vimy Pde,NORTHGATE,Passive,,,,17963.972799,729.022958
310,2008-05-19T12:59:31.000Z,2008-05-19T13:01:55.000Z,cm,353,Vickers Vimy Plantation,Crn Vickers Vimy Pde & Grand Junction Rd,NORTHGATE,Passive,,,,1855.047068,757.706046
311,2008-05-19T13:02:54.000Z,2008-05-19T13:04:58.000Z,cm,321,Grand Junction Rd Buffers,Grand Junction Rd,NORTHGATE,Passive,,,,18495.05873,1351.093205
312,2008-05-19T13:05:41.000Z,2008-05-19T13:06:51.000Z,cm,320,Swanbourne Reserve,Swanbourne Dr,NORTHGATE,Passive,,,,1029.747184,526.957688
313,2008-05-19T13:07:33.000Z,2008-05-19T13:08:05.000Z,cm,372,Wakefield Place Landscape,Wakefield Pl,NORTHGATE,Passive,,,,305.674107,132.947023
314,2008-05-19T13:08:59.000Z,2008-05-19T13:10:26.000Z,cm,366,Mornington Tce Landscape,Mornington Tce,NORTHGATE,Passive,,,,436.19314,267.097608
315,2008-05-19T13:11:16.000Z,2008-05-19T13:11:50.000Z,cm,367,Navigator Walkway,Navigator Walkway,NORTHGATE,Passive,,,,890.67394,150.262816
316,2008-05-19T13:12:32.000Z,2008-05-19T13:13:08.000Z,cm,332,Chaffey Common,Chaffey Cmmn,NORTHGATE,Passive,,,,784.975577,146.746456
317,2008-05-19T13:14:47.000Z,2008-05-19T13:17:22.000Z,cm,317,Fosters Rd Landscape,Fosters Rd,NORTHGATE,Passive,,,,2204.832187,454.418262
318,2008-05-19T13:23:49.000Z,2008-05-19T13:24:30.000Z,cm,365,Hillcrest Area Swale,Hillcrest Area Swale,OAKDEN,Passive,,,,9444.193092,891.626518
319,2008-05-19T13:26:04.000Z,2008-05-19T13:29:12.000Z,cm,182,Rowe Ave Plantation,Rowe Ave,NORTHFIELD,Passive,,,,13272.709402,1221.184229
320,2008-05-19T13:29:47.000Z,2008-05-19T13:30:54.000Z,cm,545,Hampstead Road Street Scape,Hampstead Rd,NORTHFIELD,Passive,,,,867.46764,467.927872
321,2008-05-19T13:32:11.000Z,2008-05-19T13:32:43.000Z,cm,336,Common Rd Closure,The Common,NORTHGATE,Passive,,,,187.90467,61.14385
322,2005-11-02T09:46:19.000Z,2008-05-20T08:18:50.000Z,cm,69,John Hart Reserve,Cnr Hart St & Swan Tce,ETHELTON,Active,,,,39501.666883,786.63585
323,2005-11-02T09:46:34.000Z,2008-05-20T08:19:52.000Z,cm,247,Glanville Coachhouse Reserve,Park Ave,SEMAPHORE SOUTH,Passive,,,,7327.596094,342.648929
324,2005-11-02T09:46:32.000Z,2008-05-15T14:49:28.000Z,cm,207,Tim Hunt Way Reserve,Lot 20 Tim Hunt Way,PETERHEAD,Passive,,,,4628.45226,607.541876
325,2008-05-15T14:50:34.000Z,2008-05-16T09:03:37.000Z,cm,506,May Street Drainage Reserve,May St,PETERHEAD,Passive,,,,1048.922599,169.872787
326,2005-11-02T09:46:27.000Z,2008-05-15T15:18:42.000Z,cm,152,Catherine Hutton Reserve,Lot 904 Lady Gowrie Dr,NORTH HAVEN,,,,,5937.862318,311.243125
327,2005-11-02T09:46:27.000Z,2008-05-15T15:20:35.000Z,cm,151,Ian W Fotheringham Memorial Reserve Jaycee,Lady Gowrie Dr,NORTH HAVEN,Passive,,,,17118.869981,771.403738
328,2008-05-15T15:32:28.000Z,2008-05-16T09:03:35.000Z,cm,258,Solvay Rd Plantation,Solvay Rd,OSBORNE,Passive,,,,6890.664349,1245.573437
329,2008-05-16T09:19:06.000Z,2008-05-16T09:21:32.000Z,cm,128,Railway Tce,Moldavia Walk to Strathfield Tce,TAPEROO,,,,,1842.234551,1412.840369
330,2008-05-16T09:22:13.000Z,2008-05-16T09:23:52.000Z,cm,128,Railway Tce,Marmora Tce to Moldavia Walk,OSBORNE,Passive,,,,1903.561961,1089.047187
331,2008-05-16T10:21:44.000Z,2008-05-16T10:23:21.000Z,cm,507,Wollowra Crescent Walkway Street Scape,Paluma St to Victoria Rd,LARGS NORTH,Passive,,,,167.57082,115.842376
332,2008-05-16T10:25:16.000Z,2008-05-16T10:27:20.000Z,cm,508,Mariners Way Entry Statement,Willochra St,LARGS NORTH,Passive,,,,888.492934,413.914977
333,2008-05-16T10:31:49.000Z,2008-05-16T10:32:51.000Z,cm,128,Railway Tce,Jetty Rd to Fletcher Rd,LARGS BAY,Passive,,,,2862.042876,1473.649399
334,2008-05-16T10:38:17.000Z,2008-10-13T11:49:15.000Z,cm,211,Jervois Bridge Landscape,Hart St,GLANVILLE,Passive,,,,1339.950838,269.781829
335,2008-05-16T10:39:14.000Z,2008-10-13T11:49:32.000Z,cm,211,Jervois Bridge Landscape,Hart St,ETHELTON,Passive,,,,2797.691303,573.710816
336,2008-05-16T10:42:22.000Z,2008-05-16T10:43:02.000Z,cm,364,Fire Station Reserve,Grand Junction Rd,PORT ADELAIDE,Passive,,,,1110.826597,142.810528
337,2008-05-16T10:47:13.000Z,2008-05-16T10:54:33.000Z,cm,212,Minories Road Reserve,St Vincent St - Railway Line,PORT ADELAIDE,Passive,,,,7976.953262,2110.674951
338,2008-05-16T11:03:02.000Z,2008-05-16T11:08:17.000Z,cm,209,Dale St Streetscape,Dale St,PORT ADELAIDE,Passive,,,,4211.640886,1029.37133
339,2008-05-16T11:09:02.000Z,2008-05-16T11:09:33.000Z,cm,346,Church Place,Church Pl,PORT ADELAIDE,Passive,,,,2044.014923,184.10281
340,2008-05-16T13:22:36.000Z,2008-05-16T13:24:12.000Z,cm,221,St Vincent St Streetscape,St Vincent St,PORT ADELAIDE,Passive,,,,964.431821,689.844998
341,2008-05-16T13:30:29.000Z,2008-05-16T13:31:03.000Z,cm,219,Port Mall Garden Bed,Robe St,PORT ADELAIDE,Passive,,,,11.975874,14.690238
342,2008-05-16T13:40:29.000Z,2008-05-16T13:41:29.000Z,cm,218,Port Dock Museum Car Park,Lipson St,PORT ADELAIDE,Passive,,,,703.147727,207.500321
343,2008-05-16T13:43:44.000Z,2008-05-16T13:44:27.000Z,cm,350,No 1 Dock,Port River,PORT ADELAIDE,Passive,,,,175.090008,97.679367
344,2008-05-16T13:45:59.000Z,2008-05-16T13:53:06.000Z,cm,220,Santo Pde Plantation,Santo Pde,PORT ADELAIDE,Passive,,,,1868.082325,834.754596
345,2005-11-02T09:46:35.000Z,2008-05-20T08:20:28.000Z,cm,522,Glanville Par 3 Golf Course,Park Ave,SEMAPHORE SOUTH,Active,,,,34140.469728,874.164041
346,2005-11-02T09:46:35.000Z,2008-05-20T08:24:25.000Z,cm,261,Yandra St Reserve,Yandra St,TAPEROO,Passive,,,,22553.663328,652.564708
347,2005-11-02T09:46:36.000Z,2008-05-20T08:26:21.000Z,cm,521,Yongala St Reserve,Lot 11 Yongala St,TAPEROO,Passive,,,,4916.597391,280.292288
348,2008-05-16T10:28:50.000Z,2008-05-20T08:28:30.000Z,cm,509,Willochra Street Street Scape,Mildred Tce to Elder Rd,LARGS NORTH,Passive,,,,2168.653609,901.013533
349,2008-05-15T15:15:29.000Z,2008-05-20T08:36:23.000Z,cm,159,Lady Gowrie Western Buffer,Lady Gowrie Dr,NORTH HAVEN,,,,,68665.353272,8115.03496
350,2005-11-02T09:46:31.000Z,2008-05-20T08:42:20.000Z,cm,196,Peter Cousins Reserve,Victoria Rd,OSBORNE,Active,"Osborne House, Le Fevre Rec Centre",,,17601.664776,558.639849
351,2005-11-02T09:46:28.000Z,2008-05-20T08:43:07.000Z,cm,161,New Haven Reserve,New Haven Development,OSBORNE,Passive,,,,1425.84719,435.593288
352,2008-05-20T08:46:35.000Z,2008-05-20T08:47:27.000Z,cm,153,Fraser Dr Reserve,Fraser Dr,NORTH HAVEN,Passive,,,,2656.381852,669.859815
353,2008-05-20T08:46:35.000Z,,cm,155,G E Hunter Reserve,Fraser Dr,NORTH HAVEN,Passive,,,,10839.008879,1089.356926
354,2008-05-16T10:17:08.000Z,2008-05-20T08:52:28.000Z,cm,126,Military Rd Median,Strathfield Tce - Kolapore Ave,LARGS NORTH,Passive,,,,5082.96848,906.098484
355,2005-11-02T09:46:35.000Z,2008-05-20T08:56:47.000Z,cm,250,Charron Dr Reserve,Charron Dr,TAPEROO,Passive,,,,7961.873351,738.14913
356,2008-05-16T09:27:08.000Z,2008-05-20T08:57:57.000Z,cm,128,Railway Tce,Moldavia Walk to Strathfield Tce,TAPEROO,Passive,,,,10571.521353,3392.465716
357,2008-05-16T10:01:15.000Z,2008-05-20T08:59:22.000Z,cm,259,Strathfield Medians,Lady Gowrie Dr to Victoria Rd,LARGS NORTH,Passive,,,,13116.334633,1766.736243
358,2005-11-02T09:46:25.000Z,2008-05-20T09:09:36.000Z,cm,129,Snowdens Beach,End of Willochra St,LARGS NORTH,Passive,,,,25589.344347,1719.436687
359,2008-05-15T09:51:56.000Z,2008-05-20T09:19:08.000Z,cm,217,Allan Iverson Reserve,Grand Junction Rd,PORT ADELAIDE,Active,,,,18767.331352,593.504412
360,2008-05-15T10:09:53.000Z,2008-05-20T09:20:40.000Z,cm,524,Port Adelaide Rugby,Old Port Rd Ext,PORT ADELAIDE,Active,,,,28524.990507,702.791485
361,2008-05-15T09:50:33.000Z,2008-05-20T09:20:48.000Z,cm,525,Port Adelaide Football,Baynes Pl,PORT ADELAIDE,Active,,,,32705.187827,786.372021
362,2005-11-02T09:46:33.000Z,2008-05-20T10:45:17.000Z,cm,232,Sunnybrae Farm,Gallipoli Dr & Tikalara St,REGENCY PARK,Passive,,,,27614.767757,671.587602
363,2005-11-02T09:46:33.000Z,2008-05-20T10:54:02.000Z,cm,229,HEP Drainage Channel,Naweena Rd,REGENCY PARK,Passive,,,,93459.222857,5725.55054
365,2008-10-13T11:45:19.000Z,2008-10-13T11:52:08.000Z,cm,531,Promenade Newport Reserve,Wirra Dr,NEW PORT,Passive,Reserve,,,5568.331661,949.665086
