OBJECTID,CREATED,MODIFIEDLAST,MODIFIEDBY,SERIAL_NO,RESERVE_NAME,LOCATION,SUBURB,ACTIVE_PASSIVE,DESCRIPTION,COMPKEY,COMPTYPE,Shape_STArea__,Shape_STLength__
38,2005-11-02T09:46:18.000Z,,cm,47,Enfield Community Centre,540 Regency Rd,ENFIELD,,,,,19982.677882,562.175817
39,2005-11-02T09:46:18.000Z,,cm,48,Enfield Library,1-9 Kensington Crs,ENFIELD,Passive,,,,3409.063311,262.307462
40,2005-11-02T09:46:18.000Z,,cm,50,Kensington Cres,Kensington Cres,ENFIELD,Passive,,,,7800.265318,1222.515488
42,2005-11-02T09:46:18.000Z,,cm,60,Pioneer Cemetery,341 Main North Rd,ENFIELD,Passive,,,,925.128572,134.708221
43,2005-11-02T09:46:18.000Z,,cm,52,Southbury Cres,Lot 151 Silver St,ENFIELD,Passive,,,,1797.106065,163.116224
44,2005-11-02T09:46:18.000Z,,cm,46,The Embankment,Lot 288 Durand Tce,ENFIELD,Passive,Plantation strip,,,2436.87363,1264.490391
45,2005-11-02T09:46:18.000Z,,cm,54,Wheeler Park,Lot 268 Durand Tce,ENFIELD,Passive,,,,398.352091,95.20532
46,2005-11-02T09:46:18.000Z,,cm,299,Wilkinson Common,Lot 120 Wilkinson Crt,ENFIELD,Passive,,,,6822.268439,461.481038
47,2005-11-02T09:46:19.000Z,2008-10-13T11:51:06.000Z,cm,61,Portside Christian School Oval,Bower Rd,NEW PORT,Passive,,,,13544.67383,562.181281
48,2005-11-02T09:46:19.000Z,,cm,57,Causeway Rd,Causeway Rd,ETHELTON,Passive,Hart St Pump Station and Reserve Old Pelham Rd,,,1234.452665,558.268959
49,2005-11-02T09:46:19.000Z,,cm,58,Lew Gilbert Reserve,Lew Gilbert Ct,ETHELTON,Passive,,,,1510.637879,391.030665
50,2005-11-02T09:46:19.000Z,,cm,206,Hutton Pl Reserve,9 Hutton Pl,EXETER,Passive,Detention Basin,,,1584.76269,261.119277
51,2005-11-02T09:46:19.000Z,,cm,65,Inverway St Reserve,Inverway St,FERRYDEN PARK,Passive,,,,1779.392073,158.208712
52,2005-11-02T09:46:19.000Z,,cm,66,Gepps Cross Reserve,Cnr Terama St & Mira St,GEPPS CROSS,Active,,,,23536.356176,608.790728
53,2005-11-02T09:46:20.000Z,,cm,67,Tepko Reserve,Lot 229 Grand Junction Rd,GEPPS CROSS,Passive,,,,3968.715144,309.993286
54,2005-11-02T09:46:20.000Z,,cm,73,Brian Lehmann Reserve,Milbank Ave,GILLES PLAINS,Passive,,,,10072.272455,737.154247
55,2005-11-02T09:46:20.000Z,,cm,518,Brookdale Reserve,Brookdale Cl,GILLES PLAINS,Passive,,,,1088.467211,147.029293
56,2005-11-02T09:46:20.000Z,,cm,70,Fulton Reserve,Fulton St,GILLES PLAINS,Passive,,,,5752.622629,311.034824
57,2005-11-02T09:46:20.000Z,,cm,71,Glenroy Ave Reserve,Glenroy Ave,GILLES PLAINS,Passive,,,,812.071345,147.253715
58,2005-11-02T09:46:20.000Z,,cm,72,Wandana Reserve,Kopoola Cres,GILLES PLAINS,Passive,,,,8697.516774,378.969581
59,2005-11-02T09:46:20.000Z,,cm,74,Morne Cres,Morne Cres,GILLES PLAINS,Passive,,,,821.165345,117.558216
60,2005-11-02T09:46:20.000Z,,cm,75,Oakdale Reserve,Oakdale Dr,GILLES PLAINS,Passive,,,,7825.560552,470.948782
61,2005-11-02T09:46:20.000Z,,cm,77,Swanson Ave,Swanson Ave,GILLES PLAINS,Passive,,,,2245.925136,306.872948
62,2005-11-02T09:46:21.000Z,,cm,78,Gillman Railyards,"Bower Cres, Jennifer St & Bedford St",PORT ADELAIDE,Passive,,,,106870.553321,2502.829578
64,2005-11-02T09:46:21.000Z,,cm,80,TC Diver Derrick Memorial Reserve,Carlisle St,GLANVILLE,Passive,,,,2888.147588,229.772521
65,2005-11-02T09:46:21.000Z,,cm,81,Greenacres Library,Fosters Rd,GREENACRES,Passive,,,,1761.317994,167.257891
66,2005-11-02T09:46:21.000Z,,cm,82,Greenacres Reserve,Cnr Arunta St & Manoora St,GREENACRES,Active,,,,25468.204261,654.346863
67,2005-11-02T09:46:21.000Z,,cm,83,Kirkby Cct Reserve,Kirkby Cct,GREENACRES,Passive,,,,2012.898666,259.559708
68,2005-11-02T09:46:21.000Z,,cm,84,Leander Cres,Leander Cres,GREENACRES,Passive,,,,3172.034227,218.280298
69,2005-11-02T09:46:21.000Z,,cm,85,Princes Rd Reserve,Princes Rd,GREENACRES,Passive,,,,1027.577579,130.119922
70,2005-11-02T09:46:21.000Z,,cm,87,The Parkway,The Parkway,HAMPSTEAD GARDENS,,,,,9662.456249,444.752151
71,2005-11-02T09:46:21.000Z,,cm,88,Augusta St Reserve,Augusta St,HILLCREST,Passive,,,,5154.009902,278.707064
72,2005-11-02T09:46:21.000Z,,cm,89,Dauntless Ave Reserve,North East Rd,HILLCREST,Active,,,,9049.035028,376.305226
73,2005-11-02T09:46:22.000Z,,cm,90,Delhi Ave,Delhi ave,HILLCREST,Passive,,,,19940.008545,1117.769861
74,2005-11-02T09:46:22.000Z,,cm,93,Lion Kevin (Bob) Dyer Reserve,Napier St,HILLCREST,Passive,,,,3700.090158,242.867668
75,2005-11-02T09:46:22.000Z,,cm,95,Tribal St Ponding Basin,Tribal St,HILLCREST,Passive,,,,2489.807421,213.713533
76,2005-11-02T09:46:22.000Z,,cm,96,Tarton Rd Reserve,Tarton Rd,HOLDEN HILL,Passive,,,,2900.20858,229.015527
77,2005-11-02T09:46:22.000Z,,cm,97,Peter McKay Reserve,33 Le Hunte St,KILBURN,Passive,,,,9851.977855,495.855051
78,2005-11-02T09:46:22.000Z,,cm,328,Denver Tce Reserve,62 Jersey Ave,KILBURN,Passive,,,,1713.227438,167.798834
79,2005-11-02T09:46:22.000Z,,cm,98,Kilburn Community Centre,Gladstone Ave,KILBURN,Passive,,,,4328.390808,274.88832
80,2005-11-02T09:46:22.000Z,,cm,303,Sunnybrae Rd Reserve,Carroll Ave,KILBURN,Passive,,,,1529.405612,156.76252
81,2005-11-02T09:46:23.000Z,,cm,304,Mapleton Reserve,Leader Ave,KILBURN,Passive,,,,5349.217297,355.071654
83,2005-11-02T09:46:23.000Z,,cm,305,D G Weidenhafer Reserve,Clarence Ave,KLEMZIG,Passive,,,,2354.251291,241.870345
84,2005-11-02T09:46:23.000Z,,cm,111,Klemzig Reserve (Cosy Nook),14-16 Victoria St,KLEMZIG,Passive,,,,2175.064053,189.536733
85,2005-11-02T09:46:23.000Z,,cm,105,Klemzig Recreation Oval,North East Rd,KLEMZIG,Active,Gaza Oval,,,51605.045546,1057.659354
86,2005-11-02T09:46:23.000Z,,cm,104,Katrina Ave Reserve,Katrina St,KLEMZIG,Passive,,,,1691.144992,216.66535
87,2005-11-02T09:46:23.000Z,,cm,103,Judith St Reserve,Judith St,KLEMZIG,Passive,,,,1741.084631,197.266383
88,2005-11-02T09:46:23.000Z,,cm,113,Ron Bonner Reserve,Wilpena Ave,KLEMZIG,Passive,,,,2335.132033,261.303576
89,2005-11-02T09:46:23.000Z,,cm,107,McCulloch Reserve,McCulloch Ave,KLEMZIG,Passive,,,,1589.271911,284.660222
90,2005-11-02T09:46:23.000Z,,cm,108,Klemzig Memorial Garden,Second Ave & Spring Gr,KLEMZIG,Passive,,,,1805.870502,241.87275
91,2005-11-02T09:46:23.000Z,,cm,109,Stacey Cres Road Closure Plantation,Stacey Ct & Parkwood Gr,KLEMZIG,Passive,,,,585.148601,115.693558
92,2005-11-02T09:46:24.000Z,,cm,115,Elder Rd Plantation,Elder Rd,BIRKENHEAD,Passive,,,,15004.096252,1177.008464
94,2005-11-02T09:46:24.000Z,,cm,121,Hannay St Reserve,Intersection  Woolnough Rd & Military Rd,LARGS BAY,Passive,,,,507.229455,110.94219
95,2005-11-02T09:46:24.000Z,,cm,117,Largs Reserve,Woolnough Rd & Wills St,LARGS BAY,Active,,,,41125.550934,811.164665
96,2005-11-02T09:46:24.000Z,,cm,118,Magarey St Reserve,Military Rd & Fletcher Rd,LARGS NORTH,Passive,,,,1148.422086,189.689549
97,2005-11-02T09:46:24.000Z,,cm,120,Taubmans Corner,Victoria Rd & Warwick St,LARGS BAY,Passive,,,,6730.697292,647.542247
98,2005-11-02T09:46:24.000Z,,cm,114,Almond Tree Flat Reserve,"Centre St, Kirkby Tce, Warwick St",LARGS NORTH,Active,,,,21301.542475,662.456741
99,2005-11-02T09:46:24.000Z,,cm,122,Bickers Ct Plantation,Bickers Ct,LARGS NORTH,Passive,,,,460.875985,270.476325
101,2005-11-02T09:46:24.000Z,,cm,124,Largs North Reserve,289 - 307 Victoria Rd,LARGS NORTH,Active,,,,61451.654123,1109.5785
102,2005-11-02T09:46:25.000Z,,cm,127,Mimosa Ct,Mimosa Ct,LARGS NORTH,Passive,Streetscape,,,162.708996,103.586902
103,2005-11-02T09:46:25.000Z,,cm,128,Railway Tce,Between Fletcher Rd & Strathfield Tce,LARGS NORTH,,Plantation,,,6917.931626,1829.147817
104,2005-11-02T09:46:25.000Z,,cm,131,Warilda St Reserve,Warilda St,LARGS NORTH,Passive,,,,2711.963528,217.787723
105,2005-11-02T09:46:25.000Z,,cm,150,Willochra St Depot,Willochra St,LARGS NORTH,,,,,14311.913319,610.701428
106,2005-11-02T09:46:25.000Z,,cm,132,Bennett Memorial Reserve,Bennett Ave,MANNINGHAM,Passive,,,,12157.061373,482.502558
107,2005-11-02T09:46:25.000Z,,cm,133,Cheviot & Lincoln Rds,Cheviot Rd,MANNINGHAM,Passive,Road Closure,,,1947.405258,614.651674
108,2005-11-02T09:46:25.000Z,,cm,502,Hobart Cres Reserve,Hobart Cres,MANNINGHAM,Passive,,,,1546.397545,395.491173
109,2005-11-02T09:46:25.000Z,,cm,135,J R Chaplin Reserve,Lot 29 Willow Ave,MANNINGHAM,Passive,,,,549.115227,95.519316
110,2005-11-02T09:46:25.000Z,,cm,136,Laurie Knight Reserve,Rosslyn Ave,MANNINGHAM,Passive,Lions Club of Enfield Memorial Park,,,8866.400728,376.79526
111,2005-11-02T09:46:26.000Z,,cm,137,Melbourne Cres Reserve,Melbourne Cres,MANNINGHAM,Passive,,,,2472.396118,195.29353
112,2005-11-02T09:46:26.000Z,,cm,138,Willow Ct,Willow Ct,MANNINGHAM,Passive,Traffic Island,,,70.868955,37.774479
113,2005-11-02T09:46:26.000Z,,cm,139,Dudley Cres Reserve,Dudley Cres,MANSFIELD PARK,Passive,,,,3592.57178,254.878092
114,2005-11-02T09:46:26.000Z,,cm,140,Frederick St Reserve,Frederick St,MANSFIELD PARK,Passive,,,,1946.947769,175.023559
115,2005-11-02T09:46:26.000Z,,cm,142,Gladstone Cres Reserve,Gladstone Cres,MANSFIELD PARK,Passive,,,,3722.266084,298.141341
116,2005-11-02T09:46:26.000Z,,cm,144,Philia Ct,Philia Ct,MANSFIELD PARK,Passive,Streetscape,,,226.892057,136.680596
117,2005-11-02T09:46:26.000Z,,cm,145,Reg Robinson Reserve,Wilson St,MANSFIELD PARK,Passive,,,,32893.922633,709.02109
118,2005-11-02T09:46:26.000Z,,cm,167,A M Rennie Reserve,Gordon Luxton Dr,NORTH HAVEN,Passive,,,,2004.808093,187.05143
119,2005-11-02T09:46:26.000Z,,cm,158,A T Knibbs Reserve,Wirraway Ct,NORTH HAVEN,Passive,,,,1528.4513,228.688015
120,2005-11-02T09:46:26.000Z,,cm,146,Australia II Ave Plantation,Australia II Ave,NORTH HAVEN,Passive,Plantation,,,1239.116901,882.270669
121,2005-11-02T09:46:27.000Z,,cm,147,E A Carlson Reserve,Carlson Dr,NORTH HAVEN,Passive,,,,5385.155629,300.08718
122,2005-11-02T09:46:27.000Z,,cm,148,E R Charles Reserve,Tapping Cres,NORTH HAVEN,Passive,,,,10753.105621,628.433153
123,2005-11-02T09:46:27.000Z,,cm,168,E S P Rogers Reserve,Sea Spray Ave,NORTH HAVEN,Passive,,,,10901.63178,541.573189
124,2005-11-02T09:46:27.000Z,,cm,149,Failie Dr Reserve,Lots 10 & 102 Falie Dr,NORTH HAVEN,Passive,,,,1194.118895,213.179378
125,2005-11-02T09:46:27.000Z,,cm,354,Gulf Point Reserve,2 Gulf Point Dr,NORTH HAVEN,Passive,,,,1025.009948,583.19763
126,2005-11-02T09:46:27.000Z,,cm,156,J B Dearing Reserve,Iberia Ct,NORTH HAVEN,Passive,,,,5716.666676,528.482049
