DOG_BREED,,,DOG_SUBURB
Golden Retriever,yes,Female,TOORAK GARDENS
Maltese Cross,yes,Female,KENSINGTON PARK
Beagle Cross,no,Female,TOORAK GARDENS
Siberian Husky,yes,Female,ROSE PARK
Papillon,yes,Female,GLEN OSMOND
Lhasa Apso,yes,Female,FREWVILLE
Shih-Tzu,yes,Female,BEAUMONT
Labrador Retriever,yes,Female,GLEN OSMOND
Cavalier King Charles Spaniel,no,Female,WATTLE PARK
Pomeranian Cross,yes,Male,GLEN OSMOND
Labrador Retriever Cross,yes,Female,MOUNT OSMOND
Dachshund Minature,yes,Female,GLEN OSMOND
Labrador Retriever,yes,Female,ROSSLYN PARK
Labrador Retriever Cross,yes,Female,HAZELWOOD PARK
Cocker Spaniel Cross,yes,Female,KENSINGTON PARK
Golden Retriever,yes,Male,TUSMORE
Maltese Cross,yes,Male,ERINDALE
Shih-Tzu Cross,yes,Male,FREWVILLE
Hungarian Vizsla,yes,Male,MOUNT OSMOND
Beagle Cross,yes,Female,FREWVILLE
Maltese Cross,yes,Male,STONYFELL
Jack Russell Terrier,yes,Male,KENSINGTON PARK
Bearded Collie,yes,Male,BEULAH PARK
Poodle Toy Cross,yes,Male,DULWICH
Maltese,yes,Female,LEABROOK
Papillon Cross,yes,Female,ST GEORGES
Labrador Retriever Cross,yes,Male,BEAUMONT
Labrador Retriever Cross,no,Male,SKYE
Maltese,yes,Male,LINDEN PARK
German Short-haired Pointer,yes,Male,WATTLE PARK
Samoyed Cross,yes,Female,KENSINGTON GARDENS
Shetland Sheepdog,yes,Male,KENSINGTON PARK
Chihuahua,yes,Male,KENSINGTON PARK
Golden Retriever Cross,no,Male,LEABROOK
Maltese Cross,yes,Male,LINDEN PARK
Cavalier King Charles Spaniel,yes,Male,ST GEORGES
Maltese Cross,yes,Male,STONYFELL
Fox Terrier Wire,yes,Male,KENSINGTON PARK
Beagle Cross,yes,Female,ROSSLYN PARK
Siberian Husky,yes,Male,BURNSIDE
Border Collie,yes,Male,STONYFELL
Labrador Retriever,yes,Male,GLENUNGA
Border Collie,no,Male,TOORAK GARDENS
Maltese Cross,yes,Male,KENSINGTON PARK
Cavalier King Charles Spaniel,yes,Male,BURNSIDE
Maltese Cross,yes,Male,BURNSIDE
Labrador Retriever,yes,Male,MOUNT OSMOND
Maltese,yes,Female,GLEN OSMOND
Hungarian Vizsla,yes,Female,BEAUMONT
Golden Retriever,yes,Male,ERINDALE
Maltese Cross,no,Male,ST GEORGES
St Bernard,yes,Male,TUSMORE
Whippet,no,Male,MAGILL
Brittany,yes,Male,HAZELWOOD PARK
Golden Retriever,yes,Male,MAGILL
Maltese Cross,yes,Male,ERINDALE
Labrador Retriever Cross,yes,Male,MAGILL
Cocker Spaniel Cross,yes,Male,KENSINGTON PARK
Cocker Spaniel Cross,yes,Male,BURNSIDE
Papillon,yes,Male,TUSMORE
Maltese Cross,yes,Male,MAGILL
Shih-Tzu,yes,Unknown,TOORAK GARDENS
Labrador Retriever,yes,Male,AULDANA
Australian Kelpie Cross,yes,Female,ROSSLYN PARK
Fox Terrier Smooth Cross,yes,Male,DULWICH
American Staffordshire Terrier Cross,yes,Male,ST GEORGES
Australian Shepherd Cross,no,Male,GLENSIDE
Border Collie,yes,Male,KENSINGTON GARDENS
Pomeranian,no,Male,BEULAH PARK
Jack Russell Terrier,no,Male,KENSINGTON GARDENS
Fox Terrier Smooth,yes,Unknown,TOORAK GARDENS
Labrador Retriever,no,Male,MAGILL
Poodle Miniature Cross,yes,Male,HAZELWOOD PARK
West Highland White Terrier,yes,Male,BURNSIDE
Cocker Spaniel Cross,yes,Male,HAZELWOOD PARK
Maltese Cross,no,Male,WATERFALL GULLY
Beagle,yes,Male,FREWVILLE
Pug,yes,Female,STONYFELL
Border Collie,yes,Male,BURNSIDE
Rottweiler Cross,yes,Female,MOUNT OSMOND
Tibetan Spaniel,yes,Female,WATTLE PARK
Maltese,yes,Male,BURNSIDE
Schnauzer,yes,Male,EASTWOOD
Labrador Retriever,yes,Male,LEABROOK
Great Dane Cross,yes,Male,LINDEN PARK
Welsh Corgi (Pembroke),no,Male,GLENSIDE
Maltese Cross,yes,Male,TOORAK GARDENS
Maltese Cross,yes,Female,BURNSIDE
Tenterfield Terrier cross,yes,Male,ST GEORGES
Pug,no,Female,ERINDALE
Maltese Cross,yes,Male,STONYFELL
Cavalier King Charles Spaniel Cross,no,Male,BURNSIDE
Border Collie,yes,Female,BEULAH PARK
American Staffordshire Terrier Cross,yes,Female,LINDEN PARK
Jack Russell Terrier Cross,yes,Female,GLEN OSMOND
Poodle Miniature,no,Male,DULWICH
Golden Retriever,no,Male,BURNSIDE
Maltese Cross,yes,Male,DULWICH
Chihuahua,yes,Male,LINDEN PARK
Maltese Cross,yes,Male,TUSMORE
Australian Kelpie Cross,yes,Male,MOUNT OSMOND
Shih-Tzu,yes,Male,EASTWOOD
Maltese Cross,yes,Male,KENSINGTON PARK
Greyhound,yes,Female,DULWICH
Labrador Retriever,yes,Male,HAZELWOOD PARK
Schnauzer,yes,Male,WATTLE PARK
Tenterfield Terrier,yes,Male,WATTLE PARK
Golden Retriever,no,Female,LINDEN PARK
Maltese,yes,Female,LEABROOK
Schnauzer,yes,Female,GLEN OSMOND
Maltese Cross,yes,Female,DULWICH
Labrador Retriever,yes,Female,BEAUMONT
Maltese Cross,yes,Female,GLEN OSMOND
Cocker Spaniel,yes,Female,TUSMORE
Golden Retriever,yes,Female,STONYFELL
Pug,yes,Female,GLENUNGA
Cocker Spaniel,yes,Female,HAZELWOOD PARK
Border Collie,yes,Female,WATTLE PARK
Pug,yes,Female,BEULAH PARK
Cocker Spaniel,yes,Female,KENSINGTON PARK
Maltese,yes,Female,GLEN OSMOND
Golden Retriever Cross,yes,Female,ERINDALE
Maltese Cross,yes,Female,GLEN OSMOND
Border Collie,yes,Female,HAZELWOOD PARK
Fox Terrier Wire Cross,yes,Female,KENSINGTON PARK
Golden Retriever,yes,Female,BEAUMONT
Schnauzer,yes,Female,ROSSLYN PARK
Beagle,yes,Female,KENSINGTON GARDENS
Cavalier King Charles Spaniel Cross,yes,Female,GLENSIDE
Australian Kelpie Cross,yes,Female,BEAUMONT
Border Collie,yes,Female,ROSE PARK
Cocker Spaniel Cross,yes,Unknown,ERINDALE
Cavalier King Charles Spaniel Cross,yes,Female,ROSE PARK
Dachshund,yes,Female,GLEN OSMOND
Beagle Cross,yes,Female,KENSINGTON PARK
Jack Russell Terrier,no,Female,BEAUMONT
Manchester Terrier Cross,yes,Female,EASTWOOD
Border Terrier,yes,Female,STONYFELL
Poodle Miniature Cross,no,Female,ERINDALE
Pomeranian,no,Female,AULDANA
Shih-Tzu,no,Female,BURNSIDE
Mixed Breed,yes,Female,KENSINGTON PARK
Boston Terrier,yes,Female,DULWICH
Alaskan Malamute,no,Female,GLEN OSMOND
Dalmatian,no,Female,WATERFALL GULLY
Maltese Cross,yes,Female,LINDEN PARK
Australian Kelpie,yes,Male,WATTLE PARK
Maltese Cross,yes,Male,BURNSIDE
Maltese Cross,yes,Female,WATERFALL GULLY
Pug,yes,Female,TOORAK GARDENS
Cocker Spaniel,yes,Male,TOORAK GARDENS
Beagle,yes,Female,WATTLE PARK
Dachshund Minature,yes,Male,KENSINGTON GARDENS
Beagle,no,Male,ST GEORGES
Cocker Spaniel,yes,Male,KENSINGTON PARK
Labrador Retriever,yes,Male,ROSSLYN PARK
Cavalier King Charles Spaniel,no,Male,AULDANA
Labrador Retriever Cross,yes,Male,ROSE PARK
Labrador Retriever,yes,Male,BEAUMONT
Doberman,yes,Female,LINDEN PARK
Border Collie,yes,Male,TUSMORE
Cavalier King Charles Spaniel,no,Female,BURNSIDE
Jack Russell Terrier Cross,yes,Female,MAGILL
Australian Shepherd Cross,yes,Female,DULWICH
Jack Russell Terrier Cross,yes,Female,ROSSLYN PARK
Beagle,yes,Male,BURNSIDE
Shih-Tzu,yes,Male,ERINDALE
Schnauzer,yes,Female,ROSE PARK
Maltese Cross,no,Female,GLEN OSMOND
Cavalier King Charles Spaniel,yes,Female,BEAUMONT
Cavalier King Charles Spaniel,yes,Female,KENSINGTON PARK
Poodle Miniature Cross,yes,Male,WATTLE PARK
Labrador Retriever,yes,Male,GLENSIDE
French Bulldog,yes,Male,BURNSIDE
Australian Kelpie,no,Male,DULWICH
Whippet,yes,Male,MAGILL
Maltese Cross,no,Male,GLENSIDE
Cocker Spaniel,yes,Male,WATTLE PARK
Poodle Standard,yes,Male,GLEN OSMOND
Pug Cross,yes,Male,KENSINGTON PARK
Cavalier King Charles Spaniel,yes,Male,MAGILL
Bernese Mountain Dog,yes,Male,ROSSLYN PARK
Boston Terrier,no,Male,MAGILL
Poodle Standard,no,Male,EASTWOOD
Shetland Sheepdog,yes,Male,LINDEN PARK
Jack Russell Terrier,yes,Male,WATTLE PARK
Maltese Cross,yes,Male,BEAUMONT
Australian Cattle Dog Cross,yes,Male,BURNSIDE
Cavalier King Charles Spaniel Cross,yes,Male,HAZELWOOD PARK
German Shepherd Dog,yes,Male,ROSSLYN PARK
Border Collie,yes,Male,KENSINGTON PARK
Schnauzer,yes,Male,ST GEORGES
Pug,yes,Male,ST GEORGES
Staffordshire Bull Terrier,no,Male,TUSMORE
Beagle,yes,Male,GLENSIDE
Maltese,yes,Male,KENSINGTON GARDENS
Border Collie,yes,Male,LINDEN PARK
Border Collie,no,Male,ERINDALE
West Highland White Terrier Cross,yes,Male,KENSINGTON GARDENS
Poodle Miniature Cross,yes,Male,HAZELWOOD PARK
Cavalier King Charles Spaniel,yes,Male,BEAUMONT
Labrador Retriever,no,Male,MOUNT OSMOND
Schnauzer,yes,Male,ROSSLYN PARK
Dalmatian,yes,Male,AULDANA
Maltese Cross,yes,Male,DULWICH
Labrador Retriever,yes,Female,GLENSIDE
Staffordshire Bull Terrier Cross,no,Male,FREWVILLE
Chihuahua Cross,yes,Male,DULWICH
Chihuahua,yes,Male,HAZELWOOD PARK
Pug,no,Male,GLENUNGA
Labrador Retriever Cross,yes,Male,LEABROOK
Poodle Miniature Cross,yes,Male,GLENUNGA
Boxer Cross,yes,Female,LEABROOK
Staffordshire Bull Terrier,yes,Female,BEAUMONT
Australian Terrier,yes,Female,TOORAK GARDENS
Maltese Cross,yes,Male,GLENUNGA
Labrador Retriever,no,Male,KENSINGTON PARK
Maltese Cross,yes,Male,WATTLE PARK
Maltese Cross,yes,Male,FREWVILLE
Maltese Cross,yes,Male,BURNSIDE
Maltese,no,Female,BEAUMONT
Jack Russell Terrier Cross,yes,Female,TUSMORE
Cavalier King Charles Spaniel Cross,yes,Female,TUSMORE
Labrador Retriever,yes,Female,GLEN OSMOND
Jack Russell Terrier,yes,Male,STONYFELL
Lhasa Apso,yes,Female,FREWVILLE
Shih-Tzu,yes,Female,GLENUNGA
Border Collie,yes,Female,BEAUMONT
Labrador Retriever Cross,yes,Male,GLENUNGA
Australian Kelpie,yes,Female,STONYFELL
Staffordshire Bull Terrier Cross,yes,Female,ROSSLYN PARK
Labrador Retriever,yes,Female,TOORAK GARDENS
French Bulldog,yes,Female,KENSINGTON GARDENS
Mixed Breed,yes,Female,KENSINGTON GARDENS
Maltese,yes,Female,FREWVILLE
Staffordshire Bull Terrier Cross,yes,Female,KENSINGTON PARK
Maltese Cross,yes,Male,BEAUMONT
Schnauzer,yes,Male,KENSINGTON GARDENS
Pug,yes,Male,AULDANA
Cocker Spaniel Cross,yes,Male,DULWICH
Pug,yes,Male,ERINDALE
Labrador Retriever Cross,yes,Male,HAZELWOOD PARK
Shetland Sheepdog,yes,Male,GLENUNGA
Maltese Cross,yes,Male,DULWICH
Maltese Cross,yes,Male,BEAUMONT
Maltese,yes,Male,DULWICH
Jack Russell Terrier,yes,Male,GLENUNGA
West Highland White Terrier,yes,Male,TOORAK GARDENS
German Shepherd Dog,yes,Male,HAZELWOOD PARK
Soft Coat Wheaten Terrier,yes,Male,GLEN OSMOND
West Highland White Terrier,yes,Male,MAGILL
Cavalier King Charles Spaniel Cross,yes,Male,BEULAH PARK
Maltese Cross,yes,Male,MAGILL
Cocker Spaniel,yes,Male,ROSSLYN PARK
Australian Cattle Dog,yes,Male,WATTLE PARK
Maltese,yes,Male,DULWICH
Cavalier King Charles Spaniel Cross,yes,Male,HAZELWOOD PARK
Kerry Blue Terrier,yes,Male,ST GEORGES
Boxer,yes,Unknown,LINDEN PARK
Italian Greyhound,yes,Male,TUSMORE
Beagle,yes,Female,STONYFELL
Maltese Cross,yes,Male,TOORAK GARDENS
Jack Russell Terrier Cross,yes,Male,GLENUNGA
Gordon Setter,no,Male,ST GEORGES
Golden Retriever,yes,Male,WATTLE PARK
Rottweiler,no,Male,KENSINGTON PARK
Great Dane,yes,Male,BEULAH PARK
Australian Cattle Dog Cross,yes,Male,TOORAK GARDENS
Beagle,yes,Male,BEAUMONT
Schnauzer,yes,Female,STONYFELL
Cavalier King Charles Spaniel,yes,Male,MAGILL
Australian Kelpie Cross,no,Female,FREWVILLE
Poodle Standard Cross,yes,Male,ST GEORGES
Australian Kelpie Cross,yes,Male,KENSINGTON GARDENS
West Highland White Terrier,yes,Female,GLEN OSMOND
Schipperke,yes,Male,HAZELWOOD PARK
Labrador Retriever,yes,Female,GLENUNGA
Schipperke,yes,Female,ROSE PARK
Schnauzer,yes,Female,BEAUMONT
Australian Kelpie,yes,Female,WATTLE PARK
Schnauzer Miniature,yes,Female,BEULAH PARK
Maltese Cross,yes,Female,ROSE PARK
Maltese,yes,Male,STONYFELL
Siberian Husky Cross,yes,Male,HAZELWOOD PARK
Australian Terrier Cross,yes,Male,DULWICH
Dalmatian,yes,Male,WATTLE PARK
Weimaraner,yes,Male,GLENSIDE
Maltese Cross,yes,Male,GLENSIDE
Jack Russell Terrier,yes,Male,GLENUNGA
Jack Russell Terrier,yes,Male,MAGILL
Schnauzer,yes,Male,BEAUMONT
Beagle,no,Male,ERINDALE
Cavalier King Charles Spaniel Cross,no,Male,BEAUMONT
Border Collie,no,Male,SKYE
Maltese,yes,Male,KENSINGTON GARDENS
Labrador Retriever,yes,Male,LEABROOK
Australian Terrier,no,Female,DULWICH
Labrador Retriever,yes,Male,FREWVILLE
Labrador Retriever,no,Male,HAZELWOOD PARK
Pug Cross,yes,Male,GLENSIDE
Italian Greyhound,no,Female,LINDEN PARK
Golden Retriever,yes,Female,BEAUMONT
Chihuahua Cross,yes,Female,GLENUNGA
Schnauzer,no,Female,BEAUMONT
Doberman,no,Female,TUSMORE
Border Collie,yes,Male,GLEN OSMOND
Maltese Cross,yes,Male,LEABROOK
Samoyed,yes,Female,EASTWOOD
Dalmatian,yes,Female,GLENUNGA
Cocker Spaniel Cross,yes,Female,WATTLE PARK
Maltese,yes,Female,ROSE PARK
Poodle Toy,yes,Female,DULWICH
Schnauzer,yes,Female,LINDEN PARK
Australian Cattle Dog,yes,Female,GLEN OSMOND
Border Collie,yes,Female,GLENUNGA
Lhasa Apso,yes,Female,KENSINGTON PARK
Shih-Tzu Cross,yes,Female,MAGILL
Border Terrier,yes,Female,MAGILL
Schnauzer,yes,Female,BEULAH PARK
Australian Kelpie Cross,yes,Female,HAZELWOOD PARK
Shih-Tzu Cross,yes,Female,BEULAH PARK
Pug,no,Female,AULDANA
Fox Terrier Wire,yes,Female,STONYFELL
Maltese Cross,yes,Female,ROSSLYN PARK
Poodle Toy,yes,Female,GLENSIDE
Labrador Retriever,yes,Female,DULWICH
Border Collie,yes,Female,TOORAK GARDENS
Border Collie Cross,yes,Female,KENSINGTON GARDENS
Golden Retriever,yes,Female,DULWICH
Maltese Cross,yes,Female,DULWICH
Jack Russell Terrier,yes,Female,TOORAK GARDENS
German Shepherd Dog,yes,Female,BEULAH PARK
Maltese Cross,yes,Female,GLENUNGA
Cocker Spaniel Cross,yes,Female,WATTLE PARK
Jack Russell Terrier Cross,yes,Female,EASTWOOD
Mixed Breed,yes,Female,MAGILL
Cocker Spaniel,yes,Female,BURNSIDE
Beagle Cross,yes,Female,KENSINGTON GARDENS
Samoyed,yes,Female,BEAUMONT
Poodle Standard,yes,Female,LINDEN PARK
German Short-haired Pointer,yes,Female,BEULAH PARK
Labrador Retriever Cross,yes,Female,HAZELWOOD PARK
Whippet Cross,yes,Female,BEULAH PARK
Jack Russell Terrier,yes,Female,GLENSIDE
Maltese Cross,yes,Female,WATTLE PARK
Pug,yes,Female,KENSINGTON PARK
Tenterfield Terrier,yes,Female,MAGILL
Welsh Corgi (Pembroke),yes,Male,LEABROOK
Australian Silky Terrier,yes,Male,BEULAH PARK
Australian Kelpie,yes,Male,BURNSIDE
Labrador Retriever,yes,Female,KENSINGTON PARK
Australian Kelpie,no,Female,BEULAH PARK
Caine Terrier,yes,Female,BURNSIDE
Newfoundland,yes,Female,LEABROOK
Labrador Retriever,yes,Female,TUSMORE
Border Collie,yes,Female,TOORAK GARDENS
Fox Terrier Smooth,yes,Male,BEULAH PARK
Jack Russell Terrier,yes,Male,BEAUMONT
King Charles Spaniel Cross,no,Female,TOORAK GARDENS
Jack Russell Terrier Cross,yes,Female,KENSINGTON PARK
Beagle,yes,Female,GLENUNGA
Australian Kelpie,no,Female,FREWVILLE
Golden Retriever,yes,Female,GLENUNGA
Tibetan Spaniel Cross,yes,Female,BURNSIDE
English Springer Spaniel,yes,Male,KENSINGTON PARK
Norwegian Elkhound,yes,Male,KENSINGTON GARDENS
Poodle Miniature,yes,Male,HAZELWOOD PARK
Maltese Cross,yes,Male,KENSINGTON PARK
Japanese Spitz,no,Male,ROSSLYN PARK
Australian Kelpie,yes,Female,BURNSIDE
British Bulldog,yes,Female,GLEN OSMOND
Jack Russell Terrier,yes,Female,TOORAK GARDENS
Siberian Husky,yes,Female,BURNSIDE
Shetland Sheepdog,no,Female,ST GEORGES
German Pinscher,yes,Female,HAZELWOOD PARK
Bullmastiff,no,Female,TUSMORE
Maltese Cross,yes,Female,TOORAK GARDENS
Maltese Cross,yes,Female,ROSE PARK
Greyhound,yes,Female,DULWICH
Maltese Cross,yes,Male,ERINDALE
Labrador Retriever,yes,Female,MAGILL
Australian Cattle Dog,no,Female,MOUNT OSMOND
Border Collie,yes,Female,ERINDALE
Labrador Retriever,yes,Female,GLEN OSMOND
Maltese Cross,yes,Female,BURNSIDE
Schnauzer,no,Unknown,ST GEORGES
Poodle Toy Cross,yes,Male,ERINDALE
Golden Retriever,yes,Female,STONYFELL
Maltese Cross,yes,Male,GLENSIDE
Jack Russell Terrier,yes,Male,STONYFELL
Cocker Spaniel,yes,Male,GLEN OSMOND
Cavalier King Charles Spaniel,yes,Male,MOUNT OSMOND
Caine Terrier,yes,Male,ROSE PARK
Poodle Toy Cross,yes,Female,GLENUNGA
Border Collie,yes,Male,WATTLE PARK
Airedale Terrier,yes,Male,GLENSIDE
Cavalier King Charles Spaniel,yes,Male,KENSINGTON GARDENS
West Highland White Terrier,no,Male,BEAUMONT
Shetland Sheepdog Cross,yes,Male,HAZELWOOD PARK
West Highland White Terrier Cross,yes,Male,WATTLE PARK
West Highland White Terrier,no,Male,ROSSLYN PARK
Labrador Retriever,no,Male,BEULAH PARK
Australian Kelpie Cross,yes,Male,BURNSIDE
Shih-Tzu Cross,yes,Male,MAGILL
Whippet,yes,Female,KENSINGTON GARDENS
Cocker Spaniel Cross,yes,Female,BURNSIDE
Rottweiler,no,Male,MAGILL
Labrador Retriever,yes,Female,ROSE PARK
Poodle Toy,no,Male,BEAUMONT
Cavalier King Charles Spaniel Cross,yes,Male,EASTWOOD
Border Collie,yes,Male,TOORAK GARDENS
Labrador Retriever,yes,Male,KENSINGTON PARK
Golden Retriever,no,Male,BEAUMONT
Labrador Retriever,yes,Male,HAZELWOOD PARK
German Shepherd Dog,no,Female,ROSSLYN PARK
Maltese,no,Male,MAGILL
Poodle Standard,no,Female,TUSMORE
Australian Kelpie Cross,yes,Female,TUSMORE
Fox Terrier Wire Cross,yes,Male,HAZELWOOD PARK
Jack Russell Terrier,yes,Male,HAZELWOOD PARK
Golden Retriever,yes,Male,AULDANA
Australian Cattle Dog,yes,Female,GLEN OSMOND
Jack Russell Terrier Cross,yes,Male,MOUNT OSMOND
Labrador Retriever,yes,Male,BURNSIDE
Golden Retriever,yes,Male,KENSINGTON GARDENS
Maltese Cross,yes,Male,FREWVILLE
Golden Retriever,no,Male,GLENSIDE
Labrador Retriever,yes,Male,GLENUNGA
Labrador Retriever,no,Male,GLENSIDE
Labrador Retriever,no,Male,LEABROOK
Poodle Miniature,yes,Female,DULWICH
Whippet,yes,Female,BURNSIDE
Australian Kelpie,yes,Male,ERINDALE
Caine Terrier,yes,Female,KENSINGTON GARDENS
Maltese Cross,yes,Female,GLENUNGA
Cocker Spaniel Cross,yes,Female,LEABROOK
Jack Russell Terrier Cross,yes,Female,LINDEN PARK
Australian Shepherd Cross,no,Unknown,FREWVILLE
Labrador Retriever Cross,no,Male,WATTLE PARK
Staffordshire Bull Terrier,no,Male,HAZELWOOD PARK
Maltese Cross,yes,Male,MAGILL
Maltese Cross,yes,Male,BURNSIDE
Border Collie,yes,Male,BURNSIDE
Labrador Retriever,yes,Male,STONYFELL
Shih-Tzu Cross,yes,Female,EASTWOOD
Maltese Cross,yes,Male,MAGILL
Labrador Retriever,no,Male,MAGILL
Australian Kelpie,yes,Female,BEULAH PARK
Pomeranian Cross,yes,Male,BURNSIDE
Australian Terrier Cross,yes,Male,BEAUMONT
Pomeranian Cross,yes,Female,DULWICH
Pomeranian,no,Female,AULDANA
Dachshund,yes,Female,BURNSIDE
Schnauzer Miniature,yes,Male,STONYFELL
Schnauzer Cross,no,Male,BEULAH PARK
Border Collie,yes,Female,LINDEN PARK
Labrador Retriever Cross,yes,Male,BEULAH PARK
Pug,yes,Male,LINDEN PARK
Maltese Cross,no,Male,FREWVILLE
Chinese Crested,yes,Male,WATTLE PARK
Airedale Terrier,yes,Male,STONYFELL
Maltese Cross,yes,Male,HAZELWOOD PARK
Australian Kelpie Cross,yes,Male,TUSMORE
Poodle Miniature,yes,Male,LEABROOK
Maltese Cross,yes,Male,WATERFALL GULLY
Labrador Retriever,yes,Male,LINDEN PARK
Maltese Cross,yes,Male,BEULAH PARK
Cocker Spaniel Cross,yes,Male,KENSINGTON GARDENS
Golden Retriever Cross,yes,Male,DULWICH
Bernese Mountain Dog,yes,Male,BEULAH PARK
French Bulldog,yes,Male,TUSMORE
Poodle Miniature Cross,yes,Male,GLENUNGA
Schnauzer,yes,Male,HAZELWOOD PARK
Labrador Retriever,no,Male,TUSMORE
German Shepherd Dog,no,Male,KENSINGTON PARK
Labrador Retriever,yes,Male,KENSINGTON PARK
Labrador Retriever,yes,Male,HAZELWOOD PARK
Doberman,yes,Male,ROSSLYN PARK
Labrador Retriever Cross,yes,Male,TOORAK GARDENS
German Short-haired Pointer,yes,Male,BEULAH PARK
Labrador Retriever,yes,Female,MAGILL
Cocker Spaniel Cross,yes,Female,BURNSIDE
Chihuahua,yes,Male,KENSINGTON GARDENS
Poodle Miniature,yes,Male,HAZELWOOD PARK
Shih-Tzu Cross,yes,Male,BEULAH PARK
Border Collie Cross,yes,Female,KENSINGTON GARDENS
Staffordshire Bull Terrier Cross,yes,Female,KENSINGTON PARK
Golden Retriever Cross,yes,Female,STONYFELL
Golden Retriever,yes,Female,GLENUNGA
Maltese Cross,yes,Female,HAZELWOOD PARK
Maltese Cross,yes,Female,WATTLE PARK
Labrador Retriever,yes,Female,HAZELWOOD PARK
Cavalier King Charles Spaniel Cross,yes,Female,LEABROOK
Border Terrier,yes,Female,LEABROOK
Labrador Retriever,yes,Female,ST GEORGES
Staffordshire Bull Terrier Cross,yes,Male,HAZELWOOD PARK
Pomeranian,yes,Female,GLENUNGA
Cavalier King Charles Spaniel,no,Male,BEAUMONT
Schnauzer,yes,Male,MAGILL
Staffordshire Bull Terrier,yes,Female,BEAUMONT
Labrador Retriever Cross,yes,Female,ROSE PARK
Border Terrier,yes,Female,STONYFELL
Maltese,yes,Female,TOORAK GARDENS
Chihuahua,yes,Female,BEAUMONT
Labrador Retriever,yes,Female,BEAUMONT
Labrador Retriever,yes,Female,DULWICH
Border Collie,yes,Female,HAZELWOOD PARK
Golden Retriever Cross,yes,Female,GLEN OSMOND
Labrador Retriever Cross,yes,Female,TOORAK GARDENS
Labrador Retriever,yes,Female,GLENUNGA
Labrador Retriever,no,Female,KENSINGTON GARDENS
Australian Terrier,yes,Female,DULWICH
Cocker Spaniel,yes,Male,GLEN OSMOND
Soft Coat Wheaten Terrier,yes,Male,TOORAK GARDENS
Cocker Spaniel Cross,yes,Male,ROSE PARK
Cocker Spaniel Cross,yes,Male,KENSINGTON PARK
Caine Terrier,yes,Male,KENSINGTON GARDENS
Labrador Retriever,yes,Male,MAGILL
Chow Chow,yes,Male,STONYFELL
Maltese Cross,yes,Male,KENSINGTON PARK
Australian Kelpie Cross,no,Male,MAGILL
Labrador Retriever,yes,Male,TOORAK GARDENS
Cocker Spaniel,yes,Male,BURNSIDE
Boxer,yes,Male,TOORAK GARDENS
Maltese Cross,yes,Unknown,HAZELWOOD PARK
Border Collie,yes,Male,DULWICH
Great Dane,no,Male,GLENUNGA
Poodle Toy Cross,yes,Female,LINDEN PARK
Australian Cattle Dog,no,Female,MOUNT OSMOND
Schnauzer,yes,Female,ROSE PARK
Dachshund Minature,yes,Female,LINDEN PARK
Maltese Cross,yes,Female,WATERFALL GULLY
Australian Kelpie,yes,Female,WATERFALL GULLY
West Highland White Terrier,yes,Female,TOORAK GARDENS
Labrador Retriever Cross,yes,Male,DULWICH
Labrador Retriever Cross,yes,Female,GLEN OSMOND
Maltese,no,Female,LEABROOK
Chihuahua Cross,yes,Female,GLEN OSMOND
Border Collie,no,Female,GLENUNGA
Cavalier King Charles Spaniel Cross,yes,Female,DULWICH
Lhasa Apso Cross,yes,Female,MAGILL
Poodle Toy,yes,Female,GLENSIDE
Dachshund,yes,Female,ERINDALE
Unknown,yes,Female,ERINDALE
Tenterfield Terrier,yes,Female,GLENUNGA
Australian Kelpie Cross,yes,Female,TUSMORE
Jack Russell Terrier Cross,yes,Female,ROSSLYN PARK
Maltese Cross,yes,Female,TOORAK GARDENS
Poodle Miniature,yes,Female,WATTLE PARK
Poodle Miniature,yes,Female,ROSSLYN PARK
Maltese Cross,no,Female,GLEN OSMOND
Labrador Retriever,yes,Male,STONYFELL
Golden Retriever,no,Male,KENSINGTON PARK
German Shepherd Dog,yes,Female,LINDEN PARK
English Springer Spaniel Cross,yes,Female,HAZELWOOD PARK
Poodle Miniature,yes,Female,GLENSIDE
Staffordshire Bull Terrier Cross,yes,Female,LEABROOK
Dachshund Minature,yes,Female,BEAUMONT
Pug Cross,yes,Female,LINDEN PARK
Cocker Spaniel Cross,yes,Female,DULWICH
Chihuahua,yes,Male,BURNSIDE
Labrador Retriever,yes,Male,TOORAK GARDENS
Australian Terrier,no,Female,AULDANA
Border Collie,no,Female,LINDEN PARK
Pomeranian Cross,no,Female,LINDEN PARK
Cocker Spaniel,yes,Female,TOORAK GARDENS
English Springer Spaniel,yes,Male,TOORAK GARDENS
Australian Cattle Dog,no,Female,MOUNT OSMOND
Lhasa Apso,yes,Female,HAZELWOOD PARK
Pomeranian,yes,Female,ST GEORGES
West Highland White Terrier,yes,Female,DULWICH
Beagle,yes,Female,GLEN OSMOND
Whippet,yes,Female,BURNSIDE
Pointer,yes,Female,ERINDALE
Golden Retriever Cross,yes,Female,BEAUMONT
Hungarian Vizsla,yes,Female,KENSINGTON GARDENS
Maltese Cross,no,Female,BEULAH PARK
Maltese Cross,yes,Female,FREWVILLE
British Bulldog,yes,Male,EASTWOOD
Papillon Cross,yes,Male,ST GEORGES
Griffon Bruxellios,yes,Female,GLENSIDE
Welsh Terrier,yes,Female,TUSMORE
Golden Retriever,yes,Male,LINDEN PARK
