DOG_BREED,,,DOG_SUBURB
Bernese Mountain Dog,yes,Male,BURNSIDE
Caine Terrier,yes,Male,BURNSIDE
Labrador Retriever,yes,Male,ROSE PARK
Jack Russell Terrier,yes,Male,HAZELWOOD PARK
Cross Breed,yes,Male,DULWICH
Jack Russell Terrier,yes,Male,GLENSIDE
Australian Kelpie Cross,yes,Male,LINDEN PARK
Cavalier King Charles Spaniel Cross,yes,Male,WATTLE PARK
Boxer,yes,Male,ROSE PARK
Cavalier King Charles Spaniel,yes,Male,TOORAK GARDENS
Australian Kelpie,yes,Male,FREWVILLE
West Highland White Terrier,yes,Male,HAZELWOOD PARK
Shih-Tzu Cross,yes,Male,DULWICH
Whippet,yes,Male,MAGILL
Lagotto Romaenolo,yes,Male,TOORAK GARDENS
Maltese Cross,yes,Male,KENSINGTON PARK
Labrador Retriever Cross,yes,Male,ERINDALE
Poodle Miniature,yes,Male,BURNSIDE
West Highland White Terrier,yes,Male,GLEN OSMOND
Yorkshire Terrier,yes,Male,TOORAK GARDENS
Jack Russell Terrier,yes,Male,ROSE PARK
German Short-haired Pointer,yes,Male,WATTLE PARK
Labrador Retriever Cross,yes,Male,BEULAH PARK
Border Collie,yes,Male,ERINDALE
Whippet,yes,Male,GLENUNGA
Cavalier King Charles Spaniel,no,Male,KENSINGTON GARDENS
Golden Retriever,no,Male,ST GEORGES
Maltese Cross,no,Male,HAZELWOOD PARK
Labrador Retriever,yes,Male,ROSSLYN PARK
Poodle Toy Cross,yes,Male,ROSE PARK
Cavalier King Charles Spaniel Cross,no,Male,BEAUMONT
Maltese Cross,yes,Male,MAGILL
Curly-coated Retriever,no,Male,MAGILL
Welsh Corgi (Pembroke),yes,Male,LINDEN PARK
Chihuahua Cross,yes,Female,BURNSIDE
Pug,yes,Male,KENSINGTON GARDENS
Beagle,no,Male,KENSINGTON PARK
Boxer,yes,Male,KENSINGTON PARK
German Shepherd Dog,yes,Male,GLENUNGA
Alaskan Malamute,no,Male,WATTLE PARK
Akita,no,Male,MAGILL
Schnauzer Cross,yes,Male,ROSE PARK
Beagle,yes,Male,LEABROOK
Australian Kelpie,yes,Male,TOORAK GARDENS
St Bernard,yes,Male,ROSSLYN PARK
Poodle Miniature,yes,Male,MOUNT OSMOND
Australian Shepherd,yes,Female,WATTLE PARK
Schnauzer,yes,Male,DULWICH
Shar-Pei,yes,Female,KENSINGTON PARK
German Shepherd Dog,yes,Female,LINDEN PARK
German Short-haired Pointer,yes,Male,MAGILL
Labrador Retriever Cross,yes,Male,TUSMORE
Staffordshire Bull Terrier Cross,yes,Female,LINDEN PARK
Hungarian Vizsla,yes,Female,EASTWOOD
American Staffordshire Terrier,yes,Female,KENSINGTON PARK
Pug,yes,Female,BEAUMONT
Golden Retriever,no,Female,KENSINGTON PARK
Cavalier King Charles Spaniel,yes,Male,ST GEORGES
Labrador Retriever,yes,Male,LEAWOOD GARDENS
Welsh Corgi (Pembroke),yes,Male,TUSMORE
Beagle,yes,Male,LEABROOK
Whippet,yes,Male,BURNSIDE
Golden Retriever,yes,Female,KENSINGTON PARK
Dalmatian,yes,Female,TUSMORE
Labrador Retriever,yes,Female,MAGILL
German Shepherd Dog,no,Female,BURNSIDE
Pomeranian Cross,no,Female,BEULAH PARK
Labrador Retriever,yes,Female,GLENUNGA
Mastif Cross,yes,Male,SKYE
German Shepherd Dog,no,Male,ROSSLYN PARK
German Shepherd Dog,yes,Female,GLEN OSMOND
Maltese Cross,yes,Female,BEAUMONT
Lhasa Apso,yes,Male,MAGILL
Maltese Cross,yes,Female,BEULAH PARK
Lhasa Apso Cross,yes,Male,MAGILL
Lhasa Apso,yes,Male,EASTWOOD
Poodle Standard,yes,Male,KENSINGTON PARK
Australian Silky Terrier Cross,yes,Female,ROSSLYN PARK
Chihuahua,yes,Female,ERINDALE
Labrador Retriever,yes,Female,TOORAK GARDENS
Unknown,yes,Female,MOUNT OSMOND
Poodle Miniature,yes,Female,GLENUNGA
Schnauzer,yes,Male,LINDEN PARK
Maltese Cross,yes,Male,MAGILL
Cocker Spaniel Cross,yes,Male,KENSINGTON PARK
Labrador Retriever,yes,Male,BEULAH PARK
Cocker Spaniel,yes,Male,FREWVILLE
Maltese Cross,yes,Male,GLENUNGA
Cocker Spaniel Cross,yes,Female,ERINDALE
Australian Shepherd,yes,Male,TUSMORE
Maltese Cross,yes,Male,KENSINGTON PARK
Labrador Retriever Cross,yes,Male,KENSINGTON PARK
Greyhound Cross,yes,Male,DULWICH
Schnauzer,yes,Male,BEULAH PARK
English Springer Spaniel,yes,Male,GLENUNGA
Cocker Spaniel Cross,no,Male,DULWICH
Weimaraner,yes,Male,GLENUNGA
Beagle,yes,Male,KENSINGTON PARK
Poodle Standard Cross,yes,Male,TUSMORE
Jack Russell Terrier,yes,Female,TUSMORE
Labrador Retriever,yes,Female,ROSE PARK
Schnauzer Cross,yes,Male,TUSMORE
Maltese Cross,yes,Male,BEULAH PARK
Labrador Retriever Cross,yes,Female,BEULAH PARK
Border Collie,yes,Female,KENSINGTON GARDENS
Golden Retriever,yes,Male,LEABROOK
Golden Retriever,yes,Male,KENSINGTON GARDENS
Golden Retriever,yes,Male,BEAUMONT
Maltese Cross,yes,Female,HAZELWOOD PARK
Chihuahua Cross,yes,Male,WATTLE PARK
Border Collie,yes,Male,DULWICH
Boxer Cross,yes,Female,ROSSLYN PARK
Chihuahua Cross,yes,Male,TOORAK GARDENS
Chihuahua,no,Male,GLENSIDE
Border Collie,yes,Female,LINDEN PARK
Chihuahua Cross,yes,Male,AULDANA
Cocker Spaniel,yes,Female,ST GEORGES
Australian Shepherd,yes,Male,BEAUMONT
Hungarian Vizsla,yes,Female,BEAUMONT
Poodle Toy Cross,yes,Male,HAZELWOOD PARK
Chihuahua Cross,yes,Female,ERINDALE
Border Collie Cross,no,Female,WATTLE PARK
Chihuahua,no,Male,SKYE
Tenterfield Terrier,yes,Male,LINDEN PARK
Jack Russell Terrier Cross,no,Male,BURNSIDE
Maltese Cross,yes,Male,BEAUMONT
Border Collie,yes,Male,LEABROOK
Australian Kelpie Cross,yes,Male,FREWVILLE
Great Dane,yes,Male,KENSINGTON PARK
Australian Kelpie Cross,yes,Male,GLENUNGA
Poodle Miniature,yes,Male,WATTLE PARK
Tenterfield Terrier,yes,Female,GLENUNGA
Pointer,yes,Male,DULWICH
Jack Russell Terrier,yes,Male,BEAUMONT
Labrador Retriever Cross,yes,Male,TUSMORE
Labrador Retriever,no,Male,BURNSIDE
Poodle Miniature Cross,yes,Male,HAZELWOOD PARK
West Highland White Terrier Cross,yes,Male,ROSSLYN PARK
Poodle Miniature,yes,Male,TOORAK GARDENS
Beagle,yes,Male,BURNSIDE
Labrador Retriever,yes,Male,BEULAH PARK
Maltese Cross,yes,Male,ROSSLYN PARK
Golden Retriever,yes,Male,ST GEORGES
Bearded Collie,yes,Male,KENSINGTON PARK
Labrador Retriever,yes,Male,DULWICH
Cocker Spaniel Cross,yes,Male,KENSINGTON PARK
Cavalier King Charles Spaniel,no,Male,GLEN OSMOND
Boxer,yes,Male,DULWICH
Cavalier King Charles Spaniel Cross,no,Male,GLEN OSMOND
West Highland White Terrier,no,Male,GLENSIDE
Labrador Retriever,yes,Male,MAGILL
Labrador Retriever Cross,yes,Male,HAZELWOOD PARK
Border Collie,yes,Male,HAZELWOOD PARK
Schnauzer,yes,Male,KENSINGTON PARK
British Bulldog,yes,Male,TUSMORE
Cocker Spaniel Cross,yes,Male,EASTWOOD
Tenterfield Terrier cross,yes,Male,KENSINGTON PARK
Pug Cross,yes,Male,MAGILL
Labrador Retriever,yes,Male,TOORAK GARDENS
Bull Terrier,yes,Male,GLENSIDE
Jack Russell Terrier Cross,yes,Male,BEULAH PARK
Lhasa Apso,yes,Male,BEAUMONT
Welsh Corgi (Pembroke),yes,Male,WATERFALL GULLY
Golden Retriever,yes,Male,GLENUNGA
Maltese,yes,Male,GLENUNGA
Bichon Frise,yes,Male,ST GEORGES
Dachshund Minature,yes,Male,WATTLE PARK
Beagle,yes,Male,KENSINGTON PARK
Cocker Spaniel Cross,yes,Male,GLENSIDE
Poodle Toy,yes,Male,GLEN OSMOND
Jack Russell Terrier Cross,yes,Male,BURNSIDE
Border Collie Cross,yes,Female,STONYFELL
Lhasa Apso Cross,yes,Male,ROSE PARK
Golden Retriever Cross,yes,Male,GLENUNGA
Jack Russell Terrier,yes,Male,BURNSIDE
Labrador Retriever Cross,yes,Male,ROSE PARK
Maltese Cross,yes,Male,KENSINGTON GARDENS
Cocker Spaniel,yes,Male,BEAUMONT
Beagle,yes,Male,BURNSIDE
Border Collie,yes,Male,WATTLE PARK
Maltese Cross,yes,Male,BEULAH PARK
Border Collie Cross,yes,Male,BEULAH PARK
Staffordshire Bull Terrier,yes,Male,LINDEN PARK
Papillon,yes,Male,ST GEORGES
Poodle Toy,no,Female,MAGILL
Schnauzer,yes,Male,ROSE PARK
Poodle Toy,yes,Female,HAZELWOOD PARK
Pug Cross,yes,Female,MAGILL
Old English Sheepdog,yes,Male,TUSMORE
American Staffordshire Terrier Cross,yes,Male,ROSSLYN PARK
Border Collie,yes,Male,SKYE
Labrador Retriever,yes,Male,WATTLE PARK
German Shepherd Dog,no,Male,BEULAH PARK
Chihuahua,no,Male,DULWICH
Beagle,yes,Male,LINDEN PARK
Beagle,yes,Female,LEABROOK
Beagle,yes,Female,TOORAK GARDENS
Whippet Cross,yes,Male,BEAUMONT
Australian Kelpie,no,Male,LINDEN PARK
West Highland White Terrier,yes,Male,GLENUNGA
