Breed,De-sexed,Gender,Suburb
Labrador                                ,Y,M,CUMBERLAND PARK                    
Bull Terrier                            ,Y,M,TORRENS PARK                       
Shar Pei Chinese                        ,Y,M,CLAPHAM                            
Cocker Spaniel                          ,Y,M,HAWTHORN                           
Labrador                                ,Y,M,ST MARYS                           
Jack Russell Terrier                    ,N,M,LOWER MITCHAM                      
Border Collie                           ,Y,M,WESTBOURNE PARK                    
Chihuahua                               ,Y,M,LOWER MITCHAM                      
Pomeranian                              ,Y,M,BELLEVUE HEIGHTS                   
Rottweiler                              ,N,M,ST MARYS                           
Labrador                                ,Y,M,CRAIGBURN FARM                     
Rottweiler                              ,Y,M,DAW PARK                           
Border Collie                           ,Y,M,PANORAMA                           
Labradoodle                             ,N,M,HAWTHORN                           
Jack Russell Terrier                    ,Y,M,HAWTHORN                           
Boxer                                   ,Y,M,BLACKWOOD                          
Labradoodle                             ,N,M,PANORAMA                           
Cavoodle                                ,Y,M,PASADENA                           
Maltese                                 ,Y,M,MITCHAM                            
Maltese                                 ,Y,M,CLAPHAM                            
Australian Kelpie                       ,Y,M,LOWER MITCHAM                      
Spoodle                                 ,Y,M,BLACKWOOD                          
Golden Retriever                        ,Y,M,HAWTHORN                           
Australian Kelpie                       ,Y,M,HAWTHORNDENE                       
Keeshond                                ,N,M,HAWTHORNDENE                       
Groodle                                 ,Y,M,BLACKWOOD                          
Beagle                                  ,Y,M,CRAIGBURN FARM                     
Terrier                                 ,Y,M,URRBRAE                            
Staffordshire Bull Terrier              ,Y,M,BLACKWOOD                          
Maltese                                 ,Y,F,HAWTHORN                           
Australian Kelpie                       ,Y,F,MELROSE PARK                       
Bichon Frise                            ,Y,F,BELLEVUE HEIGHTS                   
Australian Silky Terrier                ,Y,F,COLONEL LIGHT GARDENS              
Golden Retriever                        ,Y,F,CLARENCE GARDENS                   
Cavalier King Charles Spaniel           ,Y,F,WESTBOURNE PARK                    
Pomeranian                              ,Y,F,MELROSE PARK                       
Beagle                                  ,Y,F,CLARENCE GARDENS                   
Spoodle                                 ,Y,F,BELLEVUE HEIGHTS                   
Miniature Poodle                        ,Y,F,MELROSE PARK                       
Spoodle                                 ,Y,F,CLAPHAM                            
Greyhound                               ,N,F,BELAIR                             
Terrier                                 ,Y,M,KINGSWOOD                          
Australian Shepherd                     ,Y,M,KINGSWOOD                          
Chihuahua                               ,Y,M,MELROSE PARK                       
Staffordshire Bull Terrier              ,N,M,LOWER MITCHAM                      
Labrador                                ,Y,M,BLACKWOOD                          
Shih Tzu                                ,Y,M,BLACKWOOD                          
Australian Kelpie                       ,Y,F,EDEN HILLS                         
Heeler                                  ,Y,M,BEDFORD PARK                       
Maltese                                 ,Y,M,TORRENS PARK                       
Chihuahua                               ,Y,M,BELAIR                             
Smithfield Cattle Dog                   ,Y,M,EDEN HILLS                         
Border Collie                           ,Y,M,LOWER MITCHAM                      
Maltese                                 ,Y,M,PASADENA                           
Pug                                     ,Y,M,CLARENCE GARDENS                   
Australian Kelpie                       ,Y,F,DAW PARK                           
Labrador                                ,Y,M,TORRENS PARK                       
French Bulldog                          ,Y,F,EDEN HILLS                         
German Shepherd                         ,N,M,HAWTHORNDENE                       
Fox Terrier                             ,Y,F,TORRENS PARK                       
Schipperke                              ,N,M,SPRINGFIELD                        
Labrador                                ,Y,M,BLACKWOOD                          
Boxer                                   ,Y,M,HAWTHORNDENE                       
Shetland Sheepdog                       ,N,U,HAWTHORNDENE                       
Afghan                                  ,N,F,UPPER STURT                        
Afghan                                  ,N,M,UPPER STURT                        
Sheltie                                 ,N,U,HAWTHORNDENE                       
Afghan                                  ,N,F,UPPER STURT                        
Shetland Sheepdog                       ,N,U,HAWTHORNDENE                       
Afghan                                  ,N,M,UPPER STURT                        
Afghan                                  ,N,M,UPPER STURT                        
Shetland Sheepdog                       ,N,U,HAWTHORNDENE                       
Afghan                                  ,N,F,UPPER STURT                        
Shetland Sheepdog                       ,N,U,HAWTHORNDENE                       
Afghan                                  ,N,M,UPPER STURT                        
Afghan                                  ,N,M,UPPER STURT                        
Shetland Sheepdog                       ,N,U,HAWTHORNDENE                       
Shetland Sheepdog                       ,Y,U,HAWTHORNDENE                       
Afghan                                  ,N,F,UPPER STURT                        
Shetland Sheepdog                       ,N,U,HAWTHORNDENE                       
Sheltie                                 ,N,U,HAWTHORNDENE                       
Shetland Sheepdog                       ,N,U,HAWTHORNDENE                       
Sheltie                                 ,N,U,HAWTHORNDENE                       
Afghan                                  ,N,F,UPPER STURT                        
Afghan                                  ,N,M,UPPER STURT                        
Shetland Sheepdog                       ,N,U,HAWTHORNDENE                       
Sheltie                                 ,N,U,HAWTHORNDENE                       
Boxer                                   ,Y,F,LOWER MITCHAM                      
Staffordshire Bull Terrier              ,Y,M,PANORAMA                           
Australian Kelpie                       ,N,M,KINGSWOOD                          
Border Collie                           ,N,M,BELAIR                             
Beagle                                  ,Y,M,URRBRAE                            
Maltese                                 ,Y,M,CLAPHAM                            
West Highland Terrier                   ,Y,M,CRAIGBURN FARM                     
British Bulldog                         ,Y,M,CUMBERLAND PARK                    
Australian Kelpie                       ,Y,M,EDEN HILLS                         
Maltese                                 ,Y,M,LOWER MITCHAM                      
Labrador                                ,Y,M,HAWTHORNDENE                       
Schnauzer Standard                      ,Y,M,KINGSWOOD                          
Poodle                                  ,Y,M,MELROSE PARK                       
Labrador                                ,Y,M,LOWER MITCHAM                      
Beagle                                  ,Y,M,HAWTHORNDENE                       
Labrador                                ,Y,M,WESTBOURNE PARK                    
Labrador                                ,Y,M,BELAIR                             
Cavalier King Charles Spaniel           ,Y,M,HAWTHORN                           
Border Collie                           ,Y,M,CRAIGBURN FARM                     
Labrador                                ,Y,M,EDEN HILLS                         
Staffordshire Terrier                   ,N,M,DAW PARK                           
Maltese                                 ,Y,M,COLONEL LIGHT GARDENS              
Cavoodle                                ,Y,M,BLACKWOOD                          
Staffordshire Bull Terrier              ,Y,M,DAW PARK                           
Beagle                                  ,Y,M,BELLEVUE HEIGHTS                   
Irish Wolfhound                         ,N,M,HAWTHORNDENE                       
Staffordshire Bull Terrier              ,Y,M,ST MARYS                           
Beagle                                  ,Y,M,ST MARYS                           
Groodle                                 ,Y,M,LOWER MITCHAM                      
Groodle                                 ,Y,M,BELAIR                             
Maltese                                 ,Y,M,DAW PARK                           
Chihuahua                               ,Y,M,WESTBOURNE PARK                    
Bearded Collie                          ,Y,M,HAWTHORNDENE                       
Australian Cattle Dog                   ,Y,M,WESTBOURNE PARK                    
American Bulldog                        ,Y,M,CLARENCE GARDENS                   
Beagle                                  ,Y,M,BROWN HILL CREEK                   
Miniature Fox Terrier                   ,Y,M,BLACKWOOD                          
Australian Kelpie                       ,Y,M,CUMBERLAND PARK                    
Chihuahua                               ,Y,M,CRAIGBURN FARM                     
Chihuahua                               ,Y,M,CRAIGBURN FARM                     
Spoodle                                 ,Y,M,LOWER MITCHAM                      
Cavoodle                                ,Y,M,EDEN HILLS                         
Lhasa Apso                              ,N,M,BEDFORD PARK                       
Labrador                                ,Y,M,URRBRAE                            
Jack Russell Terrier                    ,Y,M,HAWTHORNDENE                       
Beagle                                  ,Y,M,URRBRAE                            
Border Collie                           ,Y,M,HAWTHORNDENE                       
Pug                                     ,Y,M,EDEN HILLS                         
Jack Russell Terrier                    ,Y,M,MITCHAM                            
Dalmatian                               ,N,M,BELAIR                             
Border Collie                           ,Y,F,HAWTHORNDENE                       
Schipperke                              ,Y,M,SPRINGFIELD                        
Staffordshire Bull Terrier              ,Y,F,MELROSE PARK                       
Labradoodle                             ,Y,F,EDEN HILLS                         
Labrador Retriever                      ,Y,M,CRAFERS WEST                       
Labrador                                ,N,F,LOWER MITCHAM                      
Pointer                                 ,Y,F,LOWER MITCHAM                      
Miniature Schnauzer                     ,N,M,CLAPHAM                            
English Staffordshire Bull Terrier      ,Y,M,PASADENA                           
Jack Russell Terrier                    ,Y,M,TORRENS PARK                       
Spoodle                                 ,Y,M,URRBRAE                            
Golden Retriever                        ,Y,M,COLONEL LIGHT GARDENS              
Maltese                                 ,Y,M,BELLEVUE HEIGHTS                   
Labrador                                ,Y,F,BELLEVUE HEIGHTS                   
Maltese                                 ,Y,M,HAWTHORN                           
German Shepherd                         ,N,F,HAWTHORNDENE                       
Samoyed                                 ,N,M,EDEN HILLS                         
Labrador                                ,N,M,EDEN HILLS                         
Cross                                   ,Y,M,PASADENA                           
German Shepherd                         ,Y,M,HAWTHORNDENE                       
Labrador Retriever                      ,Y,M,NETHERBY                           
Tibetan Spaniel                         ,Y,F,BLACKWOOD                          
German Shepherd                         ,Y,F,CRAIGBURN FARM                     
Heeler                                  ,Y,F,HAWTHORNDENE                       
Heeler                                  ,Y,F,COLONEL LIGHT GARDENS              
German Shepherd                         ,Y,F,COROMANDEL VALLEY                  
Australian Shepherd                     ,Y,F,COROMANDEL VALLEY                  
Heeler                                  ,N,F,GLENALTA                           
Beaglier                                ,Y,F,COROMANDEL VALLEY                  
Golden Retriever                        ,Y,M,COLONEL LIGHT GARDENS              
Border Collie                           ,Y,M,BROWN HILL CREEK                   
Australian Kelpie                       ,Y,F,HAWTHORNDENE                       
Collie                                  ,Y,F,HAWTHORNDENE                       
Jack Russell Terrier                    ,Y,F,CUMBERLAND PARK                    
Poodle                                  ,Y,M,LOWER MITCHAM                      
Golden Retriever                        ,Y,M,HAWTHORN                           
Australian Kelpie                       ,Y,M,BLACKWOOD                          
Jack Russell Terrier                    ,Y,F,KINGSWOOD                          
Maltese                                 ,Y,F,PANORAMA                           
Bedlington Terrier                      ,Y,F,MITCHAM                            
Whippet                                 ,Y,M,BLACKWOOD                          
Papillon                                ,N,F,GLENALTA                           
Cavalier King Charles Spaniel           ,Y,F,BEDFORD PARK                       
Maltese                                 ,Y,F,ST MARYS                           
Maltese                                 ,Y,F,BLACKWOOD                          
Australian Kelpie                       ,Y,F,COLONEL LIGHT GARDENS              
Amer Staff Terrier                      ,N,F,WESTBOURNE PARK                    
Miniature Pinscher                      ,Y,F,BLACKWOOD                          
Spoodle                                 ,Y,F,URRBRAE                            
Maltese                                 ,Y,M,COLONEL LIGHT GARDENS              
Groodle                                 ,Y,M,MELROSE PARK                       
Schnauzer Standard                      ,Y,M,BLACKWOOD                          
Maltese                                 ,Y,F,BLACKWOOD                          
Australian Kelpie                       ,Y,F,BLACKWOOD                          
Beagle                                  ,N,F,CUMBERLAND PARK                    
Heeler                                  ,Y,F,HAWTHORNDENE                       
Maltese                                 ,Y,M,MELROSE PARK                       
Japanese Spitz                          ,Y,M,HAWTHORNDENE                       
Maltese                                 ,Y,M,BELAIR                             
Border Collie                           ,Y,M,BELAIR                             
Dalmatian                               ,Y,F,MITCHAM                            
Cavalier King Charles Spaniel           ,Y,F,PASADENA                           
Miniature Schnauzer                     ,Y,F,CUMBERLAND PARK                    
Australian Kelpie                       ,Y,M,GLENALTA                           
Miniature Schnauzer                     ,Y,F,HAWTHORNDENE                       
Pomeranian                              ,Y,M,PASADENA                           
Spoodle                                 ,Y,F,COROMANDEL VALLEY                  
West Highland Terrier                   ,Y,F,MELROSE PARK                       
Jack Russell Terrier                    ,Y,M,EDEN HILLS                         
Spoodle                                 ,Y,M,EDEN HILLS                         
Cavalier King Charles Spaniel           ,Y,M,MELROSE PARK                       
Maltese                                 ,Y,M,PASADENA                           
Maltese                                 ,Y,M,PASADENA                           
Cocker Spaniel                          ,Y,M,PASADENA                           
Chihuahua                               ,Y,M,BELAIR                             
Border Collie                           ,Y,M,PASADENA                           
Golden Retriever                        ,Y,M,CUMBERLAND PARK                    
Maltese                                 ,Y,M,HAWTHORNDENE                       
Rhodesian Ridgeback                     ,Y,F,CLAPHAM                            
Labrador                                ,N,M,BLACKWOOD                          
Boxer                                   ,Y,M,CLARENCE GARDENS                   
Bedlington Terrier                      ,Y,F,WESTBOURNE PARK                    
Cavalier King Charles Spaniel           ,N,F,HAWTHORNDENE                       
Golden Retriever                        ,Y,F,PASADENA                           
Border Collie                           ,Y,F,BELLEVUE HEIGHTS                   
Staffordshire Bull Terrier              ,Y,F,BELAIR                             
Boxer                                   ,Y,F,ST MARYS                           
Labrador                                ,Y,F,KINGSWOOD                          
Cross                                   ,Y,F,LYNTON                             
Amer Staff Terrier                      ,Y,F,PASADENA                           
Miniature Schnauzer                     ,Y,F,TORRENS PARK                       
Maltese                                 ,Y,F,LOWER MITCHAM                      
Cocker Spaniel                          ,Y,F,PANORAMA                           
German Shepherd                         ,Y,F,BLACKWOOD                          
Maltese                                 ,N,F,LOWER MITCHAM                      
Border Collie                           ,Y,F,PASADENA                           
Maltese                                 ,Y,M,DAW PARK                           
Miniature Schnauzer                     ,N,M,MELROSE PARK                       
Australian Cattle Dog                   ,Y,F,GLENALTA                           
German Shepherd                         ,Y,M,CRAIGBURN FARM                     
Staffordshire Bull Terrier              ,Y,M,EDEN HILLS                         
Spoodle                                 ,Y,F,COLONEL LIGHT GARDENS              
Bullmastiff                             ,Y,F,UPPER STURT                        
Spoodle                                 ,Y,M,HAWTHORNDENE                       
English Pointer                         ,Y,F,BLACKWOOD                          
Boxer                                   ,Y,M,SPRINGFIELD                        
Chihuahua                               ,Y,M,HAWTHORNDENE                       
Cavalier King Charles Spaniel           ,N,M,BEDFORD PARK                       
Golden Retriever                        ,N,M,BELAIR                             
Labrador Retriever                      ,Y,M,WESTBOURNE PARK                    
Nova Scotia Duck Tolling Retriever      ,Y,M,MITCHAM                            
Bichon Frise                            ,Y,F,KINGSWOOD                          
Border Collie                           ,Y,M,CLARENCE GARDENS                   
Shih Tzu                                ,Y,F,BLACKWOOD                          
Maltese                                 ,N,F,LYNTON                             
Maltese                                 ,N,F,DAW PARK                           
Chihuahua                               ,Y,F,LOWER MITCHAM                      
Pug                                     ,Y,F,LYNTON                             
Maltese                                 ,Y,F,CRAIGBURN FARM                     
Whippet                                 ,Y,F,BLACKWOOD                          
Pug                                     ,Y,M,MELROSE PARK                       
Airedale Terrier                        ,N,F,BELAIR                             
Golden Retriever                        ,Y,F,CLAPHAM                            
German Shepherd                         ,N,F,MELROSE PARK                       
Cavalier King Charles Spaniel           ,Y,M,BLACKWOOD                          
Australian Kelpie                       ,Y,M,ST MARYS                           
Labrador                                ,Y,F,WESTBOURNE PARK                    
Cocker Spaniel                          ,Y,F,COROMANDEL VALLEY                  
Papillon                                ,Y,F,COLONEL LIGHT GARDENS              
Border Collie                           ,Y,F,COROMANDEL VALLEY                  
King Charles Spaniel                    ,Y,F,MITCHAM                            
Border Collie                           ,Y,F,TORRENS PARK                       
Maltese                                 ,Y,F,HAWTHORN                           
Border Collie                           ,Y,F,PASADENA                           
Maltese                                 ,Y,F,EDEN HILLS                         
Labrador                                ,Y,F,WESTBOURNE PARK                    
Dalmatian                               ,Y,F,CLAPHAM                            
Jack Russell Terrier                    ,Y,F,CUMBERLAND PARK                    
Maltese                                 ,Y,F,LOWER MITCHAM                      
Old English Sheepdog                    ,Y,F,NETHERBY                           
Airedale Terrier                        ,Y,F,BELLEVUE HEIGHTS                   
Bichon Frise                            ,Y,M,MELROSE PARK                       
Maltese                                 ,N,M,GLENALTA                           
Golden Retriever                        ,Y,M,BELAIR                             
West Highland Terrier                   ,N,M,HAWTHORN                           
Bernese Mountain Dog                    ,Y,M,BELAIR                             
King Charles Spaniel                    ,N,M,PANORAMA                           
Bichon Frise                            ,Y,M,CLARENCE GARDENS                   
Maltese                                 ,Y,M,PASADENA                           
Pug                                     ,Y,M,BLACKWOOD                          
Rottweiler                              ,N,M,MELROSE PARK                       
Spoodle                                 ,Y,M,HAWTHORN                           
Weimeraner                              ,Y,M,MELROSE PARK                       
West Highland Terrier                   ,Y,F,CUMBERLAND PARK                    
King Charles Spaniel                    ,Y,M,WESTBOURNE PARK                    
Jack Russell Terrier                    ,Y,F,MELROSE PARK                       
Cavalier King Charles Spaniel           ,Y,M,CRAIGBURN FARM                     
Shih Tzu                                ,Y,M,PANORAMA                           
Cavalier King Charles Spaniel           ,Y,M,COROMANDEL VALLEY                  
Golden Retriever                        ,Y,M,MITCHAM                            
Groodle                                 ,Y,M,MITCHAM                            
Schnoodle                               ,Y,M,PASADENA                           
Alaskan Malamute                        ,Y,M,COLONEL LIGHT GARDENS              
Beagle                                  ,Y,M,BELAIR                             
Maltese                                 ,Y,M,PASADENA                           
Jack Russell Terrier                    ,Y,M,ST MARYS                           
Labrador                                ,Y,M,MITCHAM                            
Schnauzer Standard                      ,Y,M,KINGSWOOD                          
Australian Kelpie                       ,Y,M,GLENALTA                           
Cavalier King Charles Spaniel           ,Y,M,BELAIR                             
Spoodle                                 ,Y,M,GLENALTA                           
Golden Retriever                        ,Y,F,HAWTHORNDENE                       
Maltese                                 ,Y,M,TORRENS PARK                       
Golden Retriever                        ,Y,M,DAW PARK                           
Maltese                                 ,Y,M,SPRINGFIELD                        
Labrador                                ,Y,M,BELAIR                             
Golden Retriever                        ,Y,M,COLONEL LIGHT GARDENS              
Maltese                                 ,Y,M,ST MARYS                           
Beagle                                  ,Y,M,HAWTHORNDENE                       
Cavalier King Charles Spaniel           ,Y,M,MITCHAM                            
Poodle                                  ,Y,M,DAW PARK                           
Cavoodle                                ,Y,M,HAWTHORN                           
Golden Retriever                        ,Y,M,HAWTHORN                           
Beagle                                  ,Y,M,CUMBERLAND PARK                    
Dachshund Short Haired                  ,Y,M,HAWTHORN                           
Lhasa Apso                              ,Y,M,URRBRAE                            
Beagle                                  ,Y,F,MELROSE PARK                       
Cavalier King Charles Spaniel           ,Y,M,MITCHAM                            
Pomeranian                              ,Y,M,GLENALTA                           
Cavalier King Charles Spaniel           ,Y,M,BLACKWOOD                          
Labradoodle                             ,Y,M,TORRENS PARK                       
Labrador Retriever                      ,Y,M,BLACKWOOD                          
Border Collie                           ,Y,F,COLONEL LIGHT GARDENS              
Cavalier King Charles Spaniel           ,Y,M,KINGSWOOD                          
Beagle                                  ,Y,M,PASADENA                           
Maltese                                 ,Y,M,CRAIGBURN FARM                     
Cavoodle                                ,N,M,COLONEL LIGHT GARDENS              
Cavalier King Charles Spaniel           ,Y,F,CLAPHAM                            
Chihuahua                               ,Y,M,COLONEL LIGHT GARDENS              
Miniature Schnauzer                     ,Y,M,CRAIGBURN FARM                     
River Murray Retriever                  ,N,M,HAWTHORNDENE                       
West Highland Terrier                   ,Y,M,NETHERBY                           
Golden Retriever                        ,N,M,CLARENCE GARDENS                   
Cavoodle                                ,Y,M,ST MARYS                           
Cavalier King Charles Spaniel           ,Y,M,MELROSE PARK                       
King Charles Spaniel                    ,Y,M,TORRENS PARK                       
Cavalier King Charles Spaniel           ,Y,M,BLACKWOOD                          
Akita                                   ,Y,M,DAW PARK                           
Miniature Schnauzer                     ,Y,M,ST MARYS                           
Maltese                                 ,Y,M,BLACKWOOD                          
Cavalier King Charles Spaniel           ,Y,M,CUMBERLAND PARK                    
Labrador                                ,Y,M,EDEN HILLS                         
Shih Tzu                                ,Y,M,PASADENA                           
Maltese                                 ,N,M,HAWTHORNDENE                       
Jack Russell Terrier                    ,Y,M,EDEN HILLS                         
Labradoodle                             ,Y,M,CRAIGBURN FARM                     
Maltese                                 ,Y,M,BLACKWOOD                          
Dachshund                               ,N,M,SPRINGFIELD                        
Australian Kelpie                       ,Y,M,CLAPHAM                            
Spoodle                                 ,Y,M,HAWTHORNDENE                       
Labrador                                ,Y,M,CLARENCE GARDENS                   
German Shorthaired Pointer              ,Y,F,TORRENS PARK                       
Schnauzer Standard                      ,Y,F,KINGSWOOD                          
Maltese                                 ,Y,M,BELLEVUE HEIGHTS                   
Dalmatian                               ,Y,M,WESTBOURNE PARK                    
Maltese                                 ,Y,M,DAW PARK                           
Dobermann                               ,Y,M,ST MARYS                           
Jack Russell Terrier                    ,N,M,ST MARYS                           
Shetland Sheepdog                       ,Y,M,MITCHAM                            
Staffordshire Bull Terrier              ,Y,M,EDEN HILLS                         
Fox Terrier                             ,Y,M,BELAIR                             
Spoodle                                 ,Y,M,MITCHAM                            
Labrador                                ,Y,M,SPRINGFIELD                        
Border Collie                           ,Y,M,CLARENCE GARDENS                   
German Shepherd                         ,Y,M,HAWTHORNDENE                       
Golden Retriever                        ,Y,F,LOWER MITCHAM                      
Dalmatian                               ,Y,M,BELLEVUE HEIGHTS                   
Pugalier                                ,Y,M,BELAIR                             
Cavalier King Charles Spaniel           ,Y,M,EDEN HILLS                         
Maltese                                 ,Y,M,GLENALTA                           
Cavalier King Charles Spaniel           ,Y,M,CRAIGBURN FARM                     
Cavalier King Charles Spaniel           ,Y,M,CLAPHAM                            
Golden Retriever                        ,Y,M,CLARENCE GARDENS                   
Cavalier King Charles Spaniel           ,Y,M,CUMBERLAND PARK                    
Staffordshire Bull Terrier              ,N,M,GLENALTA                           
Maltese                                 ,Y,M,COROMANDEL VALLEY                  
Australian Kelpie                       ,Y,M,CLAPHAM                            
Groodle                                 ,Y,M,TORRENS PARK                       
Labrador                                ,Y,M,BELAIR                             
Miniature Schnauzer                     ,Y,F,BELLEVUE HEIGHTS                   
Poodle                                  ,Y,M,HAWTHORN                           
Cavalier King Charles Spaniel           ,Y,M,COLONEL LIGHT GARDENS              
Cavalier King Charles Spaniel           ,Y,M,BLACKWOOD                          
Cavoodle                                ,Y,M,COLONEL LIGHT GARDENS              
Maltese                                 ,Y,M,TORRENS PARK                       
Labrador                                ,Y,M,CUMBERLAND PARK                    
Cavalier King Charles Spaniel           ,Y,M,BLACKWOOD                          
Cocker Spaniel                          ,Y,M,HAWTHORNDENE                       
Maltese                                 ,N,F,CUMBERLAND PARK                    
Maltese                                 ,Y,M,MITCHAM                            
Maltese                                 ,Y,M,BELLEVUE HEIGHTS                   
Cavoodle                                ,Y,M,CUMBERLAND PARK                    
Golden Retriever                        ,N,F,EDEN HILLS                         
Labrador                                ,Y,M,HAWTHORN                           
Cavalier King Charles Spaniel           ,Y,M,LYNTON                             
Cavalier King Charles Spaniel           ,Y,M,COLONEL LIGHT GARDENS              
Cavoodle                                ,Y,M,BELAIR                             
Alaskan Malamute                        ,Y,M,CLAPHAM                            
Bulldog                                 ,Y,F,CRAIGBURN FARM                     
West Highland Terrier                   ,Y,F,KINGSWOOD                          
Groodle                                 ,Y,M,CLAPHAM                            
Chihuahua                               ,Y,M,CUMBERLAND PARK                    
Parson Jack Russell Terrier             ,Y,M,LOWER MITCHAM                      
Schnauzer Standard                      ,Y,M,COLONEL LIGHT GARDENS              
Maltese                                 ,N,F,CLARENCE GARDENS                   
Cavalier King Charles Spaniel           ,Y,M,BELAIR                             
Labrador Retriever                      ,Y,M,LOWER MITCHAM                      
Maltese                                 ,Y,M,COLONEL LIGHT GARDENS              
Fox Terrier                             ,Y,M,BELLEVUE HEIGHTS                   
German Shorthaired Pointer              ,Y,M,BELLEVUE HEIGHTS                   
Cavalier King Charles Spaniel           ,Y,M,MELROSE PARK                       
Australian Kelpie                       ,Y,M,EDEN HILLS                         
Maltese                                 ,Y,M,CUMBERLAND PARK                    
Miniature Poodle                        ,Y,M,NETHERBY                           
Terrier                                 ,Y,M,EDEN HILLS                         
Staffordshire Bull Terrier              ,Y,M,MITCHAM                            
Labrador                                ,Y,M,ST MARYS                           
Cocker Spaniel                          ,Y,M,EDEN HILLS                         
Labrador Retriever                      ,Y,M,PASADENA                           
Spoodle                                 ,Y,M,BLACKWOOD                          
Cocker Spaniel                          ,Y,M,CRAIGBURN FARM                     
Cavalier King Charles Spaniel           ,Y,M,MITCHAM                            
Lagotto Romagnolo                       ,Y,M,HAWTHORN                           
Maltese                                 ,Y,M,HAWTHORN                           
Pembroke Corgi                          ,Y,M,HAWTHORN                           
Pekingese                               ,Y,F,EDEN HILLS                         
Maltese                                 ,Y,F,TORRENS PARK                       
Bull Terrier                            ,Y,F,BLACKWOOD                          
Jack Russell Terrier                    ,Y,F,PASADENA                           
Tibetan Spaniel                         ,Y,F,BLACKWOOD                          
Poodle                                  ,Y,F,MELROSE PARK                       
Staffordshire Bull Terrier              ,Y,F,MELROSE PARK                       
Australian Kelpie                       ,Y,F,UPPER STURT                        
Rhodesian Ridgeback                     ,Y,F,GLENALTA                           
Shar Pei Chinese                        ,Y,F,BLACKWOOD                          
English Pointer                         ,Y,M,BLACKWOOD                          
Labrador                                ,Y,M,HAWTHORNDENE                       
Jack Russell Terrier                    ,Y,M,COROMANDEL VALLEY                  
Labrador                                ,Y,M,BEDFORD PARK                       
Heeler                                  ,Y,F,BEDFORD PARK                       
Miniature Poodle                        ,Y,M,COLONEL LIGHT GARDENS              
Amer Staff Terrier                      ,N,M,TORRENS PARK                       
Chihuahua                               ,Y,M,ST MARYS                           
Border Collie                           ,Y,F,BELAIR                             
Australian Kelpie                       ,Y,M,PANORAMA                           
Cavalier King Charles Spaniel           ,Y,M,HAWTHORN                           
Terrier                                 ,Y,M,BELAIR                             
Staffordshire Terrier                   ,N,M,EDEN HILLS                         
Jack Russell Terrier                    ,N,F,ST MARYS                           
Labrador                                ,Y,F,DAW PARK                           
Cavalier King Charles Spaniel           ,Y,F,CLAPHAM                            
NZ Shepherd                             ,Y,F,ST MARYS                           
German Shepherd                         ,Y,F,BEDFORD PARK                       
Cavalier King Charles Spaniel           ,Y,F,URRBRAE                            
Cavalier King Charles Spaniel           ,Y,F,GLENALTA                           
Cavalier King Charles Spaniel           ,Y,F,CRAIGBURN FARM                     
Poodle                                  ,N,F,EDEN HILLS                         
Papillon                                ,Y,F,PASADENA                           
Poodle                                  ,Y,F,URRBRAE                            
Maltese                                 ,N,F,PANORAMA                           
Cardigan Corgi                          ,Y,F,EDEN HILLS                         
Miniature Bull Terrier                  ,Y,F,EDEN HILLS                         
Cocker Spaniel                          ,Y,F,CLAPHAM                            
Miniature Fox Terrier                   ,Y,F,LOWER MITCHAM                      
Boxer                                   ,Y,F,ST MARYS                           
Golden Retriever                        ,Y,F,MITCHAM                            
Staffordshire Terrier                   ,Y,F,HAWTHORNDENE                       
Australian Terrier                      ,Y,M,BELLEVUE HEIGHTS                   
Golden Retriever                        ,Y,M,EDEN HILLS                         
Golden Retriever                        ,N,M,HAWTHORNDENE                       
Hungarian Vizsla                        ,Y,M,NETHERBY                           
Beagle                                  ,Y,M,COLONEL LIGHT GARDENS              
Portugese Water Dog                     ,Y,M,CLAPHAM                            
Cavoodle                                ,Y,M,MITCHAM                            
Bulldog                                 ,N,M,HAWTHORNDENE                       
Golden Retriever                        ,Y,M,BLACKWOOD                          
Cocker Spaniel                          ,Y,M,COLONEL LIGHT GARDENS              
Boxer                                   ,Y,M,KINGSWOOD                          
Amer Staff Terrier                      ,N,M,CLARENCE GARDENS                   
Staffordshire Bull Terrier              ,N,M,EDEN HILLS                         
Cocker Spaniel                          ,Y,M,CUMBERLAND PARK                    
Maltese                                 ,Y,M,GLENALTA                           
Cavoodle                                ,Y,M,COROMANDEL VALLEY                  
Sydney Silky terrier                    ,Y,M,CRAIGBURN FARM                     
German Shepherd                         ,Y,M,CRAIGBURN FARM                     
Cairn Terrier                           ,Y,M,DAW PARK                           
Siberian Husky                          ,Y,M,GLENALTA                           
Labrador Retriever                      ,Y,M,PANORAMA                           
Australian Kelpie                       ,N,F,BELAIR                             
German Shepherd                         ,Y,M,BELLEVUE HEIGHTS                   
Chihuahua                               ,Y,F,PASADENA                           
Cairn Terrier                           ,Y,M,MELROSE PARK                       
Jack Russell Terrier                    ,Y,M,CLAPHAM                            
Pomeranian                              ,Y,M,MITCHAM                            
Siberian Husky                          ,Y,F,PANORAMA                           
Chihuahua Long Haired                   ,Y,M,CLARENCE GARDENS                   
Chihuahua                               ,N,F,LOWER MITCHAM                      
Shih Tzu                                ,Y,F,HAWTHORN                           
Poodle                                  ,Y,F,HAWTHORNDENE                       
Rottweiler                              ,Y,F,BLACKWOOD                          
Jack Russell Terrier                    ,Y,F,TORRENS PARK                       
