Breed,De-sexed,Gender,Suburb
Cocker Spaniel                          ,Y,M,COLONEL LIGHT GARDENS              
Labrador                                ,Y,M,BELAIR                             
Schnoodle                               ,Y,M,CRAIGBURN FARM                     
Terrier                                 ,Y,M,MITCHAM                            
German Shepherd                         ,Y,M,MELROSE PARK                       
Beagle                                  ,Y,M,BELAIR                             
Poodle                                  ,Y,M,KINGSWOOD                          
French Bulldog                          ,N,M,CLARENCE GARDENS                   
Australian Terrier                      ,Y,M,COLONEL LIGHT GARDENS              
King Charles Spaniel                    ,Y,F,GLENALTA                           
Maltese                                 ,Y,F,HAWTHORNDENE                       
Border Collie                           ,Y,F,UPPER STURT                        
Beagle                                  ,Y,F,DAW PARK                           
Maltese                                 ,Y,F,HAWTHORN                           
Labrador Retriever                      ,N,F,HAWTHORN                           
Keeshond                                ,N,F,BELLEVUE HEIGHTS                   
Maltese                                 ,N,F,DAW PARK                           
Lhasa Apso                              ,Y,F,MITCHAM                            
Maltese                                 ,Y,F,COLONEL LIGHT GARDENS              
German Shorthaired Pointer              ,Y,F,BLACKWOOD                          
Staffordshire Bull Terrier              ,Y,F,MELROSE PARK                       
Lagotto Romagnolo                       ,N,F,WESTBOURNE PARK                    
Miniature Pinscher                      ,Y,M,BLACKWOOD                          
Cairn Terrier                           ,N,M,BLACKWOOD                          
Border Collie                           ,Y,F,TORRENS PARK                       
Border Collie                           ,Y,F,GLENALTA                           
Staffordshire Terrier                   ,Y,F,COROMANDEL VALLEY                  
Golden Retriever                        ,Y,F,TORRENS PARK                       
Spoodle                                 ,Y,F,NETHERBY                           
Labrador                                ,Y,M,COLONEL LIGHT GARDENS              
Australian Cattle Dog                   ,N,M,CUMBERLAND PARK                    
Staffordshire Terrier                   ,Y,M,CUMBERLAND PARK                    
Australian Kelpie                       ,Y,M,BLACKWOOD                          
Australian Cattle Dog                   ,Y,M,HAWTHORNDENE                       
Cocker Spaniel                          ,Y,F,URRBRAE                            
Bull Terrier                            ,Y,F,GLENALTA                           
Labrador                                ,Y,M,BELAIR                             
Whippet                                 ,Y,F,CLARENCE GARDENS                   
Heeler                                  ,Y,F,CRAIGBURN FARM                     
German Shepherd                         ,Y,F,EDEN HILLS                         
Cocker Spaniel                          ,Y,F,NETHERBY                           
Labrador                                ,Y,F,BELAIR                             
Australian Kelpie                       ,Y,F,BELLEVUE HEIGHTS                   
Greyhound                               ,Y,F,CLARENCE GARDENS                   
Poodle                                  ,Y,F,BLACKWOOD                          
Australian Shepherd                     ,Y,F,HAWTHORN                           
Spoodle                                 ,Y,F,HAWTHORNDENE                       
Poodle                                  ,Y,F,BELAIR                             
Chihuahua                               ,Y,F,BEDFORD PARK                       
Finnish Lapphund                        ,N,F,NETHERBY                           
Dalmatian                               ,N,F,COROMANDEL VALLEY                  
German Shepherd                         ,Y,F,MITCHAM                            
Chow Chow                               ,Y,M,TORRENS PARK                       
Staffordshire Terrier                   ,Y,M,DAW PARK                           
Papillon                                ,Y,F,PASADENA                           
Schnauzer Standard                      ,Y,M,CUMBERLAND PARK                    
English Staffordshire Bull Terrier      ,Y,F,ST MARYS                           
Golden Retriever                        ,N,M,BEDFORD PARK                       
Labrador                                ,Y,F,CUMBERLAND PARK                    
Boxer                                   ,Y,F,COLONEL LIGHT GARDENS              
Staffordshire Bull Terrier              ,Y,F,COLONEL LIGHT GARDENS              
