Breed Description,,,Suburb
Staffordshire Bull Terrier,,Male,SEAFORD RISE   
Border Collie X (listed as Hungarian Coolie),Desexed,Male,OLD REYNELLA   
Beagle,Desexed,Male,MORPHETT VALE  
Maltese X,,Male,FLAGSTAFF HILL 
Staffordshire Bull Terrier X,Desexed,Female,ABERFOYLE PARK 
Maltese,Desexed,Male,FLAGSTAFF HILL 
Golden Retriever,,Male,MCLAREN FLAT   
Golden Retriever,,Male,MCLAREN FLAT   
Tenterfield Terrier,,Female,WOODCROFT      
Australian Kelpie X,,Male,PORT NOARLUNGA 
Staffordshire Bull Terrier,,Male,MORPHETT VALE  
Maltese X,Desexed,Female,HUNTFIELD HEIGH
Maltese X,,Male,SEAFORD RISE   
Schnauzer X Poodle (listed as Schnoodle),Desexed,Male,FLAGSTAFF HILL 
West Highland White Terrier,,Female,CHANDLERS HILL 
Staffordshire Bull Terrier,Desexed,Female,MORPHETT VALE  
Staffordshire Bull Terrier X,Desexed,Female,FLAGSTAFF HILL 
Staffordshire Bull Terrier,,Male,FLAGSTAFF HILL 
Jack Russell TerrierX,Desexed,Female,SEAFORD RISE   
Pomeranian X,,Female,OLD REYNELLA   
Maltese X,Desexed,Female,OLD REYNELLA   
West Highland White Terrier,Desexed,Female,HAPPY VALLEY   
Border Terrier,,Female,HAPPY VALLEY   
Maltese X,Desexed,Male,HACKHAM WEST   
Mixed,Desexed,Male,HAPPY VALLEY   
Maltese X,,Female,WOODCROFT      
Boxer X,,Male,ALDINGA BEACH  
Maltese X,,Male,HUNTFIELD HEIGH
Jack Russell TerrierX,,Male,HAPPY VALLEY   
Maltese X,Desexed,Female,OLD REYNELLA   
Staffordshire Bull Terrier X,Desexed,Female,WILLUNGA       
Australian Cattle Dog,,Male,MORPHETT VALE  
Australian Kelpie X,Desexed,Male,HACKHAM WEST   
Chihuahua X,Desexed,Female,NOARLUNGA DOWNS
Maltese X,Desexed,Female,NOARLUNGA DOWNS
German Shepherd Dog X,Desexed,Female,WOODCROFT      
Maltese X,,Female,ONKAPARINGA HIL
West Highland White Terrier X,,Male,REYNELLA       
West Highland White Terrier X,,Male,REYNELLA       
American Staffordshire Terrier,,Female,HAPPY VALLEY   
Gordon Setter,,Female,MCLAREN VALE   
Spoodle (Spainel X Poodle),Desexed,Male,MORPHETT VALE  
Maltese X,,Female,O'SULLIVAN BEAC
Labrador Retriever,,Male,CHRISTIE DOWNS 
Australian Kelpie,Desexed,Male,ALDINGA BEACH  
German Shepherd Dog,,Male,SEAFORD RISE   
Australian Kelpie,,Female,SEAFORD RISE   
Beagle,,Female,FLAGSTAFF HILL 
Labrador Retriever X,,Male,OLD REYNELLA   
Border Collie,Desexed,Male,COROMANDEL VALL
Boxer X,,Female,CHRISTIE DOWNS 
German Shepherd Dog,,Male,HAPPY VALLEY   
Pug,Desexed,Female,ALDINGA BEACH  
American Staffordshire Terrier,,Female,MORPHETT VALE  
Cavoodle (Cavalier X Poodle,,Female,SEAFORD        
Maltese X,Desexed,Male,MORPHETT VALE  
Rottweiler X,,Male,MORPHETT VALE  
Poodle (Toy),,Male,PORT NOARLUNGA 
Border Collie,,Female,MORPHETT VALE  
Jack Russell TerrierX,Desexed,Male,CHRISTIE DOWNS 
Staffordshire Bull Terrier,Desexed,Male,ABERFOYLE PARK 
Jack Russell TerrierX,Desexed,Male,CHRISTIE DOWNS 
Staffordshire Bull Terrier,Desexed,Female,CHRISTIE DOWNS 
German Shepherd Dog,,Female,PORT NOARLUNGA 
Shar Pei,Desexed,Male,PORT NOARLUNGA 
West Highland White Terrier X,Desexed,Female,MCLAREN VALE   
Cavalier King Charles Spaniel,Desexed,Female,MOANA          
Staffordshire Bull Terrier X,Desexed,Female,CHRISTIE DOWNS 
Jack Russell Terrier,Desexed,Male,MORPHETT VALE  
Hungarian Vizsla,Desexed,Female,COROMANDEL VALL
American Staffordshire Terrier,Desexed,Female,CHRISTIE DOWNS 
Maltese X,,Male,ALDINGA BEACH  
Gordon Setter,,Female,WILLUNGA SOUTH 
Chihuahua X,Desexed,Male,REYNELLA EAST  
Cavalier King Charles Spaniel X,Desexed,Male,MORPHETT VALE  
Cavalier King Charles Spaniel X,,Female,MORPHETT VALE  
Cavoodle (Cavalier X Poodle,,Male,ALDINGA BEACH  
Maltese X,Desexed,Male,O'HALLORAN HILL
Whippet,Desexed,Female,HAPPY VALLEY   
Shih Tzu X,,Male,PORT NOARLUNGA 
Border Collie,,Female,ALDINGA BEACH  
Collie (Rough) X,Desexed,Male,MORPHETT VALE  
Rhodesian Ridgeback X,Desexed,Male,FLAGSTAFF HILL 
Maltese X,,Female,FLAGSTAFF HILL 
Poodle (Standard) X,,Female,FLAGSTAFF HILL 
Labrador Retriever,,Female,ABERFOYLE PARK 
Labrador Retriever,,Male,HAPPY VALLEY   
Border Collie X,,Male,PORT NOARLUNGA 
Labrador Retriever,,Female,MORPHETT VALE  
Poodle (Standard) X,,Male,ONKAPARINGA HIL
Rottweiler X,Desexed,Female,MORPHETT VALE  
Staffordshire Bull Terrier,,Male,CHRISTIES BEACH
Greyhound,Desexed,Male,HACKHAM        
Labrador Retriever,,Male,ONKAPARINGA HIL
American Staffordshire Terrier,,Male,PORT WILLUNGA  
Boxer,,Female,ALDINGA BEACH  
Cavalier King Charles Spaniel X,Desexed,Female,MCLAREN VALE   
Maltese X,Desexed,Male,MCLAREN VALE   
Poodle (Standard),Desexed,Male,FLAGSTAFF HILL 
Staffordshire Bull Terrier,,Female,REYNELLA       
Jack Russell Terrier,,Male,HAPPY VALLEY   
Labrador Retriever,,Female,SEAFORD RISE   
Staffordshire Bull Terrier X,Desexed,Male,HUNTFIELD HEIGH
Maltese X,,Male,FLAGSTAFF HILL 
Standard Poodle,Desexed,Male,FLAGSTAFF HILL 
Staffordshire Bull Terrier X,Desexed,Male,NOARLUNGA DOWNS
Golden Retriever,Desexed,Female,MCLAREN VALE   
Jack Russell TerrierX,Desexed,Female,MCLAREN VALE   
Maltese X,,Female,HUNTFIELD HEIGH
Maltese X,,Male,WOODCROFT      
Maltese X,,Female,ALDINGA BEACH  
Golden Retriever,,Female,MORPHETT VALE  
Australian Kelpie X,Desexed,Male,SELLICKS BEACH 
Staffordshire Bull Terrier X,Desexed,Female,ABERFOYLE PARK 
Australian Kelpie X,Desexed,Male,ABERFOYLE PARK 
Labrador Retriever,,Male,MASLIN BEACH   
Border Collie,,Male,MASLIN BEACH   
Beagle,Desexed,Female,ALDINGA BEACH  
Rhodesian Ridgeback X,,Female,PORT NOARLUNGA 
Staffordshire Bull Terrier X,Desexed,Male,HUNTFIELD HEIGH
Cocker Spaniel,,Male,REYNELLA       
British Bulldog X (listed as American Bull Dog),,Male,NOARLUNGA DOWNS
British Bulldog X (listed as American Bull Dog),,Female,NOARLUNGA DOWNS
Staffordshire Bull Terrier,,Male,MORPHETT VALE  
Jack Russell Terrier,Desexed,Female,HACKHAM WEST   
German Shepherd Dog,,Female,FLAGSTAFF HILL 
Cocker Spaniel,,Female,FLAGSTAFF HILL 
Schnauzer,Desexed,Male,COROMANDEL VALL
Cavoodle (Cavalier X Poodle,,Male,FLAGSTAFF HILL 
Rottweiler X,Desexed,Male,WILLUNGA       
Border Collie X,,Female,REYNELLA       
Australian Kelpie X,,Male,WOODCROFT      
Australian Cattle Dog X,Desexed,Female,MORPHETT VALE  
Dachshund (Miniature),,Male,SEAFORD        
Border Collie X,Desexed,Male,TATACHILLA     
Staffordshire Bull Terrier,,Female,PORT NOARLUNGA 
Labrador Retriever X,Desexed,Male,HACKHAM WEST   
Labrador Retriever,Desexed,Female,HACKHAM WEST   
Akita,Desexed,Female,FLAGSTAFF HILL 
Staffordshire Bull Terrier,Desexed,Female,HAPPY VALLEY   
Labrador Retriever,Desexed,Male,PORT NOARLUNGA 
Maltese X,,Female,ALDINGA BEACH  
Australian Silky Terrier X,Desexed,Female,SEAFORD        
Maltese X,Desexed,Female,WOODCROFT      
American Staffordshire Terrier,,Female,OLD REYNELLA   
Cavalier King Charles Spaniel X,,Male,SEAFORD RISE   
Poodle (Toy) X,Desexed,Male,HAPPY VALLEY   
Maltese,,Male,FLAGSTAFF HILL 
Jack Russell Terrier,,Female,NOARLUNGA DOWNS
Maltese,,Female,REYNELLA       
Rottweiler X,,Male,MORPHETT VALE  
Pomeranian X,Desexed,Male,MORPHETT VALE  
Pomeranian X,Desexed,Male,MORPHETT VALE  
Shih Tzu X,Desexed,Male,OLD REYNELLA   
Cocker Spaniel,Desexed,Female,HACKHAM        
Cocker Spaniel,Desexed,Female,HACKHAM        
Border Collie,,Male,HAPPY VALLEY   
Maltalier (Maltese x Cavalier),,Female,FLAGSTAFF HILL 
Staffordshire Bull Terrier,Desexed,Male,WOODCROFT      
Labrador Retriever,,Male,HACKHAM WEST   
Cocker Spaniel,Desexed,Male,ONKAPARINGA HIL
Beagle,,Male,FLAGSTAFF HILL 
Australian Terrier,Desexed,Female,COROMANDEL VALL
English Springer Spaniel,Desexed,Male,O'HALLORAN HILL
Terrier X,Desexed,Female,MORPHETT VALE  
Portuguese Water Dog,Desexed,Male,FLAGSTAFF HILL 
Labrador Retriever X,Desexed,Female,HAPPY VALLEY   
Australian Cattle Dog X,Desexed,Female,REYNELLA       
Dalmatian,Desexed,Male,WOODCROFT      
Maltese X,,Female,CHRISTIES BEACH
Tenterfield Terrier X,Desexed,Female,HAPPY VALLEY   
German Shepherd Dog,Desexed,Male,HACKHAM WEST   
German Shepherd Dog,Desexed,Female,HACKHAM WEST   
Maltese X,Desexed,Male,SEAFORD        
Maltese,,Male,CHANDLERS HILL 
Labrador Retriever,Desexed,Male,ABERFOYLE PARK 
Dobermann,Desexed,Male,ABERFOYLE PARK 
Maltese X,Desexed,Male,MORPHETT VALE  
Fox Terrier,,Female,MORPHETT VALE  
Staffordshire Bull Terrier,Desexed,Female,REYNELLA       
Jack Russell TerrierX,Desexed,Female,SELLICKS BEACH 
German Shepherd Dog X,Desexed,Female,MORPHETT VALE  
Staffordshire Bull Terrier,Desexed,Male,ABERFOYLE PARK 
Staffordshire Bull Terrier X,,Male,REYNELLA       
Staffordshire Bull Terrier X,Desexed,Female,REYNELLA       
Scottish Terrier,,Male,PORT WILLUNGA  
Alaskan Malamute,Desexed,Male,ALDINGA BEACH  
Labrador Retriever X,,Female,WOODCROFT      
Border Collie X,Desexed,Female,ONKAPARINGA HIL
Staffordshire Bull Terrier X,Desexed,Male,MORPHETT VALE  
Scottish Terrier,,Male,WOODCROFT      
Australian Cattle Dog,,Female,PORT NOARLUNGA 
Maltese X,Desexed,Male,MOANA          
Labrador Retriever X (listed as Labradoodle),Desexed,Male,HAPPY VALLEY   
Schnauzer,Desexed,Female,FLAGSTAFF HILL 
Akita,,Male,NOARLUNGA DOWNS
Staffordshire Bull Terrier,,Female,WOODCROFT      
Border Collie,Desexed,Male,WOODCROFT      
Pomeranian,,Male,ABERFOYLE PARK 
Poodle (Standard) X,Desexed,Male,MCLAREN VALE   
Maltese X,Desexed,Male,ALDINGA BEACH  
Cavalier King Charles Spaniel X,,Female,OLD REYNELLA   
Staffordshire Bull Terrier,,Male,SEAFORD        
Golden Retriever,Desexed,Female,SEAFORD RISE   
Cocker Spaniel,Desexed,Female,WILLUNGA       
Cavalier King Charles Spaniel,,Male,MORPHETT VALE  
Border Collie X (listed as Hungarian Coolie),Desexed,Male,ONKAPARINGA HIL
Labrador Retriever X,Desexed,Female,WOODCROFT      
Jack Russell Terrier,Desexed,Male,ALDINGA BEACH  
Labrador Retriever,,Male,PORT NOARLUNGA 
Fox Terrier,Desexed,Male,MORPHETT VALE  
Maltese X,Desexed,Female,REYNELLA       
German Shepherd Dog,,Male,SEAFORD        
Australian Kelpie,Desexed,Male,PORT NOARLUNGA 
Golden Retriever,,Female,WOODCROFT      
Spoodle (Spainel X Poodle),Desexed,Female,O'HALLORAN HILL
American Staffordshire Terrier,,Female,PORT NOARLUNGA 
German Shepherd Dog,,Female,HACKHAM        
Jack Russell Terrier,,Male,MOANA          
Poodle (Standard) X,Desexed,Female,HAPPY VALLEY   
Golden Retriever X,Desexed,Male,MOANA          
Jack Russell Terrier,Desexed,Female,HAPPY VALLEY   
Australian Silky Terrier,Desexed,Female,MORPHETT VALE  
Jack Russell Terrier,,Male,OLD NOARLUNGA  
Old English Sheep Dog,Desexed,Male,MORPHETT VALE  
Staffordshire Bull Terrier,,Female,MCLAREN FLAT   
Pomeranian X,Desexed,Female,FLAGSTAFF HILL 
Boxer,,Male,ALDINGA BEACH  
Labrador Retriever,,Female,CHRISTIES BEACH
Beagle,Desexed,Male,NOARLUNGA DOWNS
Pomeranian X,Desexed,Female,MCLAREN VALE   
Staffordshire Bull Terrier,,Female,SEAFORD MEADOWS
Labrador Retriever,Desexed,Male,WOODCROFT      
Poodle (Miniature) X,Desexed,Male,WOODCROFT      
Poodle (Standard) X,Desexed,Male,SEAFORD RISE   
Jack Russell Terrier,,Male,WOODCROFT      
Whippet,Desexed,Female,SEAFORD RISE   
Australian Cattle Dog X,Desexed,Female,HACKHAM WEST   
Miniature Schnauzer,Desexed,Female,REYNELLA       
Rottweiler X,Desexed,Male,WILLUNGA       
Rottweiler X,Desexed,Female,WILLUNGA       
Golden Retriever,Desexed,Male,FLAGSTAFF HILL 
Standard Poodle,,Female,PORT WILLUNGA  
Labrador Retriever X,,Male,MASLIN BEACH   
West Highland White Terrier X,,Male,WOODCROFT      
Lhasa Apso,Desexed,Female,WOODCROFT      
Tenterfield Terrier,Desexed,Female,ABERFOYLE PARK 
Rottweiler,,Male,SELLICKS BEACH 
Labrador Retriever,,Female,ABERFOYLE PARK 
Border Collie,,Male,WILLUNGA       
Rottweiler X,Desexed,Male,MORPHETT VALE  
Border Collie,,Female,ONKAPARINGA HIL
Staffordshire Bull Terrier,Desexed,Female,PORT NOARLUNGA 
Labrador Retriever,,Male,HACKHAM WEST   
Fox Terrier,Desexed,Male,ABERFOYLE PARK 
Chihuahua,,Female,O'HALLORAN HILL
Spoodle (Spainel X Poodle),Desexed,Male,MORPHETT VALE  
Beagle X,,Female,MORPHETT VALE  
Mastiff X (listed as Bull Arab),Desexed,Female,ONKAPARINGA HIL
Staffordshire Bull Terrier,Desexed,Female,PORT NOARLUNGA 
Staffordshire Bull Terrier,,Female,ALDINGA BEACH  
Pomeranian X,,Female,HACKHAM WEST   
German Shorthaired Pointer,,Female,CHERRY GARDENS 
Beagle,Desexed,Male,FLAGSTAFF HILL 
Shih Tzu X,,Male,CHRISTIE DOWNS 
Pomeranian,Desexed,Male,O'HALLORAN HILL
Staffordshire Bull Terrier X,Desexed,Female,FLAGSTAFF HILL 
Australian Kelpie X,Desexed,Female,WILLUNGA SOUTH 
Staffordshire Bull Terrier X,Desexed,Female,WILLUNGA SOUTH 
German Shepherd Dog,Desexed,Male,WOODCROFT      
Groodle (Golden Retriever X Poodle),,Female,SEAFORD RISE   
Labrador Retriever,Desexed,Female,WILLUNGA       
Alaskan Malamute,Desexed,Female,NOARLUNGA DOWNS
Beagle X,Desexed,Male,ABERFOYLE PARK 
Maltese X,Desexed,Male,ALDINGA BEACH  
Jack Russell TerrierX,Desexed,Male,SEAFORD MEADOWS
Labrador Retriever X,,Male,ALDINGA BEACH  
Jack Russell TerrierX,,Male,ALDINGA BEACH  
West Highland White Terrier,Desexed,Female,REYNELLA EAST  
Shih Tzu X,Desexed,Male,OLD NOARLUNGA  
Chihuahua X,Desexed,Male,SEAFORD RISE   
American Staffordshire Terrier,,Male,REYNELLA EAST  
Poodle (Toy),,Male,O'HALLORAN HILL
Tenterfield Terrier,Desexed,Female,ABERFOYLE PARK 
Maltese X,Desexed,Male,REYNELLA EAST  
Tenterfield Terrier,Desexed,Male,MORPHETT VALE  
Lhasa Apso,Desexed,Male,MASLIN BEACH   
Spoodle (Spainel X Poodle),Desexed,Female,MASLIN BEACH   
Bull Terrier,Desexed,Male,SEAFORD RISE   
Cocker Spaniel,Desexed,Male,ALDINGA BEACH  
Labrador Retriever X,Desexed,Female,ALDINGA BEACH  
Cavalier King Charles Spaniel X,Desexed,Male,FLAGSTAFF HILL 
Cavalier King Charles Spaniel X,Desexed,Male,FLAGSTAFF HILL 
Labrador Retriever,,Female,MOANA          
Beagle,Desexed,Male,MOANA          
Chihuahua X,Desexed,Male,HACKHAM WEST   
Maltese X,Desexed,Male,ABERFOYLE PARK 
West Highland White Terrier,,Male,FLAGSTAFF HILL 
Whippet,,Female,ALDINGA BEACH  
Australian Kelpie X,Desexed,Male,HAPPY VALLEY   
Labrador Retriever X (listed as Labradoodle),Desexed,Male,WILLUNGA       
Labrador Retriever,,Female,SEAFORD RISE   
American Staffordshire Terrier,,Female,ALDINGA        
Maltese X,Desexed,Female,ALDINGA BEACH  
Poodle (Standard),,Male,WOODCROFT      
Border Collie,,Male,FLAGSTAFF HILL 
Jack Russell Terrier,,Male,WOODCROFT      
Labrador Retriever X,Desexed,Male,MORPHETT VALE  
Labrador Retriever,Desexed,Female,MOANA          
Pomeranian,Desexed,Male,REYNELLA EAST  
Australian Cattle Dog X,Desexed,Female,FLAGSTAFF HILL 
Siberian Husky,,Male,MORPHETT VALE  
Maltalier (Maltese x Cavalier),Desexed,Male,ALDINGA BEACH  
Jack Russell Terrier,Desexed,Female,ONKAPARINGA HIL
Shar Pei,Desexed,Male,WOODCROFT      
Airedale Terrier,,Male,WOODCROFT      
Maltese X,Desexed,Male,MORPHETT VALE  
Staffordshire Bull Terrier,,Male,SEAFORD RISE   
Maltese X,,Male,FLAGSTAFF HILL 
Australian Kelpie,Desexed,Female,REYNELLA EAST  
Maltese X,Desexed,Male,PORT NOARLUNGA 
Maltese X,,Male,WOODCROFT      
German Shorthaired Pointer,Desexed,Female,FLAGSTAFF HILL 
German Shorthaired Pointer,Desexed,Male,FLAGSTAFF HILL 
Australian Kelpie X,Desexed,Male,HACKHAM WEST   
Labrador Retriever X,Desexed,Male,HAPPY VALLEY   
Border Collie X,,Male,MORPHETT VALE  
Gordon Setter,Desexed,Female,WILLUNGA       
Skye Terrier X,,Male,MORPHETT VALE  
Poodle (Miniature),Desexed,Male,MORPHETT VALE  
Staffordshire Bull Terrier,Desexed,Female,CHRISTIE DOWNS 
Siberian Husky,,Male,FLAGSTAFF HILL 
Spoodle (Spainel X Poodle),Desexed,Male,OLD REYNELLA   
Tenterfield Terrier,Desexed,Male,ALDINGA BEACH  
Maltese X,Desexed,Female,ABERFOYLE PARK 
Staffordshire Bull Terrier X,Desexed,Female,ABERFOYLE PARK 
Staffordshire Bull Terrier X,,Male,PORT WILLUNGA  
Beagle X,,Female,ABERFOYLE PARK 
Labrador Retriever,Desexed,Female,FLAGSTAFF HILL 
Australian Kelpie X,,Male,HACKHAM WEST   
American Staffordshire Terrier,,Female,MORPHETT VALE  
Great Dane,Desexed,Female,MORPHETT VALE  
Jack Russell Terrier,Desexed,Male,WOODCROFT      
Dalmatian,Desexed,Male,FLAGSTAFF HILL 
Border Collie,Desexed,Male,ALDINGA BEACH  
Shar Pei X,Desexed,Female,ALDINGA BEACH  
Australian Kelpie X,Desexed,Female,MASLIN BEACH   
Schnauzer,,Male,SELLICKS HILL  
Staffordshire Bull Terrier X,Desexed,Female,WILLUNGA SOUTH 
Labrador Retriever,,Male,MORPHETT VALE  
Shar Pei,,Female,MORPHETT VALE  
Australian Cattle Dog X,,Male,ALDINGA BEACH  
Cocker Spaniel,Desexed,Male,ABERFOYLE PARK 
Labrador Retriever,,Female,MORPHETT VALE  
Shih Tzu X,Desexed,Female,MOANA          
Labrador Retriever X,Desexed,Male,HACKHAM WEST   
Jack Russell Terrier,Desexed,Female,MORPHETT VALE  
Labrador Retriever X (listed as Labradoodle),Desexed,Female,PORT NOARLUNGA 
Australian Kelpie X,,Male,MORPHETT VALE  
Maltese X,Desexed,Female,SEAFORD        
Maltese X,Desexed,Female,SEAFORD        
Dalmatian,Desexed,Female,PORT NOARLUNGA 
Maltese X,Desexed,Male,WOODCROFT      
Beagle,Desexed,Female,SEAFORD        
Papillon,,Male,O'SULLIVAN BEAC
West Highland White Terrier X,Desexed,Male,HACKHAM        
Beagle,Desexed,Male,KANGARILLA     
Boxer,Desexed,Female,HAPPY VALLEY   
Spoodle (Spainel X Poodle),Desexed,Male,KANGARILLA     
Poodle (Standard) X,,Female,ONKAPARINGA HIL
Maltese X,Desexed,Female,HAPPY VALLEY   
Whippet,Desexed,Female,PORT WILLUNGA  
Australian Cattle Dog,,Male,MORPHETT VALE  
Maltese X,Desexed,Male,SELLICKS BEACH 
Staffordshire Bull Terrier,Desexed,Male,HAPPY VALLEY   
Jack Russell TerrierX,,Male,PORT NOARLUNGA 
Shih Tzu X,Desexed,Female,WOODCROFT      
Border Collie,Desexed,Male,WOODCROFT      
Labrador Retriever,,Male,FLAGSTAFF HILL 
Boxer,Desexed,Female,MORPHETT VALE  
Labrador Retriever X,Desexed,Female,MORPHETT VALE  
Italian Greyhound,,Female,ALDINGA        
Labrador Retriever X,Desexed,Male,WILLUNGA       
Jack Russell Terrier,,Female,HAPPY VALLEY   
Australian Kelpie X,Desexed,Male,ABERFOYLE PARK 
Labrador Retriever,Desexed,Male,REYNELLA EAST  
Siberian Husky,,Female,COROMANDEL VALL
Border Collie X,,Female,MORPHETT VALE  
Beagle,Desexed,Male,MCLAREN VALE   
Whippet X,Desexed,Female,MORPHETT VALE  
Shih Tzu,,Male,CHRISTIES BEACH
Maltese X,Desexed,Female,PORT NOARLUNGA 
Maltese X,,Male,SEAFORD RISE   
Labrador Retriever X,Desexed,Male,SEAFORD MEADOWS
Maltese X,Desexed,Male,MORPHETT VALE  
Australian Terrier,Desexed,Male,SEAFORD RISE   
Rottweiler X,Desexed,Male,ALDINGA BEACH  
Maltese,,Male,MORPHETT VALE  
Border Collie,Desexed,Female,CHRISTIES BEACH
Staffordshire Bull Terrier X,Desexed,Female,HUNTFIELD HEIGH
Poodle (Standard) X,Desexed,Male,SELLICKS BEACH 
American Staffordshire Terrier,,Male,MOANA          
Maltese X,,Female,CHRISTIE DOWNS 
Boxer X,Desexed,Female,MORPHETT VALE  
Italian Spinone,Desexed,Male,OLD REYNELLA   
Border Collie X,Desexed,Male,MORPHETT VALE  
Jack Russell Terrier,,Female,SEAFORD        
English Springer Spaniel X,Desexed,Male,CHRISTIES BEACH
Greyhound,Desexed,Male,CHRISTIE DOWNS 
Maltese X,Desexed,Male,MORPHETT VALE  
German Shepherd Dog,,Female,HACKHAM        
Pomeranian X,Desexed,Male,WILLUNGA       
Labrador Retriever X (listed as Labradoodle),Desexed,Male,ABERFOYLE PARK 
Maltese X,Desexed,Female,MCLAREN VALE   
Staffordshire Bull Terrier X,,Female,OLD REYNELLA   
Boxer,,Male,CHRISTIE DOWNS 
Maltese X,Desexed,Female,PORT NOARLUNGA 
Maltese X,Desexed,Male,PORT NOARLUNGA 
Maltese,,Male,WOODCROFT      
Dobermann,Desexed,Male,SELLICKS BEACH 
Maltese X,Desexed,Female,KANGARILLA     
Maltese X,,Female,MORPHETT VALE  
Labrador Retriever X (listed as Labradoodle),Desexed,Female,ABERFOYLE PARK 
Fox Terrier (Smooth),Desexed,Male,MORPHETT VALE  
English Springer Spaniel,,Female,HAPPY VALLEY   
Maltalier (Maltese x Cavalier),Desexed,Male,HAPPY VALLEY   
Border Collie,,Male,MORPHETT VALE  
Alaskan Malamute X,,Male,ALDINGA        
Labrador Retriever X,,Female,WILLUNGA SOUTH 
Labrador Retriever,,Male,COROMANDEL VALL
Maltese X,,Male,O'HALLORAN HILL
Labrador Retriever,,Female,ABERFOYLE PARK 
West Highland White Terrier,Desexed,Male,ABERFOYLE PARK 
Australian Kelpie,,Female,FLAGSTAFF HILL 
Staffordshire Bull Terrier X,Desexed,Male,WOODCROFT      
Border Collie,,Female,MCLAREN VALE   
Siberian Husky X,,Male,MASLIN BEACH   
Border Collie,Desexed,Female,SEAFORD        
Maltese,,Female,HACKHAM        
Labrador Retriever X,Desexed,Female,ALDINGA BEACH  
Fox Terrier (Smooth),Desexed,Male,SEAFORD        
Border Collie X,,Female,ABERFOYLE PARK 
Siberian Husky,,Female,WOODCROFT      
Golden Retriever,Desexed,Male,WOODCROFT      
Whippet,,Male,REYNELLA       
Labrador Retriever,Desexed,Male,SELLICKS BEACH 
Cavoodle (Cavalier X Poodle,,Female,ONKAPARINGA HIL
Fox Terrier (Smooth) X,Desexed,Female,SEAFORD RISE   
Australian Cattle Dog X,Desexed,Male,MORPHETT VALE  
Australian Cattle Dog X,Desexed,Female,REYNELLA EAST  
Bull Terrier (listed as English Bull Terrier),Desexed,Male,SEAFORD        
Maltese X,,Female,HUNTFIELD HEIGH
West Highland White Terrier,,Male,HACKHAM        
Italian Greyhound,Desexed,Female,WILLUNGA       
Staffordshire Bull Terrier X,,Female,PORT WILLUNGA  
Cocker Spaniel X,,Female,HAPPY VALLEY   
Great Dane,Desexed,Male,MOANA          
Mixed,Desexed,Female,WOODCROFT      
Maltese X,Desexed,Female,SEAFORD        
Border Collie X,,Female,TATACHILLA     
Maltese,,Female,MORPHETT VALE  
Poodle (Standard),,Male,MORPHETT VALE  
Fox Terrier (Smooth),,Female,FLAGSTAFF HILL 
Fox Terrier (Smooth),,Female,FLAGSTAFF HILL 
Maltese X,,Male,CHRISTIE DOWNS 
Pomeranian X,Desexed,Female,PORT WILLUNGA  
Cocker Spaniel,,Male,MORPHETT VALE  
Samoyed,Desexed,Male,OLD REYNELLA   
Pug X,Desexed,Female,FLAGSTAFF HILL 
Cocker Spaniel,Desexed,Female,WILLUNGA       
Cocker Spaniel,Desexed,Female,WILLUNGA       
Groodle (Golden Retriever X Poodle),,Female,MCLAREN VALE   
Maltese X,,Female,CHRISTIE DOWNS 
Cavalier King Charles Spaniel,,Female,FLAGSTAFF HILL 
Italian Spinone,Desexed,Male,COROMANDEL VALL
Shih Tzu X,,Female,ABERFOYLE PARK 
Australian Kelpie X,Desexed,Male,MORPHETT VALE  
Australian Silky Terrier X,,Female,HAPPY VALLEY   
Staffordshire Bull Terrier,Desexed,Female,PORT NOARLUNGA 
Jack Russell Terrier,Desexed,Female,HACKHAM        
Tenterfield Terrier,Desexed,Female,O'SULLIVAN BEAC
Staffordshire Bull Terrier X,Desexed,Male,MORPHETT VALE  
Maltese X,Desexed,Female,CHRISTIE DOWNS 
Labrador Retriever,Desexed,Male,MORPHETT VALE  
Retriever,,Male,SEAFORD        
Staffordshire Bull Terrier,,Female,MORPHETT VALE  
Siberian Husky,Desexed,Male,ABERFOYLE PARK 
Jack Russell TerrierX,,Male,MORPHETT VALE  
Bassett Hound,Desexed,Male,FLAGSTAFF HILL 
German Shepherd Dog,Desexed,Female,WOODCROFT      
Maltese X,,Female,WOODCROFT      
Rottweiler X,Desexed,Male,ALDINGA BEACH  
German Shepherd Dog,Desexed,Male,HACKHAM WEST   
Maltese X,Desexed,Female,PORT NOARLUNGA 
Rottweiler,Desexed,Male,REYNELLA       
Bichon Frise,Desexed,Male,WOODCROFT      
Jack Russell TerrierX,Desexed,Male,NOARLUNGA DOWNS
German Shepherd Dog,Desexed,Female,MASLIN BEACH   
Jack Russell TerrierX,,Female,MORPHETT VALE  
Maltese X,,Female,O'HALLORAN HILL
Labrador Retriever,Desexed,Male,HACKHAM WEST   
Maltese X,Desexed,Male,HACKHAM WEST   
Bernese Mountain Dog,Desexed,Female,CHRISTIE DOWNS 
Siberian Husky,Desexed,Female,O'HALLORAN HILL
Border Collie,,Female,FLAGSTAFF HILL 
Beagle,Desexed,Male,SEAFORD        
Jack Russell Terrier,Desexed,Male,CHRISTIE DOWNS 
Great Dane,Desexed,Female,ONKAPARINGA HIL
Australian Kelpie,Desexed,Female,OLD REYNELLA   
Border Collie X,Desexed,Male,CHRISTIE DOWNS 
Border Collie,,Female,KANGARILLA     
