Breed Description,,,Suburb
Australian Silky Terrier X,Desexed,Female,FLAGSTAFF HILL 
Maltese,,Female,CHRISTIES BEACH
Australian Kelpie X,Desexed,Male,KUITPO         
Maltese,Desexed,Male,O'SULLIVAN BEAC
Staffordshire Bull Terrier,Desexed,Female,HUNTFIELD HEIGH
Shih Tzu,Desexed,,SELLICKS BEACH 
Cavalier King Charles Spaniel X,Desexed,Female,MOANA          
Border Collie,Desexed,Female,ONKAPARINGA HIL
Chihuahua X,Desexed,Female,CHRISTIE DOWNS 
Terrier,,Female,NOARLUNGA DOWNS
Maltese X,Desexed,,ONKAPARINGA HIL
Poodle (Standard),Desexed,Female,REYNELLA       
Tenterfield Terrier,Desexed,Male,WOODCROFT      
Fox Terrier (Smooth) X,Desexed,Female,MORPHETT VALE  
Cavalier King Charles Spaniel,Desexed,Female,WOODCROFT      
Maltese X,Desexed,Female,MORPHETT VALE  
Maltese X,Desexed,Male,NOARLUNGA DOWNS
Jack Russell Terrier,,Female,ONKAPARINGA HIL
Maltese X,Desexed,Male,O'HALLORAN HILL
Chihuahua,,Female,MORPHETT VALE  
Maltese X,Desexed,Male,MORPHETT VALE  
Australian Silky Terrier X,Desexed,Female,O'HALLORAN HILL
Cairn Terrier,,Male,OLD REYNELLA   
Maltese X,,Male,ABERFOYLE PARK 
Maltese X,Desexed,Female,O'HALLORAN HILL
Dachshund,Desexed,,SEAFORD RISE   
Tibetan Spaniel,,Female,OLD REYNELLA   
Australian Kelpie X,,Male,ALDINGA BEACH  
Jack Russell TerrierX,,Male,PORT NOARLUNGA 
Staffordshire Bull Terrier,,Male,O'SULLIVAN BEAC
Maltese,Desexed,Male,ABERFOYLE PARK 
Pomeranian,,Female,CHRISTIES BEACH
Terrier X,,Male,CHRISTIE DOWNS 
Cocker Spaniel,,Female,HAPPY VALLEY   
Jack Russell TerrierX,Desexed,Female,NOARLUNGA DOWNS
Australian Kelpie X,,Male,PORT WILLUNGA  
Tenterfield Terrier,Desexed,Female,HAPPY VALLEY   
Chihuahua,Desexed,Male,O'HALLORAN HILL
Border Collie,Desexed,Male,HAPPY VALLEY   
Border Collie X,Desexed,Male,MASLIN BEACH   
Labrador Retriever,Desexed,Female,SEAFORD RISE   
Border Collie X,Desexed,Female,CHANDLERS HILL 
Border Collie X,Desexed,Male,SEAFORD        
Maltese,Desexed,Male,O'SULLIVAN BEAC
Maltese X,Desexed,Male,HACKHAM        
Border Collie X,,Female,WOODCROFT      
Australian Cattle Dog X,,Female,MORPHETT VALE  
Poodle (Standard) X,Desexed,Female,REYNELLA EAST  
Border Collie,,Male,COROMANDEL VALL
Maltese X,Desexed,Male,PORT NOARLUNGA 
Australian Kelpie X,,Female,REYNELLA       
Australian Kelpie X,Desexed,Female,ABERFOYLE PARK 
Border Collie,Desexed,Female,HACKHAM        
Border Collie X,Desexed,Female,CHERRY GARDENS 
Border Collie,Desexed,Female,ABERFOYLE PARK 
Tenterfield Terrier,Desexed,Male,ALDINGA BEACH  
Jack Russell TerrierX,Desexed,Male,MORPHETT VALE  
Maltese X,Desexed,Female,ONKAPARINGA HIL
Chihuahua,,Male,COROMANDEL VALL
Maltese X,Desexed,Male,ABERFOYLE PARK 
Maltese X,,Female,DARLINGTON     
Maltese X,Desexed,Female,MORPHETT VALE  
Jack Russell TerrierX,Desexed,Male,NOARLUNGA DOWNS
Jack Russell Terrier,Desexed,Male,CHRISTIES BEACH
Australian Kelpie X,Desexed,Female,FLAGSTAFF HILL 
Labrador Retriever,Desexed,Male,ALDINGA BEACH  
Bull Terrier X,Desexed,Female,CHRISTIES BEACH
Jack Russell TerrierX,Desexed,Male,WILLUNGA SOUTH 
Chihuahua X,Desexed,Female,MORPHETT VALE  
Tenterfield Terrier,Desexed,Female,ABERFOYLE PARK 
Australian Kelpie X,Desexed,,REYNELLA       
Beagle X,,Male,ONKAPARINGA HIL
Pomeranian,,Female,CHRISTIE DOWNS 
Jack Russell Terrier,Desexed,Male,HAPPY VALLEY   
Fox Terrier (Smooth) X,Desexed,Male,ABERFOYLE PARK 
Maltese X,Desexed,Female,HAPPY VALLEY   
Australian Cattle Dog X,,Male,ALDINGA BEACH  
Maltese X,Desexed,Female,CHANDLERS HILL 
Border Collie X,Desexed,Female,WOODCROFT      
West Highland White Terrier X,Desexed,Male,MORPHETT VALE  
Shih Tzu,Desexed,Male,MOANA          
Australian Kelpie X,Desexed,Male,THE RANGE      
Fox Terrier (Smooth) X,Desexed,Female,SEAFORD MEADOWS
Poodle (Standard),Desexed,Female,WOODCROFT      
Australian Silky Terrier,,Female,REYNELLA       
Jack Russell TerrierX,Desexed,Female,ABERFOYLE PARK 
Maltese,,Female,WOODCROFT      
Poodle (Toy),Desexed,Male,COROMANDEL EAST
Shih Tzu X,Desexed,Female,OLD REYNELLA   
Border Collie X,Desexed,Female,MOANA          
Labrador Retriever,,Male,MORPHETT VALE  
Shih Tzu,Desexed,,HACKHAM        
Maltese X,Desexed,Female,MCLAREN FLAT   
Lhasa Apso X,,Male,MORPHETT VALE  
Maltese X,Desexed,Male,HAPPY VALLEY   
Maltese X,Desexed,Male,PORT WILLUNGA  
Beagle,Desexed,Male,OLD REYNELLA   
Australian Silky Terrier,,Female,MOANA          
Basenji X,Desexed,Female,CHRISTIES BEACH
Bull Terrier X,,Female,CHRISTIE DOWNS 
Cavalier King Charles Spaniel,Desexed,Male,WOODCROFT      
Australian Silky Terrier,,Male,ABERFOYLE PARK 
Jack Russell Terrier,Desexed,Male,SEAFORD        
Fox Terrier,Desexed,Female,HAPPY VALLEY   
Border Collie,Desexed,Female,COROMANDEL VALL
Shih Tzu X,,Male,FLAGSTAFF HILL 
Labrador Retriever,Desexed,Female,MCLAREN VALE   
Poodle (Standard),Desexed,Female,WOODCROFT      
Jack Russell Terrier,Desexed,Male,HACKHAM        
Chihuahua,Desexed,Female,HAPPY VALLEY   
Fox Terrier (Smooth),,Male,NOARLUNGA DOWNS
Terrier X,,Male,PORT NOARLUNGA 
Schnauzer,,Male,PORT NOARLUNGA 
Border Collie,Desexed,Female,HACKHAM        
Border Collie,Desexed,Female,ABERFOYLE PARK 
Shih Tzu X,,Male,WOODCROFT      
Border Collie,Desexed,Female,HAPPY VALLEY   
Poodle (Standard) X,Desexed,Female,FLAGSTAFF HILL 
Tenterfield Terrier,Desexed,Male,MCLAREN VALE   
Mixed,,Male,CHANDLERS HILL 
German Shepherd Dog,,Male,MORPHETT VALE  
Labrador Retriever,Desexed,Female,FLAGSTAFF HILL 
Bichon Frise,Desexed,Male,O'HALLORAN HILL
Maltese X,Desexed,Female,HAPPY VALLEY   
Australian Cattle Dog X,Desexed,Female,BLEWITT SPRINGS
Bull Terrier X,Desexed,Male,MASLIN BEACH   
Tenterfield Terrier,Desexed,Male,REYNELLA       
Australian Kelpie X,Desexed,Female,HACKHAM WEST   
Bull Terrier,Desexed,Female,ABERFOYLE PARK 
Collie (Rough) X,Desexed,Male,HACKHAM        
Australian Cattle Dog X,,Male,PORT NOARLUNGA 
Jack Russell Terrier,Desexed,Female,HAPPY VALLEY   
Maltese,,Female,SEAFORD MEADOWS
Staffordshire Bull Terrier X,Desexed,Male,MORPHETT VALE  
Staffordshire Bull Terrier,Desexed,Female,WOODCROFT      
Australian Cattle Dog,Desexed,Female,SEAFORD        
Rottweiler X,Desexed,Female,ONKAPARINGA HIL
Fox Terrier (Smooth),,Male,HUNTFIELD HEIGH
Australian Kelpie X,Desexed,Female,OLD REYNELLA   
Miniature Schnauzer,,Male,O'HALLORAN HILL
Maltese,Desexed,Male,HAPPY VALLEY   
Maltese X,Desexed,Female,HACKHAM WEST   
Australian Kelpie,Desexed,Female,WILLUNGA       
Pomeranian X,Desexed,Female,NOARLUNGA DOWNS
Tenterfield Terrier,Desexed,Male,MCLAREN VALE   
Border Collie,Desexed,Female,FLAGSTAFF HILL 
Maltese,Desexed,Male,CHRISTIES BEACH
Border Collie X,Desexed,Female,FLAGSTAFF HILL 
Border Collie X,Desexed,Male,MORPHETT VALE  
Poodle (Toy),Desexed,Male,MORPHETT VALE  
Maltese X,Desexed,Female,FLAGSTAFF HILL 
Maltese X,Desexed,Female,O'HALLORAN HILL
Maltese X,,Female,PORT WILLUNGA  
Fox Terrier,Desexed,Male,PORT NOARLUNGA 
Australian Cattle Dog,Desexed,Male,CHRISTIES BEACH
Australian Kelpie X,Desexed,Female,THE RANGE      
English Springer Spaniel,Desexed,Male,FLAGSTAFF HILL 
English Springer Spaniel,Desexed,Female,FLAGSTAFF HILL 
Fox Terrier,Desexed,Female,MORPHETT VALE  
Maltese X,Desexed,Male,WOODCROFT      
Bichon Frise,,Female,SELLICKS BEACH 
Jack Russell Terrier,Desexed,Male,FLAGSTAFF HILL 
Australian Kelpie X,Desexed,Female,PORT NOARLUNGA 
Australian Kelpie,,Female,WHITES VALLEY  
Tenterfield Terrier,Desexed,Female,ABERFOYLE PARK 
Tenterfield Terrier,Desexed,Female,KANGARILLA     
Tenterfield Terrier,Desexed,Female,ALDINGA BEACH  
Australian Cattle Dog X,Desexed,Female,MORPHETT VALE  
Maltese X,,Male,REYNELLA       
Jack Russell Terrier,Desexed,Male,ALDINGA BEACH  
Corgi (see either Welsh Cardigan/ Welsh Pembroke),Desexed,Female,MOANA          
Maltese X,,Male,SEAFORD MEADOWS
Maltese X,Desexed,Female,FLAGSTAFF HILL 
Maltese,Desexed,Female,CHRISTIES BEACH
West Highland White Terrier,Desexed,Female,NOARLUNGA DOWNS
Chihuahua,Desexed,Male,OLD REYNELLA   
