Breed_Description,desexed,sex,Suburb
Papillon X,no,Female,MUNNO PARA
Shar Pei,yes,Female,HILLBANK
Mastiff X,no,Male,CRAIGMORE
Staffordshire Bull Terrier X,yes,Female,DAVOREN PARK
Maltese X,no,Male,HILLBANK
Maltese X,no,Male,CRAIGMORE
Maltese,yes,Female,SMITHFIELD
Shih Tzu,no,Female,BLAKEVIEW
Maltese X,yes,Male,HILLBANK
Labrador Retriever,no,Female,ONE TREE HILL
Maltese X,no,Female,MUNNO PARA
Fox Terrier (Smooth),yes,Female,SMITHFIELD
Labrador Retriever X,no,Male,CRAIGMORE
Labrador Retriever,yes,Male,CRAIGMORE
Staffordshire Bull Terrier,yes,Male,ELIZABETH SOUTH
Staffordshire Bull Terrier X,no,Male,ELIZABETH DOWNS
Akita,no,Female,YATTALUNGA
Labrador Retriever,no,Female,MUNNO PARA
Maltese X,yes,Male,CRAIGMORE
Akita,no,Male,DAVOREN PARK
Maltese X,yes,Male,BLAKEVIEW
Poodle,yes,Male,ANGLE VALE
Poodle,yes,Female,DAVOREN PARK
Maltese X,yes,Female,CRAIGMORE
Fox Terrier (Smooth),no,Female,MUNNO PARA
German Shepherd Dog,yes,Female,SMITHFIELD PLAINS
Jack Russell Terrier X,no,Male,ANGLE VALE
Chihuahua,no,Female,ELIZABETH VALE
Australian Cattle Dog,no,Female,ELIZABETH PARK
Cairn Terrier X,no,Female,ELIZABETH EAST
Fox Terrier (Smooth),no,Female,ELIZABETH DOWNS
Cocker Spaniel,no,Male,CRAIGMORE
Bichon Frise x,no,Male,BLAKEVIEW
Dobermann,yes,Male,SMITHFIELD PLAINS
Maltese X,no,Male,DAVOREN PARK
Fox Terrier (Smooth)  X,no,Female,BLAKEVIEW
Maltese X,no,Female,ELIZABETH
Labrador Retriever,no,Male,ANGLE VALE
Poodle (Toy),yes,Male,YATTALUNGA
Poodle (Toy),yes,Female,YATTALUNGA
Papillon X,no,Female,BLAKEVIEW
Maltese X,no,Male,BLAKEVIEW
Maltese X,no,Male,ELIZABETH NORTH
Shih Tzu,yes,Male,ELIZABETH NORTH
X Breed,yes,Female,MUNNO PARA WEST
Border Collie X,no,Male,ANGLE VALE
Collie (Rough Coat) X,no,Female,CRAIGMORE
Cocker Spaniel,no,Male,ELIZABETH GROVE
Jack Russell Terrier X,yes,Female,ELIZABETH DOWNS
Australian Kelpie X,no,Female,SMITHFIELD
Jack Russell Terrier,yes,Male,BLAKEVIEW
Jack Russell Terrier X,yes,Female,PENFIELD
Maltese,no,Male,DAVOREN PARK
Australian Cattle Dog X,yes,Female,ELIZABETH DOWNS
German Shorthaired Pointer,yes,Female,WATERLOO CORNER
Shih Tzu,no,Female,CRAIGMORE
Golden Retriever,yes,Female,HILLBANK
German Shepherd Dog X,yes,Female,ANDREWS FARM
Cocker Spaniel X,yes,Female,CRAIGMORE
Jack Russell Terrier X,yes,Female,ANDREWS FARM
Staffordshire Bull Terrier,no,Male,ELIZABETH DOWNS
Dalmation,no,Male,ANGLE VALE
Dalmation,no,Male,ANGLE VALE
Cocker Spaniel,no,Female,ELIZABETH EAST
Tenterfield Terrier,yes,Female,DAVOREN PARK
Rottweiler,no,Female,ELIZABETH DOWNS
Terrier X,no,Male,CRAIGMORE
Border Collie X,no,Female,HILLBANK
Border Collie X,no,Female,HILLBANK
Staffordshire Bull Terrier X,no,Male,HILLBANK
West Highland White Terrier,no,Male,ANGLE VALE
Boxer,yes,Male,MUNNO PARA
Australian Kelpie X,no,Male,DAVOREN PARK
Staffordshire Bull Terrier X,no,Female,ANDREWS FARM
Chihuahua,yes,Female,ELIZABETH NORTH
Staffordshire Bull Terrier X,no,Male,ELIZABETH DOWNS
Cocker Spaniel,no,Male,CRAIGMORE
German Shepherd Dog X,yes,Male,DAVOREN PARK
Chihuahua X,no,Female,HILLBANK
Australian Kelpie X,yes,Female,CRAIGMORE
Jack Russell Terrier X,yes,Female,ELIZABETH VALE
Staffordshire Bull Terrier,no,Male,MUNNO PARA WEST
Chihuahua,no,Male,DAVOREN PARK
Australian Cattle Dog X,yes,Female,CRAIGMORE
Collie (Rough Coat) X,yes,Female,CRAIGMORE
Cavalier King Charles Spaniel,no,Male,ELIZABETH GROVE
Cavalier King Charles Spaniel,no,Female,ELIZABETH GROVE
Border Collie,yes,Female,ELIZABETH DOWNS
Maltese X,no,Female,CRAIGMORE
Labrador Retriever,no,Male,DAVOREN PARK
German Shepherd Dog,yes,Female,ELIZABETH GROVE
Staffordshire Bull Terrier X,no,Female,CRAIGMORE
Dalmation,no,Female,CRAIGMORE
Chihuahua,no,Male,ANGLE VALE
Cocker Spaniel,yes,Female,ANDREWS FARM
Border Collie X,yes,Female,ELIZABETH EAST
Mastiff X,no,Female,DAVOREN PARK
Jack Russell Terrier,no,Male,ELIZABETH DOWNS
Staffordshire Bull Terrier,yes,Male,HILLBANK
Maltese X,yes,Male,HILLBANK
Maltese X,no,Female,DAVOREN PARK
Maltese X,no,Female,ELIZABETH DOWNS
Whippet X,yes,Female,YATTALUNGA
Shiba Inu,no,Female,BLAKEVIEW
Staffordshire Bull Terrier X,yes,Male,SMITHFIELD PLAINS
Papillon X,no,Female,ELIZABETH EAST
Staffordshire Bull Terrier,no,Female,CRAIGMORE
Jack Russell Terrier X,no,Male,BLAKEVIEW
Labrador Retriever,yes,Male,BUCKLAND PARK
Australian Cattle Dog,no,Male,ELIZABETH NORTH
Jack Russell Terrier X,yes,Male,CRAIGMORE
Australian Kelpie X,no,Female,DAVOREN PARK
Maltese X,no,Male,CRAIGMORE
Terrier,yes,Female,ELIZABETH EAST
Shar Pei,yes,Male,HILLBANK
Labrador Retriever,no,Male,ELIZABETH DOWNS
Maltese X,no,Female,ELIZABETH PARK
Jack Russell Terrier X,no,Male,ELIZABETH EAST
Maltese X,no,Male,ANGLE VALE
Jack Russell Terrier,no,Female,ELIZABETH VALE
Siberian Husky,no,Female,CRAIGMORE
Fox Terrier (Smooth)  X,yes,Female,MUNNO PARA WEST
Rottweiler,no,Female,ANDREWS FARM
German Shepherd Dog X,no,Male,CRAIGMORE
Labrador Retriever X,no,Male,HILLBANK
Old English Sheepdog,no,Male,HILLBANK
Labrador Retriever X,no,Male,ELIZABETH VALE
Irish Setter,no,Female,ONE TREE HILL
Maltese X,no,Female,ELIZABETH GROVE
Boxer,yes,Male,DAVOREN PARK
Maltese X,yes,Female,CRAIGMORE
Terrier X,no,Female,ELIZABETH SOUTH
Fox Terrier (Smooth),yes,Female,ELIZABETH EAST
Maltese,yes,Female,SMITHFIELD
Labrador Retriever,yes,Female,BLAKEVIEW
Golden Retriever,no,Female,ELIZABETH DOWNS
Staffordshire Bull Terrier X,yes,Female,DAVOREN PARK
Maltese X,yes,Female,HILLBANK
German Shepherd Dog X,yes,Male,VIRGINIA
Shih Tzu X,no,Male,DAVOREN PARK
Corgi,no,Male,BLAKEVIEW
Rottweiler X,yes,Female,BLAKEVIEW
Jack Russell Terrier X,yes,Female,ELIZABETH EAST
Jack Russell Terrier,no,Female,ELIZABETH EAST
Tenterfield Terrier,no,Female,MUNNO PARA
X Breed,no,Male,DAVOREN PARK
Chihuahua X,yes,Male,CRAIGMORE
Labrador Retriever,yes,Female,ELIZABETH EAST
Labrador Retriever X,yes,Male,CRAIGMORE
Maltese X,no,Male,ELIZABETH
Schnauzer (Miniature),yes,Female,ELIZABETH PARK
Jack Russell Terrier X,yes,Male,BLAKEVIEW
Border Collie,no,Female,ELIZABETH EAST
Border Collie,no,Female,ELIZABETH EAST
Australian Kelpie,no,Male,ANGLE VALE
Australian Silky Terrier,no,Female,ANDREWS FARM
Border Collie,no,Female,MUNNO PARA
Australian Kelpie X,no,Male,ELIZABETH EAST
X Breed,no,Male,MACDONALD PARK
Greyhound,yes,Male,CRAIGMORE
Maltese,yes,Female,ANGLE VALE
Chihuahua X,no,Female,ELIZABETH EAST
Maltese X,no,Female,HILLBANK
Staffordshire Bull Terrier X,no,Male,ELIZABETH SOUTH
Staffordshire Bull Terrier X,yes,Female,ELIZABETH DOWNS
Australian Kelpie X,yes,Male,ELIZABETH VALE
Maltese X,no,Male,SMITHFIELD
Australian Cattle Dog X,yes,Female,HILLBANK
Tenterfield Terrier,yes,Female,ELIZABETH
Jack Russell Terrier,yes,Male,ELIZABETH
Chihuahua X,yes,Male,ELIZABETH VALE
Chihuahua,no,Female,ELIZABETH VALE
Rottweiler X,yes,Female,SMITHFIELD PLAINS
Jack Russell Terrier,yes,Male,ELIZABETH GROVE
Jack Russell Terrier,yes,Male,MUNNO PARA WEST
Staffordshire Bull Terrier X,no,Male,DAVOREN PARK
Terrier X,yes,Female,ANDREWS FARM
X Breed,yes,Male,HILLBANK
Maltese X,no,Male,BLAKEVIEW
Fox Terrier (Smooth),yes,Female,ANDREWS FARM
Staffordshire Bull Terrier X,yes,Male,SMITHFIELD
Keeshond,yes,Female,ANGLE VALE
Japanese Spitz X,no,Male,SAMPSON FLAT
Rhodesian Ridgeback X,no,Male,ELIZABETH SOUTH
Terrier X,no,Male,CRAIGMORE
Maltese X,no,Female,ELIZABETH
Border Collie,no,Female,ELIZABETH EAST
Collie (Rough Coat) X,yes,Female,HUMBUG SCRUB
Jack Russell Terrier,no,Female,MUNNO PARA WEST
American Staffordshire Terrier,no,Male,MUNNO PARA WEST
Labrador Retriever,yes,Male,ELIZABETH EAST
American Staffordshire Terrier,no,Male,ELIZABETH EAST
Staffordshire Bull Terrier X,no,Male,ANDREWS FARM
Jack Russell Terrier,no,Male,HILLBANK
Maltese X,no,Female,CRAIGMORE
Labrador Retriever,no,Female,MACDONALD PARK
Labrador Retriever X,no,Female,MUNNO PARA WEST
Tenterfield Terrier,no,Male,ELIZABETH PARK
Maltese X,no,Male,HILLBANK
Pug,no,Male,ELIZABETH VALE
Jack Russell Terrier X,no,Male,HILLBANK
Rhodesian Ridgeback,no,Female,HILLBANK
Papillon,no,Female,BLAKEVIEW
Cocker Spaniel,no,Male,DAVOREN PARK
Labrador Retriever X,yes,Female,SMITHFIELD
Labrador Retriever,yes,Female,ANDREWS FARM
Shih Tzu,no,Female,CRAIGMORE
Shih Tzu,no,Female,CRAIGMORE
Maltese X,yes,Male,CRAIGMORE
Australian Kelpie X,no,Female,CRAIGMORE
Japanese Spitz,no,Male,BLAKEVIEW
Maltese,no,Female,SMITHFIELD
Cavalier King Charles Spaniel,no,Female,ANGLE VALE
Cocker Spaniel X,yes,Male,CRAIGMORE
Deerhound X,yes,Male,ELIZABETH VALE
Jack Russell Terrier X,yes,Male,CRAIGMORE
Jack Russell Terrier X,yes,Male,ELIZABETH
Pomeranian,no,Male,ELIZABETH PARK
Yorkshire Terrier,yes,Female,CRAIGMORE
Labrador Retriever,no,Male,ANGLE VALE
Collie (Rough Coat) X,yes,Male,CRAIGMORE
Rottweiler X,no,Male,ELIZABETH PARK
Collie (Rough Coat) X,yes,Female,VIRGINIA
Shih Tzu,no,Female,ELIZABETH EAST
Maltese X,yes,Female,SMITHFIELD PLAINS
Australian Cattle Dog X,yes,Female,ELIZABETH SOUTH
Pomeranian X,yes,Female,DAVOREN PARK
Cocker Spaniel,yes,Male,ULEYBURY
Jack Russell Terrier X,yes,Male,CRAIGMORE
Maltese X,no,Male,ELIZABETH VALE
Staffordshire Bull Terrier X,no,Male,ELIZABETH PARK
Schipperke,no,Female,BUCKLAND PARK
Maltese,yes,Male,SMITHFIELD
Australian Kelpie X,yes,Female,VIRGINIA
Jack Russell Terrier,no,Male,HILLBANK
Australian Cattle Dog,yes,Female,ANDREWS FARM
Siberian Husky,yes,Female,ANGLE VALE
Siberian Husky,no,Male,ANGLE VALE
Fox Terrier (Smooth)  X,no,Female,CRAIGMORE
Australian Kelpie X,yes,Female,CRAIGMORE
Dobermann,no,Male,DAVOREN PARK
Staffordshire Bull Terrier X,no,Male,BLAKEVIEW
Lhasa Apso,no,Female,ANGLE VALE
Labrador Retriever,no,Male,ANGLE VALE
Maltese X,yes,Male,CRAIGMORE
Australian Cattle Dog X,yes,Female,ELIZABETH PARK
Chihuahua,no,Male,ELIZABETH SOUTH
Chihuahua,yes,Female,ELIZABETH GROVE
Labrador Retriever,yes,Male,CRAIGMORE
Maltese X,yes,Female,ELIZABETH EAST
Maltese X,yes,Female,ELIZABETH EAST
Dobermann,yes,Male,ELIZABETH DOWNS
Australian Cattle Dog,yes,Female,VIRGINIA
Great Dane,no,Male,MUNNO PARA
Rottweiler,no,Female,DAVOREN PARK
Cavalier King Charles Spaniel,yes,Male,CRAIGMORE
Staffordshire Bull Terrier,no,Female,MUNNO PARA WEST
Tenterfield Terrier,no,Male,ELIZABETH NORTH
Maltese X,no,Male,ELIZABETH EAST
Chihuahua,yes,Male,CRAIGMORE
Australian Cattle Dog X,yes,Female,CRAIGMORE
Australian Terrier X,yes,Male,ELIZABETH EAST
Pomeranian,no,Male,ELIZABETH NORTH
Jack Russell Terrier X,yes,Female,VIRGINIA
Maltese X,yes,Female,DAVOREN PARK
Golden Retriever,no,Male,CRAIGMORE
Labrador Retriever X,yes,Female,ELIZABETH PARK
Cocker Spaniel X,yes,Male,ELIZABETH PARK
Staffordshire Bull Terrier,no,Female,DAVOREN PARK
Australian Terrier X,yes,Male,CRAIGMORE
Australian Kelpie X,yes,Female,ELIZABETH DOWNS
Poodle,no,Male,ANDREWS FARM
Australian Cattle Dog X,yes,Male,ELIZABETH NORTH
Australian Cattle Dog X,yes,Male,ELIZABETH SOUTH
Fox Terrier (Smooth)  X,no,Female,ELIZABETH NORTH
Dalmation,yes,Male,SMITHFIELD PLAINS
Poodle X,yes,Male,ELIZABETH EAST
Bichon Frise x,yes,Female,HILLBANK
Cavalier King Charles Spaniel,no,Male,ELIZABETH SOUTH
Cocker Spaniel,no,Male,ANDREWS FARM
Maltese X,yes,Female,CRAIGMORE
Australian Cattle Dog,yes,Male,ONE TREE HILL
Staffordshire Bull Terrier,no,Male,HILLBANK
Rottweiler X,no,Male,ANGLE VALE
Shih Tzu,no,Female,CRAIGMORE
German Shepherd Dog,yes,Female,VIRGINIA
Rottweiler,no,Male,ELIZABETH GROVE
Border Collie X,no,Female,HUMBUG SCRUB
Australian Cattle Dog X,yes,Female,ELIZABETH SOUTH
Staffordshire Bull Terrier,no,Male,CRAIGMORE
German Shepherd Dog,no,Male,ELIZABETH DOWNS
Border Collie,no,Male,ONE TREE HILL
X Breed,yes,Female,ELIZABETH DOWNS
Jack Russell Terrier,yes,Male,ELIZABETH SOUTH
Maltese X,no,Male,BLAKEVIEW
Shih Tzu X,no,Female,MUNNO PARA WEST
Maltese X,no,Male,ELIZABETH EAST
American Staffordshire Terrier,no,Male,ELIZABETH VALE
Maltese X,yes,Male,ELIZABETH
Chihuahua X,no,Male,DAVOREN PARK
Chihuahua X,no,Male,DAVOREN PARK
Cocker Spaniel X,no,Female,HILLBANK
Labrador Retriever,no,Female,CRAIGMORE
Staffordshire Bull Terrier,no,Female,ELIZABETH PARK
Poodle (Miniature),yes,Female,SMITHFIELD
Rottweiler X,no,Male,CRAIGMORE
Border Collie X,yes,Female,HILLBANK
Mastiff X,no,Male,ELIZABETH NORTH
Border Collie,yes,Female,HILLBANK
Golden Retriever X,no,Female,ANGLE VALE
Australian Terrier,no,Female,ELIZABETH SOUTH
Staffordshire Bull Terrier,no,Male,ELIZABETH SOUTH
Labrador Retriever,no,Male,ELIZABETH GROVE
Golden Retriever,yes,Female,ELIZABETH SOUTH
Labrador Retriever X,no,Female,ANDREWS FARM
Australian Cattle Dog X,no,Female,SMITHFIELD
Chihuahua X,no,Male,MUNNO PARA
Labrador Retriever,no,Female,BLAKEVIEW
Maltese X,no,Female,CRAIGMORE
Maltese X,no,Male,ANDREWS FARM
Cavalier King Charles Spaniel X,no,Male,BLAKEVIEW
Staffordshire Bull Terrier X,no,Male,CRAIGMORE
Labrador Retriever,yes,Female,CRAIGMORE
Labrador Retriever,yes,Female,DAVOREN PARK
Chihuahua X,yes,Female,HILLBANK
Kerry Blue Terrier,yes,Female,BIBARINGA
Shih Tzu X,no,Male,ELIZABETH
Chihuahua,yes,Female,BLAKEVIEW
German Shepherd Dog,no,Male,ONE TREE HILL
Chihuahua X,no,Male,BLAKEVIEW
Shih Tzu X,no,Male,DAVOREN PARK
Cocker Spaniel,no,Female,MUNNO PARA WEST
Maltese X,no,Female,ELIZABETH VALE
Jack Russell Terrier X,yes,Female,SMITHFIELD PLAINS
German Shepherd Dog X,yes,Male,CRAIGMORE
Jack Russell Terrier X,yes,Male,ELIZABETH VALE
Staffordshire Bull Terrier,no,Male,CRAIGMORE
Labrador Retriever X,yes,Female,ANGLE VALE
Cocker Spaniel X,yes,Female,ELIZABETH DOWNS
Staffordshire Bull Terrier X,yes,Male,ELIZABETH EAST
Shih Tzu X,yes,Female,DAVOREN PARK
Jack Russell Terrier X,yes,Female,CRAIGMORE
German Shepherd Dog X,no,Male,ELIZABETH GROVE
Pomeranian,yes,Female,ELIZABETH NORTH
Pomeranian,yes,Male,ELIZABETH NORTH
Cavalier King Charles Spaniel,no,Male,ELIZABETH PARK
Rottweiler,no,Male,ANGLE VALE
Bichon Frise x,yes,Female,ELIZABETH DOWNS
Bichon Frise x,no,Male,ELIZABETH EAST
Poodle X,no,Female,CRAIGMORE
Poodle X,no,Female,CRAIGMORE
Jack Russell Terrier X,no,Male,CRAIGMORE
Maltese X,yes,Female,ANDREWS FARM
German Shepherd Dog,no,Male,HILLBANK
Jack Russell Terrier X,no,Female,ANDREWS FARM
German Shepherd Dog X,no,Female,ELIZABETH DOWNS
Australian Cattle Dog,no,Female,ELIZABETH DOWNS
Maltese,yes,Male,CRAIGMORE
Cocker Spaniel,no,Male,ELIZABETH DOWNS
Staffordshire Bull Terrier X,yes,Female,DAVOREN PARK
Staffordshire Bull Terrier,no,Male,ELIZABETH NORTH
Papillon,no,Female,ELIZABETH GROVE
Australian Shepherd,no,Male,BLAKEVIEW
Fox Terrier (Smooth)  X,no,Female,MUNNO PARA WEST
Staffordshire Bull Terrier X,no,Female,SMITHFIELD
Staffordshire Bull Terrier,no,Male,HILLBANK
Papillon,yes,Male,SMITHFIELD PLAINS
Australian Cattle Dog X,no,Male,ELIZABETH PARK
Labrador Retriever,yes,Female,MUNNO PARA WEST
German Shepherd Dog,yes,Female,ELIZABETH EAST
Tenterfield Terrier,no,Female,ELIZABETH EAST
Bichon Frise,no,Male,ELIZABETH PARK
Jack Russell Terrier,no,Female,ELIZABETH EAST
Labrador Retriever,yes,Female,MUNNO PARA
Australian Terrier X,no,Male,HILLBANK
Dobermann X,yes,Male,ELIZABETH VALE
Labrador Retriever,no,Male,CRAIGMORE
Boxer,no,Female,HILLBANK
Maltese X,yes,Male,ANDREWS FARM
Australian Kelpie,no,Male,BLAKEVIEW
German Shepherd Dog,yes,Female,ANGLE VALE
German Shepherd Dog,yes,Female,ANGLE VALE
Staffordshire Bull Terrier X,no,Male,CRAIGMORE
Chihuahua X,yes,Female,SMITHFIELD
Border Collie,no,Male,SMITHFIELD PLAINS
Shih Tzu X,no,Female,CRAIGMORE
Alaskan Malamute,no,Female,ELIZABETH SOUTH
Chihuahua X,no,Female,BLAKEVIEW
Staffordshire Bull Terrier,no,Male,ELIZABETH DOWNS
Staffordshire Bull Terrier X,yes,Male,ELIZABETH NORTH
Maltese X,yes,Female,BLAKEVIEW
Terrier X,yes,Male,CRAIGMORE
Scottish Terrier X,no,Male,HILLBANK
Border Collie X,no,Male,CRAIGMORE
Rhodesian Ridgeback X,no,Male,BLAKEVIEW
Jack Russell Terrier X,yes,Female,CRAIGMORE
Cavalier King Charles Spaniel,no,Male,CRAIGMORE
German Shepherd Dog X,no,Male,DAVOREN PARK
Maltese X,yes,Male,MUNNO PARA
Australian Silky Terrier,yes,Female,CRAIGMORE
German Shepherd Dog,yes,Female,ELIZABETH SOUTH
Staffordshire Bull Terrier,yes,Female,CRAIGMORE
Maltese X,yes,Male,ELIZABETH SOUTH
Chihuahua,yes,Female,ELIZABETH GROVE
Australian Kelpie X,yes,Female,MACDONALD PARK
Australian Kelpie X,yes,Female,CRAIGMORE
Boxer X,no,Male,HUMBUG SCRUB
Bull Terrier,no,Male,YATTALUNGA
Rottweiler,yes,Female,CRAIGMORE
Maltese X,no,Male,ELIZABETH SOUTH
Maltese X,yes,Male,CRAIGMORE
Boxer,yes,Female,ELIZABETH SOUTH
Rottweiler,yes,Female,DAVOREN PARK
Chihuahua X,no,Male,DAVOREN PARK
Tenterfield Terrier,yes,Female,ELIZABETH NORTH
Collie (Rough Coat) X,no,Male,MACDONALD PARK
Fox Terrier (Smooth),yes,Male,ELIZABETH DOWNS
Border Collie,no,Female,YATTALUNGA
Fox Terrier (Smooth),no,Male,CRAIGMORE
Maltese X,yes,Female,DAVOREN PARK
Chinese Crested Dog,no,Male,ELIZABETH SOUTH
Chow Chow X,yes,Female,ANDREWS FARM
Pomeranian X,yes,Male,ANDREWS FARM
Maltese X,no,Male,HILLBANK
Chihuahua X,no,Male,DAVOREN PARK
Maltese X,yes,Female,CRAIGMORE
Maltese X,no,Male,ANDREWS FARM
Jack Russell Terrier,yes,Male,BLAKEVIEW
Dalmation,no,Male,ONE TREE HILL
Australian Cattle Dog,yes,Male,BLAKEVIEW
Maltese X,no,Female,ELIZABETH
Beagle,no,Male,MUNNO PARA
Poodle X,yes,Female,DAVOREN PARK
Maltese X,no,Female,ELIZABETH
Australian Kelpie X,yes,Female,ELIZABETH
Border Collie X,no,Male,ANGLE VALE
Dachshund,yes,Female,BUCKLAND PARK
Chihuahua,no,Female,ELIZABETH EAST
Shih Tzu X,yes,Female,ELIZABETH
Staffordshire Bull Terrier X,yes,Female,ANDREWS FARM
Staffordshire Bull Terrier X,yes,Female,ANDREWS FARM
American Staffordshire Terrier,no,Male,SMITHFIELD
Chihuahua X,no,Male,ELIZABETH NORTH
Poodle X,yes,Female,ELIZABETH NORTH
Maltese X,no,Male,ELIZABETH NORTH
German Shepherd Dog,no,Male,BLAKEVIEW
Maltese X,no,Male,DAVOREN PARK
Bull Terrier X,no,Male,HILLBANK
Australian Cattle Dog,no,Female,ELIZABETH PARK
Maltese,yes,Male,ELIZABETH PARK
Maltese,no,Female,WATERLOO CORNER
Rottweiler X,yes,Male,ELIZABETH DOWNS
Chihuahua,no,Male,DAVOREN PARK
Australian Cattle Dog,yes,Female,ANGLE VALE
Chihuahua X,yes,Male,ELIZABETH VALE
Jack Russell Terrier X,yes,Female,ELIZABETH PARK
Cocker Spaniel,no,Male,DAVOREN PARK
Staffordshire Bull Terrier X,no,Male,ANGLE VALE
Chihuahua,yes,Male,CRAIGMORE
Jack Russell Terrier,no,Female,HILLBANK
Staffordshire Bull Terrier,no,Male,BLAKEVIEW
Maltese X,yes,Male,ELIZABETH NORTH
Staffordshire Bull Terrier X,yes,Male,ELIZABETH VALE
German Shepherd Dog,no,Male,HILLBANK
Maltese,yes,Male,ELIZABETH PARK
Jack Russell Terrier X,yes,Female,CRAIGMORE
Rottweiler X,yes,Female,ANDREWS FARM
Labrador Retriever,no,Female,SMITHFIELD PLAINS
Maltese X,no,Female,MACDONALD PARK
Australian Cattle Dog,no,Male,DAVOREN PARK
German Shorthaired Pointer,no,Male,ANGLE VALE
Maltese X,no,Male,CRAIGMORE
Australian Cattle Dog X,yes,Female,BLAKEVIEW
Labrador Retriever,no,Male,ANGLE VALE
Chihuahua,no,Male,ANGLE VALE
Poodle (Miniature),no,Male,ELIZABETH EAST
Border Collie,yes,Female,HILLBANK
Pomeranian,yes,Male,ANDREWS FARM
Maltese,no,Male,MUNNO PARA
German Shepherd Dog X,no,Female,ELIZABETH DOWNS
Pomeranian X,yes,Male,ELIZABETH DOWNS
Maltese X,yes,Male,CRAIGMORE
Staffordshire Bull Terrier,no,Male,CRAIGMORE
Border Terrier,yes,Female,ULEYBURY
Border Collie X,yes,Female,CRAIGMORE
Staffordshire Bull Terrier,no,Male,ELIZABETH DOWNS
Tenterfield Terrier,yes,Male,MUNNO PARA WEST
Terrier X,no,Female,SMITHFIELD PLAINS
Poodle Standard,yes,Female,MUNNO PARA WEST
Jack Russell Terrier,no,Female,HILLBANK
St. Bernard,no,Male,ANDREWS FARM
German Shepherd Dog,no,Female,ANGLE VALE
Chihuahua X,yes,Female,SMITHFIELD PLAINS
German Shorthaired Pointer,yes,Female,HUMBUG SCRUB
German Shorthaired Pointer,yes,Male,HUMBUG SCRUB
Jack Russell Terrier X,no,Male,MUNNO PARA
Jack Russell Terrier X,no,Male,HILLBANK
Golden Retriever,no,Male,HILLBANK
Shih Tzu X,yes,Male,HILLBANK
Cocker Spaniel,no,Male,DAVOREN PARK
Cavalier King Charles Spaniel X,no,Male,CRAIGMORE
Australian Kelpie,no,Male,ELIZABETH VALE
Australian Silky Terrier,no,Male,HILLBANK
Pomeranian,no,Male,DAVOREN PARK
Jack Russell Terrier,yes,Male,HILLBANK
Pomeranian X,no,Female,DAVOREN PARK
Dachshund,yes,Male,DAVOREN PARK
German Shepherd Dog X,no,Male,SMITHFIELD PLAINS
German Shepherd Dog X,no,Female,SMITHFIELD PLAINS
Labrador Retriever,yes,Male,MUNNO PARA
Labrador Retriever,no,Female,ELIZABETH DOWNS
Australian Kelpie X,no,Female,MUNNO PARA WEST
Staffordshire Bull Terrier X,no,Female,ANGLE VALE
Pomeranian,no,Female,ELIZABETH SOUTH
Maltese X,yes,Male,ELIZABETH SOUTH
Shih Tzu,yes,Male,CRAIGMORE
Maltese X,no,Female,MUNNO PARA WEST
Maltese X,no,Female,ELIZABETH DOWNS
Jack Russell Terrier,no,Female,CRAIGMORE
Maltese X,no,Male,CRAIGMORE
Staffordshire Bull Terrier X,yes,Female,SMITHFIELD PLAINS
German Shepherd Dog,no,Female,SMITHFIELD PLAINS
Australian Cattle Dog,no,Male,ANGLE VALE
Scottish Terrier,no,Male,WATERLOO CORNER
Labrador Retriever X,no,Male,ELIZABETH EAST
Maremma Sheepdog,yes,Female,PENFIELD
Chihuahua X,no,Male,DAVOREN PARK
Maltese X,no,Male,ELIZABETH EAST
Staffordshire Bull Terrier X,no,Female,DAVOREN PARK
Maltese,no,Female,MUNNO PARA
Norwegian Elkhound,yes,Female,ANDREWS FARM
Maltese X,no,Female,DAVOREN PARK
Labrador Retriever,no,Male,ELIZABETH DOWNS
Jack Russell Terrier X,no,Female,DAVOREN PARK
Staffordshire Bull Terrier,yes,Female,ANDREWS FARM
German Shepherd Dog X,yes,Male,ELIZABETH EAST
German Shepherd Dog X,yes,Male,ELIZABETH DOWNS
Australian Kelpie,yes,Male,WATERLOO CORNER
West Highland White Terrier,no,Male,ANDREWS FARM
Jack Russell Terrier,no,Male,CRAIGMORE
Labrador Retriever X,yes,Male,DAVOREN PARK
German Shepherd Dog X,yes,Female,MUNNO PARA DOWNS
Australian Kelpie,yes,Female,ANGLE VALE
Shih Tzu X,no,Male,ELIZABETH SOUTH
Poodle (Toy),no,Female,MACDONALD PARK
Poodle (Toy),yes,Female,MACDONALD PARK
Rottweiler,no,Female,BLAKEVIEW
Poodle (Toy),yes,Female,MACDONALD PARK
Maltese X,yes,Female,CRAIGMORE
Chihuahua,yes,Female,ELIZABETH EAST
Maltese X,no,Male,ELIZABETH DOWNS
German Shepherd Dog X,no,Male,ELIZABETH PARK
Boxer,no,Male,HILLBANK
Chihuahua,no,Male,ELIZABETH DOWNS
Labrador Retriever,no,Male,BLAKEVIEW
Labrador Retriever,yes,Male,ELIZABETH PARK
Jack Russell Terrier X,no,Male,DAVOREN PARK
Rottweiler X,no,Female,WATERLOO CORNER
Shih Tzu X,yes,Male,CRAIGMORE
Australian Silky Terrier X,yes,Female,DAVOREN PARK
Staffordshire Bull Terrier,yes,Female,ELIZABETH NORTH
German Shepherd Dog,no,Male,BIBARINGA
