Breed_Description,desexed,sex,Suburb
Jack Russell Terrier,no,Female,WATERLOO CORNER
Shetland Sheepdog X,yes,Male,ANDREWS FARM
Australian Silky Terrier X,yes,Male,BLAKEVIEW
Shih Tzu,yes,Female,HILLBANK
Corgi X,yes,Male,ELIZABETH VALE
Maltese X,no,Male,HILLBANK
Border Collie X,no,Male,MUNNO PARA
Jack Russell Terrier,no,Male,ELIZABETH VALE
Fox Terrier (Smooth)  X,no,Female,ELIZABETH VALE
Staffordshire Bull Terrier X,yes,Female,BLAKEVIEW
Chihuahua,no,Male,ELIZABETH PARK
Terrier X,no,Male,ELIZABETH NORTH
Shih Tzu X,no,Male,ELIZABETH NORTH
Australian Terrier X,no,Male,ONE TREE HILL
Australian Silky Terrier,no,Male,ELIZABETH EAST
Chihuahua X,no,Male,ANDREWS FARM
Poodle (Miniature),yes,Female,CRAIGMORE
Poodle (Miniature),no,Female,ELIZABETH DOWNS
Maltese X,no,Female,WATERLOO CORNER
X Breed,no,Male,ELIZABETH DOWNS
Shetland Sheepdog,no,Female,ELIZABETH EAST
Fox Terrier (Smooth),no,Male,SMITHFIELD
Whippet X,yes,Female,MUNNO PARA WEST
Maltese X,yes,Male,ELIZABETH GROVE
Rottweiler,no,Female,WATERLOO CORNER
Australian Silky Terrier,yes,Female,ELIZABETH VALE
English Springer Spaniel,no,Female,ELIZABETH GROVE
Jack Russell Terrier,yes,Female,CRAIGMORE
Fox Terrier (Smooth)  X,no,Female,SMITHFIELD PLAINS
Staffordshire Bull Terrier X,no,Female,CRAIGMORE
Labrador Retriever,yes,Male,SMITHFIELD PLAINS
Fox Terrier (Smooth)  X,no,Female,MACDONALD PARK
Terrier X,no,Male,ELIZABETH NORTH
Jack Russell Terrier X,no,Female,SMITHFIELD PLAINS
Boxer X,yes,Female,DAVOREN PARK
Pomeranian X,no,Female,HUMBUG SCRUB
Jack Russell Terrier X,no,Female,DAVOREN PARK
Tenterfield Terrier X,no,Female,ELIZABETH EAST
Pekingese X,yes,Female,ELIZABETH NORTH
Australian Silky Terrier X,yes,Female,ELIZABETH DOWNS
Australian Silky Terrier X,yes,Female,ELIZABETH DOWNS
Jack Russell Terrier,no,Female,CRAIGMORE
Labrador Retriever,no,Female,ELIZABETH VALE
Poodle X,yes,Female,ELIZABETH VALE
Border Collie,no,Female,ONE TREE HILL
Staffordshire Bull Terrier X,no,Male,BLAKEVIEW
Chihuahua,no,Male,CRAIGMORE
Australian Terrier X,yes,Female,CRAIGMORE
Australian Silky Terrier X,no,Male,ELIZABETH GROVE
Poodle X,no,Male,DAVOREN PARK
Staffordshire Bull Terrier,no,Male,BLAKEVIEW
Border Collie,yes,Female,ONE TREE HILL
Jack Russell Terrier,no,Male,ANGLE VALE
Dachshund X,no,Female,CRAIGMORE
Chihuahua,yes,Male,SMITHFIELD
Bull Terrier,yes,Female,SMITHFIELD
Maltese X,yes,Male,CRAIGMORE
Fox Terrier (Smooth)  X,no,Female,SMITHFIELD
Australian Kelpie X,yes,Male,ELIZABETH VALE
Chihuahua,yes,Male,BLAKEVIEW
Dalmation,no,Female,BIBARINGA
Fox Terrier (Smooth)  X,no,Male,ELIZABETH DOWNS
Maltese,no,Female,ELIZABETH EAST
West Highland White Terrier X,yes,Female,HILLBANK
Staffordshire Bull Terrier,no,Female,CRAIGMORE
Australian Cattle Dog X,yes,Female,ELIZABETH VALE
Tenterfield Terrier,no,Female,CRAIGMORE
Maltese X,no,Female,CRAIGMORE
Chihuahua,no,Male,HILLBANK
Maltese X,yes,Female,ELIZABETH SOUTH
Staffordshire Bull Terrier X,no,Male,ANDREWS FARM
Jack Russell Terrier X,yes,Female,DAVOREN PARK
Labrador Retriever,no,Male,ULEYBURY
Staffordshire Bull Terrier X,no,Male,ELIZABETH VALE
Maltese X,yes,Female,ANGLE VALE
Australian Kelpie X,no,Male,CRAIGMORE
Australian Cattle Dog,no,Female,MACDONALD PARK
Maltese X,no,Male,ELIZABETH EAST
Australian Terrier,no,Female,DAVOREN PARK
Australian Kelpie,no,Male,CRAIGMORE
Golden Retriever,no,Male,DAVOREN PARK
Jack Russell Terrier,no,Male,SMITHFIELD
Maltese X,no,Male,CRAIGMORE
Chihuahua X,yes,Male,ANDREWS FARM
Australian Kelpie X,yes,Male,SMITHFIELD
Poodle,no,Female,ELIZABETH SOUTH
Bull Terrier X,no,Male,DAVOREN PARK
Maltese X,yes,Female,ELIZABETH PARK
Fox Terrier (Smooth),no,Female,CRAIGMORE
Terrier,no,Male,CRAIGMORE
Australian Cattle Dog,no,Male,ELIZABETH SOUTH
Jack Russell Terrier,yes,Male,BLAKEVIEW
Leonberger,no,Male,CRAIGMORE
Jack Russell Terrier X,yes,Male,MUNNO PARA WEST
Maltese X,no,Male,CRAIGMORE
Cocker Spaniel,yes,Male,DAVOREN PARK
Beagle,no,Female,BLAKEVIEW
Australian Kelpie,yes,Female,HUMBUG SCRUB
Siberian Husky,yes,Female,CRAIGMORE
Staffordshire Bull Terrier X,no,Female,HILLBANK
Maltese X,no,Male,ANGLE VALE
Australian Cattle Dog X,no,Female,DAVOREN PARK
Bichon Frise x,yes,Male,HILLBANK
German Shepherd Dog X,no,Male,ELIZABETH DOWNS
Maltese,yes,Female,ANDREWS FARM
Tenterfield Terrier,no,Female,ELIZABETH EAST
Labrador Retriever X,no,Female,GOULD CREEK
Terrier,yes,Female,MACDONALD PARK
Border Collie X,no,Male,SMITHFIELD PLAINS
Border Collie,no,Female,HUMBUG SCRUB
Weimaraner,yes,Female,EVANSTON PARK
Shar Pei,no,Male,ELIZABETH PARK
Border Collie X,no,Female,BIBARINGA
Border Collie,no,Female,MUNNO PARA
Shih Tzu X,no,Female,DAVOREN PARK
Chihuahua,yes,Male,BLAKEVIEW
Jack Russell Terrier,no,Male,ELIZABETH
Staffordshire Bull Terrier X,no,Female,CRAIGMORE
Fox Terrier (Smooth),yes,Female,ELIZABETH EAST
Jack Russell Terrier,no,Male,ELIZABETH PARK
Maltese X,yes,Female,ONE TREE HILL
Jack Russell Terrier X,yes,Female,DAVOREN PARK
